ward,precinct,total,ROBERT MARTWICK,ROBERT MARTWICK Percent,FRED MARSHALL,FRED MARSHALL Percent,precinct_id
36,1,140,107,76.43,33,23.57,36001
36,2,131,95,72.52,36,27.48,36002
36,3,184,148,80.43,36,19.57,36003
36,4,59,33,55.93,26,44.07,36004
36,5,115,91,79.13,24,20.87,36005
36,7,158,134,84.81,24,15.19,36007
36,8,190,147,77.37,43,22.63,36008
36,9,171,145,84.8,26,15.2,36009
36,10,152,111,73.03,41,26.97,36010
36,11,243,197,81.07,46,18.93,36011
36,12,181,140,77.35,41,22.65,36012
36,13,291,253,86.94,38,13.06,36013
36,14,214,187,87.38,27,12.62,36014
36,15,148,113,76.35,35,23.65,36015
36,16,180,110,61.11,70,38.89,36016
36,17,141,117,82.98,24,17.02,36017
36,18,181,142,78.45,39,21.55,36018
36,19,354,336,94.92,18,5.08,36019
36,20,247,222,89.88,25,10.12,36020
36,21,53,38,71.7,15,28.3,36021
36,22,231,157,67.97,74,32.03,36022
36,25,124,93,75.0,31,25.0,36025
36,27,149,114,76.51,35,23.49,36027
36,28,150,119,79.33,31,20.67,36028
36,29,186,155,83.33,31,16.67,36029
36,30,219,173,79.0,46,21.0,36030
36,31,190,149,78.42,41,21.58,36031
36,32,189,165,87.3,24,12.7,36032
36,33,158,97,61.39,61,38.61,36033
36,34,130,107,82.31,23,17.69,36034
36,35,214,182,85.05,32,14.95,36035
36,36,84,58,69.05,26,30.95,36036
36,37,125,102,81.6,23,18.4,36037
36,38,125,94,75.2,31,24.8,36038
36,39,179,150,83.8,29,16.2,36039
36,40,184,159,86.41,25,13.59,36040
36,41,89,59,66.29,30,33.71,36041
36,42,138,105,76.09,33,23.91,36042
36,45,150,98,65.33,52,34.67,36045
36,46,166,123,74.1,43,25.9,36046
36,47,153,125,81.7,28,18.3,36047
36,48,177,148,83.62,29,16.38,36048
36,49,169,134,79.29,35,20.71,36049
36,50,207,184,88.89,23,11.11,36050
36,51,181,134,74.03,47,25.97,36051
36,52,133,95,71.43,38,28.57,36052
36,53,180,132,73.33,48,26.67,36053
36,55,212,144,67.92,68,32.08,36055
36,56,41,23,56.1,18,43.9,36056
38,3,153,121,79.08,32,20.92,38003
38,7,183,141,77.05,42,22.95,38007
38,8,208,162,77.88,46,22.12,38008
38,10,127,97,76.38,30,23.62,38010
38,14,151,105,69.54,46,30.46,38014
38,38,164,120,73.17,44,26.83,38038
38,55,209,163,77.99,46,22.01,38055
41,1,126,93,73.81,33,26.19,41001
41,2,206,163,79.13,43,20.87,41002
41,3,167,117,70.06,50,29.94,41003
41,4,168,132,78.57,36,21.43,41004
41,5,129,98,75.97,31,24.03,41005
41,6,136,104,76.47,32,23.53,41006
41,7,213,159,74.65,54,25.35,41007
41,8,156,116,74.36,40,25.64,41008
41,9,141,111,78.72,30,21.28,41009
41,10,161,116,72.05,45,27.95,41010
41,11,118,84,71.19,34,28.81,41011
41,12,166,131,78.92,35,21.08,41012
41,13,142,109,76.76,33,23.24,41013
41,14,185,121,65.41,64,34.59,41014
41,15,94,67,71.28,27,28.72,41015
41,16,171,125,73.1,46,26.9,41016
41,17,177,130,73.45,47,26.55,41017
41,18,123,95,77.24,28,22.76,41018
41,19,195,138,70.77,57,29.23,41019
41,20,194,144,74.23,50,25.77,41020
41,21,125,85,68.0,40,32.0,41021
41,22,163,121,74.23,42,25.77,41022
41,23,154,122,79.22,32,20.78,41023
41,24,140,104,74.29,36,25.71,41024
41,25,77,54,70.13,23,29.87,41025
41,26,85,63,74.12,22,25.88,41026
41,27,67,49,73.13,18,26.87,41027
41,28,70,38,54.29,32,45.71,41028
41,29,39,22,56.41,17,43.59,41029
41,30,146,117,80.14,29,19.86,41030
41,31,166,132,79.52,34,20.48,41031
41,32,108,82,75.93,26,24.07,41032
41,33,155,120,77.42,35,22.58,41033
41,34,132,96,72.73,36,27.27,41034
41,35,139,94,67.63,45,32.37,41035
41,36,151,115,76.16,36,23.84,41036
41,37,160,115,71.88,45,28.13,41037
41,38,91,61,67.03,30,32.97,41038
41,39,157,108,68.79,49,31.21,41039
41,40,138,106,76.81,32,23.19,41040
41,41,126,93,73.81,33,26.19,41041
41,42,147,114,77.55,33,22.45,41042
41,43,133,100,75.19,33,24.81,41043
41,44,127,100,78.74,27,21.26,41044
41,45,128,105,82.03,23,17.97,41045
41,46,139,99,71.22,40,28.78,41046
41,47,156,110,70.51,46,29.49,41047
41,48,97,56,57.73,41,42.27,41048
41,49,140,106,75.71,34,24.29,41049
41,50,167,127,76.05,40,23.95,41050
41,51,81,62,76.54,19,23.46,41051
41,52,179,130,72.63,49,27.37,41052
41,53,139,107,76.98,32,23.02,41053
41,54,135,101,74.81,34,25.19,41054
41,55,116,85,73.28,31,26.72,41055
41,56,169,118,69.82,51,30.18,41056
41,57,144,115,79.86,29,20.14,41057
41,58,111,72,64.86,39,35.14,41058
41,59,140,104,74.29,36,25.71,41059
41,60,114,82,71.93,32,28.07,41060
41,61,208,149,71.63,59,28.37,41061
41,62,151,114,75.5,37,24.5,41062
41,63,138,102,73.91,36,26.09,41063
41,64,143,100,69.93,43,30.07,41064
41,65,135,104,77.04,31,22.96,41065
41,66,161,105,65.22,56,34.78,41066
45,1,118,94,79.66,24,20.34,45001
45,2,160,114,71.25,46,28.75,45002
45,3,279,214,76.7,65,23.3,45003
45,4,140,86,61.43,54,38.57,45004
45,5,94,66,70.21,28,29.79,45005
45,6,137,113,82.48,24,17.52,45006
45,8,36,26,72.22,10,27.78,45008
45,9,217,156,71.89,61,28.11,45009
45,11,157,114,72.61,43,27.39,45011
45,13,215,180,83.72,35,16.28,45013
45,15,203,154,75.86,49,24.14,45015
45,17,145,118,81.38,27,18.62,45017
45,18,162,125,77.16,37,22.84,45018
45,19,237,172,72.57,65,27.43,45019
45,21,161,120,74.53,41,25.47,45021
45,22,125,88,70.4,37,29.6,45022
45,23,154,120,77.92,34,22.08,45023
45,24,194,115,59.28,79,40.72,45024
45,26,103,79,76.7,24,23.3,45026
45,27,171,135,78.95,36,21.05,45027
45,30,189,129,68.25,60,31.75,45030
45,32,134,93,69.4,41,30.6,45032
45,33,196,149,76.02,47,23.98,45033
45,34,147,106,72.11,41,27.89,45034
45,35,147,101,68.71,46,31.29,45035
45,36,191,113,59.16,78,40.84,45036
45,37,137,89,64.96,48,35.04,45037
45,38,78,59,75.64,19,24.36,45038
45,39,161,113,70.19,48,29.81,45039
45,40,200,154,77.0,46,23.0,45040
45,41,127,91,71.65,36,28.35,45041
45,42,174,146,83.91,28,16.09,45042
45,43,141,118,83.69,23,16.31,45043
45,44,193,147,76.17,46,23.83,45044
45,45,126,93,73.81,33,26.19,45045
45,46,14,9,64.29,5,35.71,45046
45,49,150,98,65.33,52,34.67,45049
45,51,171,131,76.61,40,23.39,45051
45,52,150,106,70.67,44,29.33,45052
45,54,190,144,75.79,46,24.21,45054
45,57,165,134,81.21,31,18.79,45057
45,58,94,67,71.28,27,28.72,45058
