ward,precinct,total,JOHN JOSEPH HOLOWINSKI,JOHN JOSEPH HOLOWINSKI Percent,MARTIN R. CASTRO,MARTIN R. CASTRO Percent,LUIS V. GUTIERREZ,LUIS V. GUTIERREZ Percent,precinct_id
1,1,125,23,18.4,29,23.2,73,58.4,01001
1,2,197,21,10.66,63,31.98,113,57.36,01002
1,3,121,11,9.09,48,39.67,62,51.24,01003
1,4,150,23,15.33,46,30.67,81,54.0,01004
1,5,156,15,9.62,44,28.21,97,62.18,01005
1,7,147,11,7.48,40,27.21,96,65.31,01007
1,8,109,6,5.5,34,31.19,69,63.3,01008
1,9,189,20,10.58,58,30.69,111,58.73,01009
1,10,163,18,11.04,71,43.56,74,45.4,01010
1,11,127,12,9.45,36,28.35,79,62.2,01011
1,12,194,16,8.25,61,31.44,117,60.31,01012
1,13,200,6,3.0,34,17.0,160,80.0,01013
1,14,161,12,7.45,33,20.5,116,72.05,01014
1,15,197,8,4.06,27,13.71,162,82.23,01015
1,16,135,5,3.7,33,24.44,97,71.85,01016
1,17,134,6,4.48,50,37.31,78,58.21,01017
1,18,208,4,1.92,40,19.23,164,78.85,01018
1,19,198,9,4.55,36,18.18,153,77.27,01019
1,20,165,3,1.82,32,19.39,130,78.79,01020
1,21,139,11,7.91,48,34.53,80,57.55,01021
1,22,116,2,1.72,25,21.55,89,76.72,01022
1,23,254,23,9.06,87,34.25,144,56.69,01023
1,24,139,14,10.07,32,23.02,93,66.91,01024
1,25,142,7,4.93,46,32.39,89,62.68,01025
1,26,155,27,17.42,50,32.26,78,50.32,01026
1,27,137,7,5.11,25,18.25,105,76.64,01027
1,28,16,0,0.0,0,0.0,16,100.0,01028
1,29,267,26,9.74,58,21.72,183,68.54,01029
1,30,170,5,2.94,31,18.24,134,78.82,01030
1,32,192,23,11.98,40,20.83,129,67.19,01032
1,33,190,12,6.32,40,21.05,138,72.63,01033
1,34,36,4,11.11,15,41.67,17,47.22,01034
1,36,126,24,19.05,36,28.57,66,52.38,01036
1,37,199,30,15.08,55,27.64,114,57.29,01037
11,3,221,33,14.93,60,27.15,128,57.92,11003
11,10,148,30,20.27,30,20.27,88,59.46,11010
11,14,88,19,21.59,13,14.77,56,63.64,11014
11,17,0,0,0.0,0,0.0,0,0.0,11017
11,18,20,6,30.0,4,20.0,10,50.0,11018
11,22,133,23,17.29,25,18.8,85,63.91,11022
11,23,159,24,15.09,31,19.5,104,65.41,11023
11,26,3,0,0.0,1,33.33,2,66.67,11026
11,27,49,6,12.24,8,16.33,35,71.43,11027
11,30,0,0,0.0,0,0.0,0,0.0,11030
11,31,57,11,19.3,18,31.58,28,49.12,11031
11,36,119,19,15.97,25,21.01,75,63.03,11036
12,1,73,2,2.74,13,17.81,58,79.45,12001
12,2,95,7,7.37,25,26.32,63,66.32,12002
12,3,100,6,6.0,23,23.0,71,71.0,12003
12,4,103,10,9.71,31,30.1,62,60.19,12004
12,5,42,5,11.9,7,16.67,30,71.43,12005
12,6,117,4,3.42,23,19.66,90,76.92,12006
12,7,121,9,7.44,22,18.18,90,74.38,12007
12,8,117,22,18.8,30,25.64,65,55.56,12008
12,9,72,6,8.33,12,16.67,54,75.0,12009
12,10,80,18,22.5,28,35.0,34,42.5,12010
12,11,107,14,13.08,24,22.43,69,64.49,12011
12,12,80,11,13.75,18,22.5,51,63.75,12012
12,13,72,8,11.11,15,20.83,49,68.06,12013
12,14,149,10,6.71,19,12.75,120,80.54,12014
12,15,160,3,1.88,13,8.13,144,90.0,12015
12,16,121,19,15.7,33,27.27,69,57.02,12016
12,17,38,9,23.68,12,31.58,17,44.74,12017
12,18,11,0,0.0,5,45.45,6,54.55,12018
12,19,19,0,0.0,4,21.05,15,78.95,12019
12,20,138,6,4.35,16,11.59,116,84.06,12020
12,21,131,11,8.4,25,19.08,95,72.52,12021
12,22,124,5,4.03,23,18.55,96,77.42,12022
12,23,117,5,4.27,24,20.51,88,75.21,12023
12,24,42,16,38.1,7,16.67,19,45.24,12024
12,25,161,7,4.35,44,27.33,110,68.32,12025
12,26,73,2,2.74,13,17.81,58,79.45,12026
12,27,52,12,23.08,16,30.77,24,46.15,12027
12,28,101,7,6.93,21,20.79,73,72.28,12028
12,29,154,30,19.48,33,21.43,91,59.09,12029
12,30,126,19,15.08,24,19.05,83,65.87,12030
14,3,218,43,19.72,37,16.97,138,63.3,14003
14,4,144,36,25.0,22,15.28,86,59.72,14004
14,5,213,24,11.27,28,13.15,161,75.59,14005
14,6,159,29,18.24,30,18.87,100,62.89,14006
14,7,170,29,17.06,29,17.06,112,65.88,14007
14,8,166,41,24.7,38,22.89,87,52.41,14008
14,9,173,23,13.29,37,21.39,113,65.32,14009
14,11,145,19,13.1,36,24.83,90,62.07,14011
14,12,118,17,14.41,25,21.19,76,64.41,14012
14,13,194,55,28.35,67,34.54,72,37.11,14013
14,14,117,16,13.68,24,20.51,77,65.81,14014
14,16,152,53,34.87,47,30.92,52,34.21,14016
14,18,137,42,30.66,27,19.71,68,49.64,14018
14,19,236,46,19.49,27,11.44,163,69.07,14019
14,22,182,29,15.93,27,14.84,126,69.23,14022
14,23,138,30,21.74,25,18.12,83,60.14,14023
14,24,158,18,11.39,34,21.52,106,67.09,14024
14,26,153,31,20.26,27,17.65,95,62.09,14026
14,28,24,10,41.67,4,16.67,10,41.67,14028
14,29,204,23,11.27,37,18.14,144,70.59,14029
14,30,149,49,32.89,29,19.46,71,47.65,14030
14,31,146,23,15.75,27,18.49,96,65.75,14031
14,32,132,19,14.39,24,18.18,89,67.42,14032
14,33,130,19,14.62,21,16.15,90,69.23,14033
14,34,143,21,14.69,26,18.18,96,67.13,14034
14,35,86,31,36.05,20,23.26,35,40.7,14035
14,36,189,46,24.34,43,22.75,100,52.91,14036
14,37,163,28,17.18,31,19.02,104,63.8,14037
14,39,154,31,20.13,36,23.38,87,56.49,14039
14,40,134,25,18.66,29,21.64,80,59.7,14040
14,41,210,30,14.29,38,18.1,142,67.62,14041
14,42,112,22,19.64,26,23.21,64,57.14,14042
14,46,239,16,6.69,22,9.21,201,84.1,14046
14,47,242,28,11.57,40,16.53,174,71.9,14047
16,1,99,4,4.04,18,18.18,77,77.78,16001
16,13,2,1,50.0,0,0.0,1,50.0,16013
16,21,124,19,15.32,26,20.97,79,63.71,16021
16,41,2,1,50.0,0,0.0,1,50.0,16041
16,42,25,4,16.0,2,8.0,19,76.0,16042
22,2,132,3,2.27,27,20.45,102,77.27,22002
22,3,188,9,4.79,30,15.96,149,79.26,22003
