ward,precinct,total,JoANNE GUILLEMETTE,JoANNE GUILLEMETTE Percent,CASANDRA LEWIS,CASANDRA LEWIS Percent,precinct_id
2,2,241,100,41.49,141,58.51,02002
2,6,76,22,28.95,54,71.05,02006
2,12,159,60,37.74,99,62.26,02012
2,13,214,79,36.92,135,63.08,02013
2,14,240,110,45.83,130,54.17,02014
2,16,100,36,36.0,64,64.0,02016
2,18,202,83,41.09,119,58.91,02018
2,20,146,47,32.19,99,67.81,02020
2,21,147,58,39.46,89,60.54,02021
2,24,73,36,49.32,37,50.68,02024
2,29,65,19,29.23,46,70.77,02029
2,31,178,66,37.08,112,62.92,02031
2,33,235,77,32.77,158,67.23,02033
2,44,150,68,45.33,82,54.67,02044
2,45,66,32,48.48,34,51.52,02045
2,46,290,108,37.24,182,62.76,02046
2,47,101,29,28.71,72,71.29,02047
2,48,183,65,35.52,118,64.48,02048
3,1,115,52,45.22,63,54.78,03001
3,2,228,116,50.88,112,49.12,03002
3,3,21,10,47.62,11,52.38,03003
3,4,54,22,40.74,32,59.26,03004
3,5,0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,03007
3,8,83,34,40.96,49,59.04,03008
3,9,92,38,41.3,54,58.7,03009
3,10,84,34,40.48,50,59.52,03010
3,11,108,39,36.11,69,63.89,03011
3,12,151,67,44.37,84,55.63,03012
3,13,6,0,0.0,6,100.0,03013
3,14,66,26,39.39,40,60.61,03014
3,15,111,52,46.85,59,53.15,03015
3,16,217,129,59.45,88,40.55,03016
3,17,134,69,51.49,65,48.51,03017
3,18,112,45,40.18,67,59.82,03018
3,19,69,18,26.09,51,73.91,03019
3,20,38,12,31.58,26,68.42,03020
3,21,88,46,52.27,42,47.73,03021
3,22,120,40,33.33,80,66.67,03022
3,23,47,11,23.4,36,76.6,03023
3,24,138,64,46.38,74,53.62,03024
3,25,26,11,42.31,15,57.69,03025
3,26,86,30,34.88,56,65.12,03026
3,27,30,16,53.33,14,46.67,03027
3,28,151,75,49.67,76,50.33,03028
3,29,0,0,0.0,0,0.0,03029
3,30,139,65,46.76,74,53.24,03030
3,31,162,81,50.0,81,50.0,03031
3,32,163,71,43.56,92,56.44,03032
3,33,159,62,38.99,97,61.01,03033
3,34,48,33,68.75,15,31.25,03034
3,35,102,52,50.98,50,49.02,03035
3,36,0,0,0.0,0,0.0,03036
3,37,102,40,39.22,62,60.78,03037
3,38,190,82,43.16,108,56.84,03038
3,39,244,119,48.77,125,51.23,03039
3,40,121,52,42.98,69,57.02,03040
3,41,108,56,51.85,52,48.15,03041
3,42,71,24,33.8,47,66.2,03042
3,43,0,0,0.0,0,0.0,03043
3,44,91,61,67.03,30,32.97,03044
3,45,58,17,29.31,41,70.69,03045
3,46,20,6,30.0,14,70.0,03046
3,47,97,40,41.24,57,58.76,03047
3,48,136,63,46.32,73,53.68,03048
3,49,126,63,50.0,63,50.0,03049
3,50,152,98,64.47,54,35.53,03050
3,51,0,0,0.0,0,0.0,03051
3,52,169,71,42.01,98,57.99,03052
4,1,168,93,55.36,75,44.64,04001
4,2,42,15,35.71,27,64.29,04002
4,3,251,121,48.21,130,51.79,04003
4,4,222,110,49.55,112,50.45,04004
4,5,184,89,48.37,95,51.63,04005
4,6,0,0,0.0,0,0.0,04006
4,7,146,78,53.42,68,46.58,04007
4,8,257,124,48.25,133,51.75,04008
4,9,399,218,54.64,181,45.36,04009
4,10,305,143,46.89,162,53.11,04010
4,11,181,87,48.07,94,51.93,04011
4,12,144,89,61.81,55,38.19,04012
4,13,238,113,47.48,125,52.52,04013
4,14,100,51,51.0,49,49.0,04014
4,15,80,40,50.0,40,50.0,04015
4,16,218,95,43.58,123,56.42,04016
4,17,208,111,53.37,97,46.63,04017
4,18,149,65,43.62,84,56.38,04018
4,19,35,21,60.0,14,40.0,04019
4,20,61,27,44.26,34,55.74,04020
4,21,218,101,46.33,117,53.67,04021
4,22,225,116,51.56,109,48.44,04022
4,23,134,83,61.94,51,38.06,04023
4,24,193,94,48.7,99,51.3,04024
4,25,225,108,48.0,117,52.0,04025
4,26,171,89,52.05,82,47.95,04026
4,27,188,87,46.28,101,53.72,04027
4,28,155,90,58.06,65,41.94,04028
4,29,145,82,56.55,63,43.45,04029
4,30,51,16,31.37,35,68.63,04030
4,31,53,16,30.19,37,69.81,04031
4,32,170,101,59.41,69,40.59,04032
4,33,63,22,34.92,41,65.08,04033
4,34,122,74,60.66,48,39.34,04034
4,35,103,29,28.16,74,71.84,04035
4,36,202,88,43.56,114,56.44,04036
4,37,103,34,33.01,69,66.99,04037
4,38,255,149,58.43,106,41.57,04038
4,39,93,33,35.48,60,64.52,04039
4,40,166,72,43.37,94,56.63,04040
4,41,125,72,57.6,53,42.4,04041
4,42,138,75,54.35,63,45.65,04042
4,43,103,67,65.05,36,34.95,04043
4,44,104,71,68.27,33,31.73,04044
4,45,358,222,62.01,136,37.99,04045
4,46,199,115,57.79,84,42.21,04046
4,47,223,116,52.02,107,47.98,04047
4,48,244,144,59.02,100,40.98,04048
4,49,46,28,60.87,18,39.13,04049
4,50,160,90,56.25,70,43.75,04050
4,51,216,103,47.69,113,52.31,04051
4,52,39,13,33.33,26,66.67,04052
4,53,24,7,29.17,17,70.83,04053
4,54,87,38,43.68,49,56.32,04054
4,55,86,52,60.47,34,39.53,04055
5,1,191,75,39.27,116,60.73,05001
5,2,170,68,40.0,102,60.0,05002
5,3,202,69,34.16,133,65.84,05003
5,4,238,60,25.21,178,74.79,05004
5,5,144,45,31.25,99,68.75,05005
5,6,189,55,29.1,134,70.9,05006
5,7,177,68,38.42,109,61.58,05007
5,8,144,80,55.56,64,44.44,05008
5,9,192,73,38.02,119,61.98,05009
5,10,127,41,32.28,86,67.72,05010
5,11,45,27,60.0,18,40.0,05011
5,13,166,64,38.55,102,61.45,05013
5,14,116,52,44.83,64,55.17,05014
5,16,140,39,27.86,101,72.14,05016
5,17,114,49,42.98,65,57.02,05017
5,18,120,45,37.5,75,62.5,05018
5,19,139,39,28.06,100,71.94,05019
5,20,109,28,25.69,81,74.31,05020
5,21,262,85,32.44,177,67.56,05021
5,23,136,47,34.56,89,65.44,05023
5,24,142,48,33.8,94,66.2,05024
5,25,145,47,32.41,98,67.59,05025
5,26,113,19,16.81,94,83.19,05026
5,27,44,18,40.91,26,59.09,05027
5,28,220,73,33.18,147,66.82,05028
5,29,139,59,42.45,80,57.55,05029
5,30,92,30,32.61,62,67.39,05030
5,31,166,38,22.89,128,77.11,05031
5,32,274,87,31.75,187,68.25,05032
5,33,204,64,31.37,140,68.63,05033
5,34,95,18,18.95,77,81.05,05034
5,35,103,35,33.98,68,66.02,05035
5,36,195,71,36.41,124,63.59,05036
5,37,89,43,48.31,46,51.69,05037
5,38,167,81,48.5,86,51.5,05038
5,39,98,51,52.04,47,47.96,05039
5,40,149,36,24.16,113,75.84,05040
5,41,63,34,53.97,29,46.03,05041
5,42,152,63,41.45,89,58.55,05042
5,43,198,58,29.29,140,70.71,05043
5,44,183,61,33.33,122,66.67,05044
5,45,113,26,23.01,87,76.99,05045
5,46,136,56,41.18,80,58.82,05046
5,47,146,37,25.34,109,74.66,05047
5,48,120,41,34.17,79,65.83,05048
5,49,108,55,50.93,53,49.07,05049
5,51,136,35,25.74,101,74.26,05051
5,52,107,39,36.45,68,63.55,05052
5,53,121,34,28.1,87,71.9,05053
5,54,107,47,43.93,60,56.07,05054
5,55,180,76,42.22,104,57.78,05055
5,56,109,37,33.94,72,66.06,05056
5,57,154,62,40.26,92,59.74,05057
5,58,106,47,44.34,59,55.66,05058
5,59,99,34,34.34,65,65.66,05059
6,7,176,70,39.77,106,60.23,06007
6,15,130,47,36.15,83,63.85,06015
6,18,46,20,43.48,26,56.52,06018
6,30,184,48,26.09,136,73.91,06030
6,32,224,78,34.82,146,65.18,06032
6,33,249,96,38.55,153,61.45,06033
6,48,84,24,28.57,60,71.43,06048
6,61,136,44,32.35,92,67.65,06061
7,9,214,106,49.53,108,50.47,07009
7,11,179,59,32.96,120,67.04,07011
7,22,201,75,37.31,126,62.69,07022
7,35,254,122,48.03,132,51.97,07035
7,40,121,56,46.28,65,53.72,07040
7,44,229,74,32.31,155,67.69,07044
7,45,286,143,50.0,143,50.0,07045
11,12,236,202,85.59,34,14.41,11012
11,13,214,189,88.32,25,11.68,11013
11,15,180,154,85.56,26,14.44,11015
11,28,31,26,83.87,5,16.13,11028
11,32,175,152,86.86,23,13.14,11032
11,33,167,68,40.72,99,59.28,11033
11,34,112,80,71.43,32,28.57,11034
11,39,272,239,87.87,33,12.13,11039
11,42,123,111,90.24,12,9.76,11042
11,43,203,170,83.74,33,16.26,11043
11,45,107,88,82.24,19,17.76,11045
11,46,94,71,75.53,23,24.47,11046
11,47,181,148,81.77,33,18.23,11047
11,48,124,103,83.06,21,16.94,11048
11,49,143,124,86.71,19,13.29,11049
11,51,190,167,87.89,23,12.11,11051
