ward,precinct,total,KATHLEEN THERESE MEANY,KATHLEEN THERESE MEANY Percent,CYNTHIA M. SANTOS,CYNTHIA M. SANTOS Percent,EDWARD J. SCHMIT III,EDWARD J. SCHMIT III Percent,"LEWIS W. POWELL, III","LEWIS W. POWELL, III Percent",JESSE J. EVANS,JESSE J. EVANS Percent,"TURHERAN """"TC"""" CRAWFORD","TURHERAN """"TC"""" CRAWFORD Percent",JAMES P. SHEEHAN,JAMES P. SHEEHAN Percent,FRANK AVILA,FRANK AVILA Percent,precinct_id
1,1,326,74,22.7,87,26.69,20,6.13,13,3.99,22,6.75,17,5.21,30,9.2,50,15.34,01001
1,2,439,83,18.91,107,24.37,34,7.74,21,4.78,40,9.11,10,2.28,41,9.34,76,17.31,01002
1,3,228,44,19.3,57,25.0,20,8.77,7,3.07,16,7.02,11,4.82,26,11.4,41,17.98,01003
1,4,287,66,23.0,64,22.3,18,6.27,8,2.79,29,10.1,6,2.09,29,10.1,46,16.03,01004
1,5,305,58,19.02,77,25.25,27,8.85,14,4.59,17,5.57,9,2.95,38,12.46,49,16.07,01005
1,6,102,21,20.59,24,23.53,5,4.9,10,9.8,10,9.8,3,2.94,7,6.86,17,16.67,01006
1,7,334,53,15.87,89,26.65,17,5.09,10,2.99,28,8.38,7,2.1,38,11.38,70,20.96,01007
1,8,178,37,20.79,41,23.03,11,6.18,9,5.06,17,9.55,7,3.93,18,10.11,23,12.92,01008
1,9,344,53,15.41,89,25.87,19,5.52,11,3.2,25,7.27,7,2.03,41,11.92,81,23.55,01009
1,10,315,67,21.27,75,23.81,23,7.3,16,5.08,23,7.3,9,2.86,29,9.21,52,16.51,01010
1,11,279,63,22.58,68,24.37,12,4.3,13,4.66,11,3.94,8,2.87,30,10.75,59,21.15,01011
1,12,380,65,17.11,112,29.47,16,4.21,10,2.63,32,8.42,11,2.89,45,11.84,73,19.21,01012
1,13,251,16,6.37,108,43.03,16,6.37,12,4.78,20,7.97,3,1.2,15,5.98,53,21.12,01013
1,14,264,33,12.5,93,35.23,13,4.92,12,4.55,30,11.36,15,5.68,23,8.71,31,11.74,01014
1,15,328,54,16.46,123,37.5,14,4.27,13,3.96,33,10.06,7,2.13,14,4.27,53,16.16,01015
1,16,234,27,11.54,65,27.78,16,6.84,19,8.12,36,15.38,5,2.14,22,9.4,32,13.68,01016
