ward,precinct,total,MARTIN A. SANDOVAL,MARTIN A. SANDOVAL Percent,precinct_id
13,11,166,166,100.0,13011
13,18,169,169,100.0,13018
13,20,181,181,100.0,13020
13,31,178,178,100.0,13031
13,44,138,138,100.0,13044
14,1,142,142,100.0,14001
14,2,134,134,100.0,14002
14,3,195,195,100.0,14003
14,4,121,121,100.0,14004
14,5,197,197,100.0,14005
14,9,149,149,100.0,14009
14,11,137,137,100.0,14011
14,13,171,171,100.0,14013
14,15,1,1,100.0,14015
14,17,26,26,100.0,14017
14,24,98,98,100.0,14024
14,27,155,155,100.0,14027
14,28,132,132,100.0,14028
14,32,152,152,100.0,14032
14,34,121,121,100.0,14034
14,35,76,76,100.0,14035
14,41,14,14,100.0,14041
14,43,149,149,100.0,14043
14,44,4,4,100.0,14044
14,47,221,221,100.0,14047
22,1,0,0,0.0,22001
22,2,104,104,100.0,22002
22,3,164,164,100.0,22003
22,4,144,144,100.0,22004
22,5,192,192,100.0,22005
22,6,169,169,100.0,22006
22,10,201,201,100.0,22010
22,13,149,149,100.0,22013
22,14,89,89,100.0,22014
22,16,161,161,100.0,22016
22,17,160,160,100.0,22017
22,18,121,121,100.0,22018
22,22,39,39,100.0,22022
22,23,165,165,100.0,22023
22,24,154,154,100.0,22024
22,25,135,135,100.0,22025
22,27,189,189,100.0,22027
23,5,169,169,100.0,23005
23,6,204,204,100.0,23006
23,7,158,158,100.0,23007
23,9,142,142,100.0,23009
23,10,284,284,100.0,23010
23,22,149,149,100.0,23022
23,23,161,161,100.0,23023
23,24,133,133,100.0,23024
23,25,179,179,100.0,23025
23,29,136,136,100.0,23029
23,32,234,234,100.0,23032
23,33,71,71,100.0,23033
23,37,1,1,100.0,23037
23,41,172,172,100.0,23041
23,49,139,139,100.0,23049
23,50,144,144,100.0,23050
23,51,187,187,100.0,23051
23,53,152,152,100.0,23053
23,59,139,139,100.0,23059
