ward,precinct,total,"THADDEUS """"TED"""" LECHOWICZ","THADDEUS """"TED"""" LECHOWICZ Percent",FORREST CLAYPOOL,FORREST CLAYPOOL Percent,precinct_id
26,6,150,81,54.0,69,46.0,26006
26,8,91,38,41.76,53,58.24,26008
26,23,18,12,66.67,6,33.33,26023
26,30,8,4,50.0,4,50.0,26030
26,38,116,61,52.59,55,47.41,26038
27,50,85,38,44.71,47,55.29,27050
27,54,74,33,44.59,41,55.41,27054
30,1,164,92,56.1,72,43.9,30001
30,2,145,63,43.45,82,56.55,30002
30,5,105,63,60.0,42,40.0,30005
30,6,2,1,50.0,1,50.0,30006
30,7,170,104,61.18,66,38.82,30007
30,9,277,205,74.01,72,25.99,30009
30,10,139,96,69.06,43,30.94,30010
30,11,166,106,63.86,60,36.14,30011
30,12,166,84,50.6,82,49.4,30012
30,14,119,87,73.11,32,26.89,30014
30,15,88,59,67.05,29,32.95,30015
30,17,96,66,68.75,30,31.25,30017
30,18,203,128,63.05,75,36.95,30018
30,19,183,125,68.31,58,31.69,30019
30,21,44,44,100.0,0,0.0,30021
30,22,150,60,40.0,90,60.0,30022
30,23,106,76,71.7,30,28.3,30023
30,26,154,98,63.64,56,36.36,30026
30,27,132,89,67.42,43,32.58,30027
30,28,171,84,49.12,87,50.88,30028
30,29,169,71,42.01,98,57.99,30029
30,30,171,120,70.18,51,29.82,30030
30,31,152,103,67.76,49,32.24,30031
30,32,196,82,41.84,114,58.16,30032
30,33,115,78,67.83,37,32.17,30033
30,34,289,175,60.55,114,39.45,30034
30,35,136,76,55.88,60,44.12,30035
30,37,140,105,75.0,35,25.0,30037
30,38,178,95,53.37,83,46.63,30038
30,39,139,83,59.71,56,40.29,30039
30,40,136,106,77.94,30,22.06,30040
30,42,168,106,63.1,62,36.9,30042
30,43,128,96,75.0,32,25.0,30043
30,44,189,66,34.92,123,65.08,30044
30,45,121,87,71.9,34,28.1,30045
31,6,35,25,71.43,10,28.57,31006
31,18,30,22,73.33,8,26.67,31018
31,32,0,0,0.0,0,0.0,31032
32,1,172,101,58.72,71,41.28,32001
32,2,109,35,32.11,74,67.89,32002
32,3,123,66,53.66,57,46.34,32003
32,4,255,142,55.69,113,44.31,32004
32,5,116,77,66.38,39,33.62,32005
32,6,174,122,70.11,52,29.89,32006
32,7,109,46,42.2,63,57.8,32007
32,8,152,68,44.74,84,55.26,32008
32,9,262,78,29.77,184,70.23,32009
32,10,114,46,40.35,68,59.65,32010
32,12,92,59,64.13,33,35.87,32012
32,13,113,54,47.79,59,52.21,32013
32,14,90,60,66.67,30,33.33,32014
32,15,158,79,50.0,79,50.0,32015
32,16,186,126,67.74,60,32.26,32016
32,17,146,86,58.9,60,41.1,32017
32,18,118,43,36.44,75,63.56,32018
32,19,281,165,58.72,116,41.28,32019
32,20,132,78,59.09,54,40.91,32020
32,21,204,76,37.25,128,62.75,32021
32,22,178,69,38.76,109,61.24,32022
32,23,130,50,38.46,80,61.54,32023
32,24,134,67,50.0,67,50.0,32024
32,25,160,70,43.75,90,56.25,32025
32,26,180,120,66.67,60,33.33,32026
32,27,131,83,63.36,48,36.64,32027
32,28,100,67,67.0,33,33.0,32028
32,29,162,103,63.58,59,36.42,32029
32,30,140,72,51.43,68,48.57,32030
32,31,174,105,60.34,69,39.66,32031
32,32,143,54,37.76,89,62.24,32032
32,33,126,74,58.73,52,41.27,32033
32,34,202,130,64.36,72,35.64,32034
32,35,196,110,56.12,86,43.88,32035
32,36,222,84,37.84,138,62.16,32036
32,37,134,53,39.55,81,60.45,32037
32,38,173,79,45.66,94,54.34,32038
32,39,151,53,35.1,98,64.9,32039
32,40,163,69,42.33,94,57.67,32040
32,41,223,114,51.12,109,48.88,32041
32,42,190,93,48.95,97,51.05,32042
32,43,180,74,41.11,106,58.89,32043
32,44,140,59,42.14,81,57.86,32044
32,45,192,90,46.88,102,53.13,32045
32,46,34,18,52.94,16,47.06,32046
32,47,77,45,58.44,32,41.56,32047
32,48,154,66,42.86,88,57.14,32048
33,8,173,62,35.84,111,64.16,33008
33,9,177,70,39.55,107,60.45,33009
33,11,189,74,39.15,115,60.85,33011
33,14,143,92,64.34,51,35.66,33014
33,18,65,31,47.69,34,52.31,33018
33,26,3,1,33.33,2,66.67,33026
38,1,133,81,60.9,52,39.1,38001
38,2,189,139,73.54,50,26.46,38002
38,4,67,45,67.16,22,32.84,38004
