ward,precinct,total,JAMES R. BROWN,JAMES R. BROWN Percent,precinct_id
2,28,2,2,100.0,02028
2,32,0,0,0.0,02032
3,36,38,38,100.0,03036
3,47,1,1,100.0,03047
3,51,57,57,100.0,03051
11,1,168,168,100.0,11001
11,2,147,147,100.0,11002
11,3,177,177,100.0,11003
11,4,256,256,100.0,11004
11,5,119,119,100.0,11005
11,6,231,231,100.0,11006
11,7,175,175,100.0,11007
11,8,166,166,100.0,11008
11,9,206,206,100.0,11009
11,10,120,120,100.0,11010
11,11,197,197,100.0,11011
11,14,57,57,100.0,11014
11,16,204,204,100.0,11016
11,17,215,215,100.0,11017
11,18,132,132,100.0,11018
11,19,161,161,100.0,11019
11,20,256,256,100.0,11020
11,21,320,320,100.0,11021
11,22,102,102,100.0,11022
11,23,133,133,100.0,11023
11,24,287,287,100.0,11024
11,25,139,139,100.0,11025
11,26,264,264,100.0,11026
11,27,35,35,100.0,11027
11,29,239,239,100.0,11029
11,30,147,147,100.0,11030
11,31,47,47,100.0,11031
11,35,242,242,100.0,11035
11,36,96,96,100.0,11036
11,37,359,359,100.0,11037
11,38,277,277,100.0,11038
11,40,208,208,100.0,11040
11,41,142,142,100.0,11041
11,44,165,165,100.0,11044
11,50,102,102,100.0,11050
11,52,170,170,100.0,11052
12,1,56,56,100.0,12001
12,2,73,73,100.0,12002
12,3,68,68,100.0,12003
12,4,74,74,100.0,12004
12,5,30,30,100.0,12005
12,6,63,63,100.0,12006
12,7,75,75,100.0,12007
12,8,89,89,100.0,12008
12,9,51,51,100.0,12009
12,10,62,62,100.0,12010
12,11,79,79,100.0,12011
12,12,48,48,100.0,12012
12,13,56,56,100.0,12013
12,14,99,99,100.0,12014
12,15,93,93,100.0,12015
12,16,90,90,100.0,12016
12,17,26,26,100.0,12017
12,18,58,58,100.0,12018
12,19,71,71,100.0,12019
12,20,98,98,100.0,12020
12,21,91,91,100.0,12021
12,22,75,75,100.0,12022
12,23,69,69,100.0,12023
12,24,32,32,100.0,12024
12,25,113,113,100.0,12025
12,26,52,52,100.0,12026
12,27,41,41,100.0,12027
12,28,78,78,100.0,12028
12,29,116,116,100.0,12029
12,30,76,76,100.0,12030
14,5,105,105,100.0,14005
14,6,104,104,100.0,14006
14,7,96,96,100.0,14007
14,8,117,117,100.0,14008
14,10,63,63,100.0,14010
14,11,95,95,100.0,14011
14,12,66,66,100.0,14012
14,14,75,75,100.0,14014
14,15,60,60,100.0,14015
14,16,104,104,100.0,14016
14,17,95,95,100.0,14017
14,18,88,88,100.0,14018
14,19,133,133,100.0,14019
14,20,117,117,100.0,14020
14,21,148,148,100.0,14021
14,22,93,93,100.0,14022
14,23,85,85,100.0,14023
14,24,115,115,100.0,14024
14,25,118,118,100.0,14025
14,26,83,83,100.0,14026
14,29,131,131,100.0,14029
14,30,101,101,100.0,14030
14,31,78,78,100.0,14031
14,32,127,127,100.0,14032
14,33,78,78,100.0,14033
14,34,70,70,100.0,14034
14,36,133,133,100.0,14036
14,37,95,95,100.0,14037
14,38,92,92,100.0,14038
14,39,109,109,100.0,14039
14,40,69,69,100.0,14040
14,41,102,102,100.0,14041
14,42,77,77,100.0,14042
14,46,118,118,100.0,14046
14,47,136,136,100.0,14047
14,48,89,89,100.0,14048
15,6,119,119,100.0,15006
15,9,91,91,100.0,15009
15,11,129,129,100.0,15011
15,22,112,112,100.0,15022
15,24,131,131,100.0,15024
15,29,89,89,100.0,15029
15,30,93,93,100.0,15030
15,38,118,118,100.0,15038
15,48,106,106,100.0,15048
15,49,49,49,100.0,15049
15,50,124,124,100.0,15050
16,1,67,67,100.0,16001
16,2,115,115,100.0,16002
16,4,46,46,100.0,16004
16,7,97,97,100.0,16007
16,11,105,105,100.0,16011
16,13,75,75,100.0,16013
16,21,99,99,100.0,16021
16,23,100,100,100.0,16023
16,32,37,37,100.0,16032
16,41,67,67,100.0,16041
16,42,114,114,100.0,16042
22,2,71,71,100.0,22002
22,3,122,122,100.0,22003
22,4,99,99,100.0,22004
22,5,130,130,100.0,22005
22,6,95,95,100.0,22006
22,9,106,106,100.0,22009
22,10,133,133,100.0,22010
22,11,103,103,100.0,22011
22,13,104,104,100.0,22013
22,14,71,71,100.0,22014
22,16,113,113,100.0,22016
22,17,118,118,100.0,22017
22,18,81,81,100.0,22018
22,19,95,95,100.0,22019
22,23,117,117,100.0,22023
22,24,110,110,100.0,22024
22,25,100,100,100.0,22025
22,26,63,63,100.0,22026
22,27,132,132,100.0,22027
22,29,65,65,100.0,22029
23,23,136,136,100.0,23023
24,10,0,0,0.0,24010
24,44,40,40,100.0,24044
24,53,97,97,100.0,24053
25,1,105,105,100.0,25001
25,2,120,120,100.0,25002
25,5,121,121,100.0,25005
25,6,141,141,100.0,25006
25,7,114,114,100.0,25007
25,8,139,139,100.0,25008
25,9,160,160,100.0,25009
25,11,152,152,100.0,25011
25,12,121,121,100.0,25012
25,13,130,130,100.0,25013
25,15,111,111,100.0,25015
25,17,136,136,100.0,25017
25,19,120,120,100.0,25019
25,20,168,168,100.0,25020
25,22,87,87,100.0,25022
25,23,129,129,100.0,25023
25,24,117,117,100.0,25024
42,12,81,81,100.0,42012
42,32,84,84,100.0,42032
