ward,precinct,total,PAUL G. VALLAS,PAUL G. VALLAS Percent,ROD R. BLAGOJEVICH,ROD R. BLAGOJEVICH Percent,ROLAND W. BURRIS,ROLAND W. BURRIS Percent,precinct_id
1,1,185,38,20.54,135,72.97,12,6.49,01001
1,2,195,86,44.1,86,44.1,23,11.79,01002
1,3,124,68,54.84,47,37.9,9,7.26,01003
1,4,150,78,52.0,66,44.0,6,4.0,01004
1,5,152,65,42.76,66,43.42,21,13.82,01005
1,6,62,11,17.74,12,19.35,39,62.9,01006
1,7,175,82,46.86,74,42.29,19,10.86,01007
1,8,110,44,40.0,36,32.73,30,27.27,01008
1,9,192,77,40.1,105,54.69,10,5.21,01009
1,10,164,72,43.9,59,35.98,33,20.12,01010
1,11,154,44,28.57,97,62.99,13,8.44,01011
1,12,186,60,32.26,106,56.99,20,10.75,01012
1,13,191,35,18.32,140,73.3,16,8.38,01013
1,14,149,42,28.19,66,44.3,41,27.52,01014
1,15,198,52,26.26,117,59.09,29,14.65,01015
1,16,143,31,21.68,61,42.66,51,35.66,01016
1,17,126,66,52.38,45,35.71,15,11.9,01017
1,18,187,41,21.93,122,65.24,24,12.83,01018
1,19,189,58,30.69,96,50.79,35,18.52,01019
1,20,155,34,21.94,98,63.23,23,14.84,01020
1,21,142,62,43.66,69,48.59,11,7.75,01021
1,22,108,24,22.22,65,60.19,19,17.59,01022
1,23,254,101,39.76,122,48.03,31,12.2,01023
1,24,132,45,34.09,74,56.06,13,9.85,01024
1,25,140,50,35.71,74,52.86,16,11.43,01025
1,26,161,53,32.92,86,53.42,22,13.66,01026
1,27,133,31,23.31,63,47.37,39,29.32,01027
1,28,30,5,16.67,18,60.0,7,23.33,01028
1,29,261,80,30.65,142,54.41,39,14.94,01029
1,30,162,35,21.6,105,64.81,22,13.58,01030
1,31,125,47,37.6,74,59.2,4,3.2,01031
1,32,230,40,17.39,111,48.26,79,34.35,01032
1,33,185,59,31.89,111,60.0,15,8.11,01033
1,34,37,18,48.65,18,48.65,1,2.7,01034
1,35,56,26,46.43,27,48.21,3,5.36,01035
1,36,133,50,37.59,74,55.64,9,6.77,01036
1,37,201,79,39.3,105,52.24,17,8.46,01037
2,1,172,73,42.44,31,18.02,68,39.53,02001
2,2,294,51,17.35,14,4.76,229,77.89,02002
2,3,119,22,18.49,5,4.2,92,77.31,02003
2,4,101,28,27.72,6,5.94,67,66.34,02004
2,5,95,13,13.68,9,9.47,73,76.84,02005
2,6,98,9,9.18,9,9.18,80,81.63,02006
2,7,258,32,12.4,18,6.98,208,80.62,02007
2,8,206,93,45.15,40,19.42,73,35.44,02008
2,9,0,0,0.0,0,0.0,0,0.0,02009
2,10,105,7,6.67,5,4.76,93,88.57,02010
2,11,374,189,50.53,60,16.04,125,33.42,02011
2,12,256,23,8.98,8,3.13,225,87.89,02012
2,13,252,31,12.3,12,4.76,209,82.94,02013
2,14,290,48,16.55,20,6.9,222,76.55,02014
2,15,60,7,11.67,3,5.0,50,83.33,02015
2,16,122,14,11.48,7,5.74,101,82.79,02016
2,17,164,28,17.07,9,5.49,127,77.44,02017
2,18,280,34,12.14,18,6.43,228,81.43,02018
2,19,85,7,8.24,5,5.88,73,85.88,02019
2,20,201,16,7.96,14,6.97,171,85.07,02020
2,21,184,19,10.33,7,3.8,158,85.87,02021
2,22,425,219,51.53,69,16.24,137,32.24,02022
2,23,142,17,11.97,13,9.15,112,78.87,02023
2,24,90,10,11.11,6,6.67,74,82.22,02024
2,25,87,19,21.84,22,25.29,46,52.87,02025
2,26,132,17,12.88,8,6.06,107,81.06,02026
2,27,36,2,5.56,3,8.33,31,86.11,02027
2,28,242,34,14.05,11,4.55,197,81.4,02028
2,29,90,14,15.56,7,7.78,69,76.67,02029
2,30,132,16,12.12,9,6.82,107,81.06,02030
2,31,221,31,14.03,15,6.79,175,79.19,02031
2,32,142,12,8.45,9,6.34,121,85.21,02032
2,33,293,56,19.11,21,7.17,216,73.72,02033
2,34,232,12,5.17,9,3.88,211,90.95,02034
2,35,41,21,51.22,7,17.07,13,31.71,02035
2,36,99,13,13.13,4,4.04,82,82.83,02036
2,37,230,89,38.7,51,22.17,90,39.13,02037
2,38,186,19,10.22,18,9.68,149,80.11,02038
2,39,222,42,18.92,25,11.26,155,69.82,02039
2,40,219,66,30.14,33,15.07,120,54.79,02040
2,41,49,3,6.12,0,0.0,46,93.88,02041
2,42,64,13,20.31,7,10.94,44,68.75,02042
2,43,232,124,53.45,42,18.1,66,28.45,02043
2,44,215,11,5.12,18,8.37,186,86.51,02044
2,45,97,12,12.37,5,5.15,80,82.47,02045
2,46,365,49,13.42,12,3.29,304,83.29,02046
2,47,128,32,25.0,11,8.59,85,66.41,02047
2,48,234,41,17.52,23,9.83,170,72.65,02048
2,49,89,41,46.07,32,35.96,16,17.98,02049
2,50,112,36,32.14,26,23.21,50,44.64,02050
2,51,181,25,13.81,9,4.97,147,81.22,02051
2,52,150,33,22.0,21,14.0,96,64.0,02052
2,53,93,9,9.68,6,6.45,78,83.87,02053
2,54,215,113,52.56,61,28.37,41,19.07,02054
2,55,148,66,44.59,17,11.49,65,43.92,02055
2,56,61,5,8.2,3,4.92,53,86.89,02056
3,1,144,9,6.25,5,3.47,130,90.28,03001
3,2,323,23,7.12,8,2.48,292,90.4,03002
3,3,28,1,3.57,2,7.14,25,89.29,03003
3,4,64,10,15.63,4,6.25,50,78.13,03004
3,5,0,0,0.0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,0,0.0,03007
3,8,98,7,7.14,8,8.16,83,84.69,03008
3,9,132,15,11.36,5,3.79,112,84.85,03009
3,10,91,5,5.49,7,7.69,79,86.81,03010
3,11,124,14,11.29,2,1.61,108,87.1,03011
3,12,182,21,11.54,9,4.95,152,83.52,03012
3,13,11,0,0.0,0,0.0,11,100.0,03013
3,14,104,8,7.69,12,11.54,84,80.77,03014
3,15,133,14,10.53,5,3.76,114,85.71,03015
3,16,259,26,10.04,7,2.7,226,87.26,03016
3,17,159,9,5.66,10,6.29,140,88.05,03017
3,18,141,11,7.8,4,2.84,126,89.36,03018
3,19,83,14,16.87,3,3.61,66,79.52,03019
3,20,40,6,15.0,10,25.0,24,60.0,03020
3,21,110,5,4.55,6,5.45,99,90.0,03021
3,22,138,16,11.59,2,1.45,120,86.96,03022
3,23,65,4,6.15,5,7.69,56,86.15,03023
3,24,191,13,6.81,6,3.14,172,90.05,03024
3,25,45,4,8.89,5,11.11,36,80.0,03025
3,26,113,13,11.5,7,6.19,93,82.3,03026
3,27,36,5,13.89,2,5.56,29,80.56,03027
3,28,181,23,12.71,8,4.42,150,82.87,03028
3,29,0,0,0.0,0,0.0,0,0.0,03029
3,30,176,16,9.09,13,7.39,147,83.52,03030
3,31,206,21,10.19,6,2.91,179,86.89,03031
3,32,199,19,9.55,10,5.03,170,85.43,03032
3,33,195,17,8.72,5,2.56,173,88.72,03033
3,34,59,4,6.78,5,8.47,50,84.75,03034
3,35,142,11,7.75,6,4.23,125,88.03,03035
3,36,58,7,12.07,5,8.62,46,79.31,03036
3,37,129,9,6.98,6,4.65,114,88.37,03037
3,38,250,21,8.4,19,7.6,210,84.0,03038
3,39,308,14,4.55,11,3.57,283,91.88,03039
3,40,167,11,6.59,3,1.8,153,91.62,03040
3,41,126,13,10.32,4,3.17,109,86.51,03041
3,42,87,10,11.49,5,5.75,72,82.76,03042
3,43,0,0,0.0,0,0.0,0,0.0,03043
3,44,119,11,9.24,4,3.36,104,87.39,03044
3,45,73,13,17.81,6,8.22,54,73.97,03045
3,46,21,2,9.52,2,9.52,17,80.95,03046
3,47,131,13,9.92,9,6.87,109,83.21,03047
3,48,177,16,9.04,7,3.95,154,87.01,03048
3,49,166,16,9.64,2,1.2,148,89.16,03049
3,50,184,12,6.52,5,2.72,167,90.76,03050
3,51,78,31,39.74,34,43.59,13,16.67,03051
3,52,214,13,6.07,8,3.74,193,90.19,03052
4,1,203,48,23.65,32,15.76,123,60.59,04001
4,2,68,8,11.76,4,5.88,56,82.35,04002
