ward,precinct,total,LOU GIOVANNETTI,LOU GIOVANNETTI Percent,ROBERT J. BUGIELSKI,ROBERT J. BUGIELSKI Percent,FRANK L. COCONATE,FRANK L. COCONATE Percent,precinct_id
36,5,166,17,10.24,98,59.04,51,30.72,36005
36,7,212,16,7.55,143,67.45,53,25.0,36007
36,8,238,27,11.34,160,67.23,51,21.43,36008
36,9,210,38,18.1,133,63.33,39,18.57,36009
36,10,185,31,16.76,117,63.24,37,20.0,36010
36,11,296,40,13.51,227,76.69,29,9.8,36011
36,12,209,33,15.79,138,66.03,38,18.18,36012
36,13,272,22,8.09,219,80.51,31,11.4,36013
36,14,259,27,10.42,208,80.31,24,9.27,36014
36,15,185,18,9.73,153,82.7,14,7.57,36015
36,17,180,18,10.0,111,61.67,51,28.33,36017
36,18,249,30,12.05,138,55.42,81,32.53,36018
36,19,359,17,4.74,328,91.36,14,3.9,36019
36,20,297,23,7.74,256,86.2,18,6.06,36020
36,25,150,17,11.33,75,50.0,58,38.67,36025
36,27,181,36,19.89,105,58.01,40,22.1,36027
36,28,169,19,11.24,132,78.11,18,10.65,36028
36,29,218,30,13.76,156,71.56,32,14.68,36029
36,30,267,48,17.98,163,61.05,56,20.97,36030
36,31,225,34,15.11,149,66.22,42,18.67,36031
36,32,223,15,6.73,173,77.58,35,15.7,36032
36,34,151,25,16.56,59,39.07,67,44.37,36034
36,35,250,29,11.6,197,78.8,24,9.6,36035
36,37,169,19,11.24,119,70.41,31,18.34,36037
36,38,146,14,9.59,104,71.23,28,19.18,36038
36,39,216,22,10.19,159,73.61,35,16.2,36039
36,40,221,52,23.53,139,62.9,30,13.57,36040
36,42,166,35,21.08,94,56.63,37,22.29,36042
36,46,205,26,12.68,120,58.54,59,28.78,36046
36,47,179,19,10.61,97,54.19,63,35.2,36047
36,48,215,44,20.47,130,60.47,41,19.07,36048
36,49,199,38,19.1,120,60.3,41,20.6,36049
36,50,213,3,1.41,209,98.12,1,0.47,36050
36,52,182,36,19.78,120,65.93,26,14.29,36052
36,53,94,26,27.66,56,59.57,12,12.77,36053
38,3,195,31,15.9,111,56.92,53,27.18,38003
38,7,218,40,18.35,133,61.01,45,20.64,38007
38,38,209,35,16.75,69,33.01,105,50.24,38038
41,1,146,35,23.97,67,45.89,44,30.14,41001
41,2,248,46,18.55,138,55.65,64,25.81,41002
41,3,197,56,28.43,94,47.72,47,23.86,41003
41,4,203,31,15.27,60,29.56,112,55.17,41004
41,5,161,29,18.01,67,41.61,65,40.37,41005
41,6,161,34,21.12,78,48.45,49,30.43,41006
41,7,279,40,14.34,61,21.86,178,63.8,41007
41,8,186,60,32.26,55,29.57,71,38.17,41008
41,9,170,27,15.88,114,67.06,29,17.06,41009
41,11,145,25,17.24,54,37.24,66,45.52,41011
41,12,214,59,27.57,93,43.46,62,28.97,41012
41,13,49,19,38.78,13,26.53,17,34.69,41013
41,15,122,17,13.93,52,42.62,53,43.44,41015
41,16,214,31,14.49,115,53.74,68,31.78,41016
41,17,220,46,20.91,107,48.64,67,30.45,41017
41,18,144,37,25.69,68,47.22,39,27.08,41018
41,19,237,41,17.3,140,59.07,56,23.63,41019
41,20,230,25,10.87,126,54.78,79,34.35,41020
41,21,143,27,18.88,70,48.95,46,32.17,41021
41,22,193,44,22.8,83,43.01,66,34.2,41022
41,24,165,61,36.97,68,41.21,36,21.82,41024
41,30,180,36,20.0,88,48.89,56,31.11,41030
41,31,199,45,22.61,81,40.7,73,36.68,41031
41,33,185,40,21.62,75,40.54,70,37.84,41033
41,34,159,31,19.5,50,31.45,78,49.06,41034
41,35,165,24,14.55,75,45.45,66,40.0,41035
41,36,177,38,21.47,87,49.15,52,29.38,41036
41,37,204,34,16.67,95,46.57,75,36.76,41037
41,39,193,46,23.83,49,25.39,98,50.78,41039
41,40,167,26,15.57,88,52.69,53,31.74,41040
41,41,158,50,31.65,43,27.22,65,41.14,41041
41,42,182,32,17.58,76,41.76,74,40.66,41042
41,43,162,34,20.99,92,56.79,36,22.22,41043
41,44,157,49,31.21,64,40.76,44,28.03,41044
41,45,150,48,32.0,58,38.67,44,29.33,41045
41,46,187,41,21.93,76,40.64,70,37.43,41046
41,49,174,39,22.41,94,54.02,41,23.56,41049
41,50,195,41,21.03,101,51.79,53,27.18,41050
41,51,102,27,26.47,54,52.94,21,20.59,41051
41,52,220,46,20.91,115,52.27,59,26.82,41052
41,53,175,43,24.57,56,32.0,76,43.43,41053
41,55,143,25,17.48,69,48.25,49,34.27,41055
41,56,210,37,17.62,69,32.86,104,49.52,41056
41,57,185,56,30.27,96,51.89,33,17.84,41057
41,58,139,24,17.27,63,45.32,52,37.41,41058
41,60,171,51,29.82,62,36.26,58,33.92,41060
41,61,261,54,20.69,87,33.33,120,45.98,41061
41,62,200,76,38.0,76,38.0,48,24.0,41062
41,63,168,38,22.62,79,47.02,51,30.36,41063
41,64,186,42,22.58,85,45.7,59,31.72,41064
41,65,117,27,23.08,61,52.14,29,24.79,41065
