ward,precinct,total,DON HARMON,DON HARMON Percent,precinct_id
29,4,163,163,100.0,29004
29,5,155,155,100.0,29005
29,8,154,154,100.0,29008
29,9,111,111,100.0,29009
29,11,117,117,100.0,29011
29,13,184,184,100.0,29013
29,18,155,155,100.0,29018
29,20,88,88,100.0,29020
29,23,40,40,100.0,29023
29,29,225,225,100.0,29029
29,32,152,152,100.0,29032
29,33,131,131,100.0,29033
29,35,219,219,100.0,29035
29,37,137,137,100.0,29037
29,40,206,206,100.0,29040
29,41,209,209,100.0,29041
29,43,200,200,100.0,29043
29,44,155,155,100.0,29044
29,45,139,139,100.0,29045
29,46,121,121,100.0,29046
29,47,231,231,100.0,29047
29,50,185,185,100.0,29050
29,51,137,137,100.0,29051
36,2,104,104,100.0,36002
36,16,183,183,100.0,36016
36,22,191,191,100.0,36022
36,23,82,82,100.0,36023
36,24,110,110,100.0,36024
36,33,147,147,100.0,36033
36,44,160,160,100.0,36044
36,45,135,135,100.0,36045
36,54,186,186,100.0,36054
36,55,192,192,100.0,36055
37,1,6,6,100.0,37001
37,6,184,184,100.0,37006
37,7,160,160,100.0,37007
37,9,98,98,100.0,37009
37,18,116,116,100.0,37018
37,23,74,74,100.0,37023
37,24,93,93,100.0,37024
37,25,0,0,0.0,37025
37,29,104,104,100.0,37029
37,36,101,101,100.0,37036
37,37,125,125,100.0,37037
37,38,123,123,100.0,37038
37,41,34,34,100.0,37041
37,45,23,23,100.0,37045
37,46,115,115,100.0,37046
37,50,42,42,100.0,37050
41,27,66,66,100.0,41027
