ward,precinct,total,JANICE D SCHAKOWSKY,JANICE D SCHAKOWSKY Percent,precinct_id
40,3,99,99,100.0,40003
40,4,164,164,100.0,40004
40,7,111,111,100.0,40007
40,8,164,164,100.0,40008
40,9,83,83,100.0,40009
40,11,106,106,100.0,40011
40,12,106,106,100.0,40012
40,13,115,115,100.0,40013
40,16,226,226,100.0,40016
40,18,110,110,100.0,40018
40,22,84,84,100.0,40022
40,26,150,150,100.0,40026
40,27,208,208,100.0,40027
40,28,119,119,100.0,40028
40,33,123,123,100.0,40033
40,35,164,164,100.0,40035
40,37,155,155,100.0,40037
40,39,101,101,100.0,40039
40,41,120,120,100.0,40041
40,42,184,184,100.0,40042
40,43,140,140,100.0,40043
40,46,156,156,100.0,40046
40,47,128,128,100.0,40047
41,1,129,129,100.0,41001
41,2,205,205,100.0,41002
41,4,166,166,100.0,41004
41,5,133,133,100.0,41005
41,6,138,138,100.0,41006
41,7,223,223,100.0,41007
41,8,156,156,100.0,41008
41,11,115,115,100.0,41011
41,13,138,138,100.0,41013
41,15,95,95,100.0,41015
41,17,182,182,100.0,41017
41,18,128,128,100.0,41018
41,20,201,201,100.0,41020
41,25,77,77,100.0,41025
41,26,81,81,100.0,41026
41,27,73,73,100.0,41027
41,28,74,74,100.0,41028
41,29,38,38,100.0,41029
41,31,172,172,100.0,41031
41,32,113,113,100.0,41032
41,33,158,158,100.0,41033
41,34,132,132,100.0,41034
41,36,144,144,100.0,41036
41,37,163,163,100.0,41037
41,38,100,100,100.0,41038
41,39,158,158,100.0,41039
41,40,136,136,100.0,41040
41,41,124,124,100.0,41041
41,42,144,144,100.0,41042
41,44,135,135,100.0,41044
41,45,120,120,100.0,41045
41,48,103,103,100.0,41048
41,49,144,144,100.0,41049
41,52,181,181,100.0,41052
41,53,136,136,100.0,41053
41,55,119,119,100.0,41055
41,56,179,179,100.0,41056
41,58,110,110,100.0,41058
41,60,125,125,100.0,41060
41,61,230,230,100.0,41061
41,63,138,138,100.0,41063
41,64,148,148,100.0,41064
44,1,2,2,100.0,44001
44,3,189,189,100.0,44003
44,4,167,167,100.0,44004
