ward,precinct,total,MICHAEL FRANCIS LEFKOW,MICHAEL FRANCIS LEFKOW Percent,RHODA DAVIS SWEENEY,RHODA DAVIS SWEENEY Percent,BRIAN M. COLLINS,BRIAN M. COLLINS Percent,THOMAS J. LIPSCOMB,THOMAS J. LIPSCOMB Percent,COLLEEN M. GLASS,COLLEEN M. GLASS Percent,ROBERT RONALD TEPPER,ROBERT RONALD TEPPER Percent,precinct_id
2,1,126,7,5.56,20,15.87,26,20.63,15,11.9,25,19.84,11,8.73,02001
2,3,92,2,2.17,26,28.26,30,32.61,10,10.87,15,16.3,9,9.78,02003
2,5,77,2,2.6,22,28.57,27,35.06,5,6.49,9,11.69,5,6.49,02005
2,7,198,13,6.57,47,23.74,49,24.75,43,21.72,33,16.67,7,3.54,02007
2,8,164,14,8.54,48,29.27,40,24.39,17,10.37,21,12.8,9,5.49,02008
2,11,237,20,8.44,35,14.77,57,24.05,36,15.19,31,13.08,23,9.7,02011
2,22,307,22,7.17,57,18.57,74,24.1,47,15.31,54,17.59,21,6.84,02022
2,26,69,3,4.35,16,23.19,17,24.64,7,10.14,14,20.29,5,7.25,02026
2,35,28,5,17.86,7,25.0,4,14.29,1,3.57,9,32.14,0,0.0,02035
2,37,171,11,6.43,36,21.05,36,21.05,19,11.11,36,21.05,11,6.43,02037
2,40,161,11,6.83,28,17.39,42,26.09,23,14.29,27,16.77,12,7.45,02040
2,43,167,19,11.38,32,19.16,36,21.56,28,16.77,24,14.37,7,4.19,02043
2,49,56,6,10.71,15,26.79,7,12.5,6,10.71,8,14.29,6,10.71,02049
2,52,110,7,6.36,24,21.82,23,20.91,20,18.18,20,18.18,9,8.18,02052
2,54,151,6,3.97,29,19.21,29,19.21,14,9.27,41,27.15,11,7.28,02054
2,55,107,3,2.8,29,27.1,22,20.56,10,9.35,19,17.76,6,5.61,02055
2,56,47,10,21.28,9,19.15,8,17.02,5,10.64,12,25.53,1,2.13,02056
25,3,87,11,12.64,15,17.24,17,19.54,10,11.49,17,19.54,2,2.3,25003
25,14,76,12,15.79,12,15.79,20,26.32,9,11.84,6,7.89,5,6.58,25014
25,16,52,3,5.77,14,26.92,10,19.23,1,1.92,10,19.23,3,5.77,25016
25,18,114,9,7.89,22,19.3,23,20.18,13,11.4,28,24.56,7,6.14,25018
27,5,64,9,14.06,19,29.69,7,10.94,5,7.81,9,14.06,6,9.38,27005
27,6,86,5,5.81,18,20.93,28,32.56,21,24.42,10,11.63,3,3.49,27006
27,9,217,4,1.84,21,9.68,26,11.98,135,62.21,13,5.99,5,2.3,27009
27,12,49,4,8.16,19,38.78,10,20.41,6,12.24,5,10.2,3,6.12,27012
27,13,270,35,12.96,32,11.85,33,12.22,94,34.81,30,11.11,17,6.3,27013
27,14,62,3,4.84,6,9.68,14,22.58,28,45.16,6,9.68,1,1.61,27014
27,16,92,5,5.43,17,18.48,16,17.39,27,29.35,11,11.96,7,7.61,27016
27,20,237,6,2.53,153,64.56,31,13.08,20,8.44,15,6.33,4,1.69,27020
27,21,77,5,6.49,11,14.29,16,20.78,37,48.05,2,2.6,1,1.3,27021
27,28,106,11,10.38,30,28.3,20,18.87,21,19.81,10,9.43,10,9.43,27028
27,37,114,6,5.26,20,17.54,20,17.54,34,29.82,12,10.53,10,8.77,27037
27,38,96,7,7.29,20,20.83,22,22.92,15,15.63,12,12.5,5,5.21,27038
27,39,49,3,6.12,10,20.41,10,20.41,13,26.53,8,16.33,5,10.2,27039
27,42,69,7,10.14,8,11.59,20,28.99,12,17.39,5,7.25,6,8.7,27042
27,43,96,4,4.17,18,18.75,25,26.04,29,30.21,14,14.58,4,4.17,27043
27,50,151,19,12.58,33,21.85,33,21.85,14,9.27,21,13.91,10,6.62,27050
27,51,89,0,0.0,13,14.61,12,13.48,47,52.81,10,11.24,4,4.49,27051
