ward,precinct,total,DEBORAH SIMS,DEBORAH SIMS Percent,ROBERT E. FOX JR.,ROBERT E. FOX JR. Percent,EARL B. KING,EARL B. KING Percent,CAROLYN ALEXANDER CROSWELL,CAROLYN ALEXANDER CROSWELL Percent,precinct_id
9,1,267,202,75.66,17,6.37,33,12.36,15,5.62,09001
9,2,279,225,80.65,18,6.45,25,8.96,11,3.94,09002
9,3,163,105,64.42,27,16.56,11,6.75,20,12.27,09003
9,4,266,153,57.52,84,31.58,21,7.89,8,3.01,09004
9,5,238,173,72.69,20,8.4,29,12.18,16,6.72,09005
9,6,231,153,66.23,32,13.85,22,9.52,24,10.39,09006
9,7,202,144,71.29,15,7.43,25,12.38,18,8.91,09007
9,9,272,195,71.69,15,5.51,48,17.65,14,5.15,09009
9,10,208,163,78.37,10,4.81,28,13.46,7,3.37,09010
9,11,138,82,59.42,31,22.46,16,11.59,9,6.52,09011
9,12,202,150,74.26,16,7.92,26,12.87,10,4.95,09012
9,13,306,210,68.63,14,4.58,55,17.97,27,8.82,09013
9,14,317,235,74.13,20,6.31,49,15.46,13,4.1,09014
9,15,92,72,78.26,12,13.04,4,4.35,4,4.35,09015
9,16,227,150,66.08,32,14.1,30,13.22,15,6.61,09016
9,17,176,137,77.84,10,5.68,22,12.5,7,3.98,09017
9,18,213,115,53.99,56,26.29,20,9.39,22,10.33,09018
9,19,260,174,66.92,39,15.0,29,11.15,18,6.92,09019
9,22,279,176,63.08,30,10.75,50,17.92,23,8.24,09022
9,23,160,93,58.13,50,31.25,15,9.38,2,1.25,09023
9,24,102,64,62.75,18,17.65,10,9.8,10,9.8,09024
9,25,111,75,67.57,20,18.02,7,6.31,9,8.11,09025
9,26,130,88,67.69,22,16.92,16,12.31,4,3.08,09026
9,28,135,82,60.74,28,20.74,12,8.89,13,9.63,09028
9,29,198,139,70.2,14,7.07,36,18.18,9,4.55,09029
9,30,241,159,65.98,32,13.28,30,12.45,20,8.3,09030
9,31,177,118,66.67,16,9.04,25,14.12,18,10.17,09031
9,32,236,172,72.88,21,8.9,34,14.41,9,3.81,09032
9,33,159,101,63.52,25,15.72,21,13.21,12,7.55,09033
9,34,174,125,71.84,16,9.2,21,12.07,12,6.9,09034
9,35,227,171,75.33,14,6.17,25,11.01,17,7.49,09035
9,38,222,166,74.77,11,4.95,32,14.41,13,5.86,09038
9,39,212,116,54.72,58,27.36,23,10.85,15,7.08,09039
9,40,261,185,70.88,18,6.9,43,16.48,15,5.75,09040
9,41,289,138,47.75,122,42.21,26,9.0,3,1.04,09041
9,42,162,107,66.05,26,16.05,14,8.64,15,9.26,09042
9,43,151,102,67.55,12,7.95,23,15.23,14,9.27,09043
9,44,161,103,63.98,30,18.63,24,14.91,4,2.48,09044
9,45,264,192,72.73,33,12.5,22,8.33,17,6.44,09045
9,46,183,134,73.22,13,7.1,26,14.21,10,5.46,09046
9,47,129,72,55.81,30,23.26,18,13.95,9,6.98,09047
9,48,272,185,68.01,18,6.62,48,17.65,21,7.72,09048
9,50,273,177,64.84,40,14.65,33,12.09,23,8.42,09050
9,52,238,179,75.21,7,2.94,36,15.13,16,6.72,09052
19,43,245,174,71.02,18,7.35,31,12.65,22,8.98,19043
19,48,277,211,76.17,15,5.42,32,11.55,19,6.86,19048
19,50,228,168,73.68,21,9.21,30,13.16,9,3.95,19050
34,1,324,262,80.86,16,4.94,25,7.72,21,6.48,34001
34,2,226,185,81.86,11,4.87,19,8.41,11,4.87,34002
34,3,176,121,68.75,18,10.23,20,11.36,17,9.66,34003
34,4,203,164,80.79,5,2.46,21,10.34,13,6.4,34004
34,5,118,81,68.64,14,11.86,10,8.47,13,11.02,34005
34,6,246,162,65.85,27,10.98,40,16.26,17,6.91,34006
34,7,308,255,82.79,16,5.19,32,10.39,5,1.62,34007
34,8,250,174,69.6,27,10.8,35,14.0,14,5.6,34008
34,9,166,114,68.67,28,16.87,15,9.04,9,5.42,34009
34,10,278,206,74.1,20,7.19,35,12.59,17,6.12,34010
34,11,134,88,65.67,13,9.7,22,16.42,11,8.21,34011
34,12,208,168,80.77,8,3.85,21,10.1,11,5.29,34012
34,13,120,79,65.83,13,10.83,17,14.17,11,9.17,34013
34,14,123,79,64.23,15,12.2,19,15.45,10,8.13,34014
34,15,120,91,75.83,11,9.17,12,10.0,6,5.0,34015
34,16,157,107,68.15,14,8.92,27,17.2,9,5.73,34016
34,17,223,160,71.75,15,6.73,32,14.35,16,7.17,34017
34,18,165,136,82.42,9,5.45,10,6.06,10,6.06,34018
34,19,177,145,81.92,12,6.78,13,7.34,7,3.95,34019
34,20,263,216,82.13,11,4.18,21,7.98,15,5.7,34020
34,21,291,219,75.26,24,8.25,30,10.31,18,6.19,34021
34,22,298,264,88.59,10,3.36,16,5.37,8,2.68,34022
34,23,198,156,78.79,9,4.55,25,12.63,8,4.04,34023
34,24,213,164,77.0,10,4.69,24,11.27,15,7.04,34024
34,25,133,99,74.44,9,6.77,15,11.28,10,7.52,34025
34,26,167,132,79.04,11,6.59,17,10.18,7,4.19,34026
34,27,145,119,82.07,7,4.83,12,8.28,7,4.83,34027
34,28,132,119,90.15,4,3.03,5,3.79,4,3.03,34028
34,29,285,237,83.16,13,4.56,19,6.67,16,5.61,34029
34,30,303,235,77.56,18,5.94,36,11.88,14,4.62,34030
34,31,197,143,72.59,12,6.09,20,10.15,22,11.17,34031
34,32,231,193,83.55,13,5.63,15,6.49,10,4.33,34032
34,33,160,111,69.38,13,8.13,25,15.63,11,6.88,34033
34,34,236,164,69.49,25,10.59,34,14.41,13,5.51,34034
34,35,284,234,82.39,19,6.69,19,6.69,12,4.23,34035
34,36,303,258,85.15,9,2.97,23,7.59,13,4.29,34036
34,37,136,116,85.29,3,2.21,14,10.29,3,2.21,34037
34,38,155,130,83.87,7,4.52,12,7.74,6,3.87,34038
34,39,137,102,74.45,12,8.76,13,9.49,10,7.3,34039
34,40,247,182,73.68,16,6.48,34,13.77,15,6.07,34040
34,41,191,149,78.01,15,7.85,13,6.81,14,7.33,34041
34,42,256,188,73.44,20,7.81,30,11.72,18,7.03,34042
34,43,244,195,79.92,11,4.51,29,11.89,9,3.69,34043
34,44,269,239,88.85,4,1.49,19,7.06,7,2.6,34044
34,45,284,206,72.54,31,10.92,34,11.97,13,4.58,34045
34,46,157,123,78.34,11,7.01,11,7.01,12,7.64,34046
34,47,114,79,69.3,10,8.77,17,14.91,8,7.02,34047
34,48,226,179,79.2,13,5.75,22,9.73,12,5.31,34048
34,49,278,232,83.45,20,7.19,22,7.91,4,1.44,34049
34,50,173,127,73.41,13,7.51,18,10.4,15,8.67,34050
34,51,318,258,81.13,23,7.23,23,7.23,14,4.4,34051
34,52,187,149,79.68,15,8.02,16,8.56,7,3.74,34052
34,53,173,134,77.46,8,4.62,23,13.29,8,4.62,34053
34,54,207,167,80.68,14,6.76,17,8.21,9,4.35,34054
34,55,139,114,82.01,11,7.91,11,7.91,3,2.16,34055
34,56,159,130,81.76,9,5.66,17,10.69,3,1.89,34056
34,57,126,85,67.46,18,14.29,17,13.49,6,4.76,34057
34,58,190,163,85.79,7,3.68,16,8.42,4,2.11,34058
34,59,165,116,70.3,17,10.3,18,10.91,14,8.48,34059
34,60,215,164,76.28,21,9.77,19,8.84,11,5.12,34060
34,61,203,152,74.88,7,3.45,33,16.26,11,5.42,34061
