ward,precinct,total,LARRY McKEON,LARRY McKEON Percent,KIRSTEN M. CURLEY,KIRSTEN M. CURLEY Percent,precinct_id
40,1,33,24,72.73,9,27.27,40001
40,2,61,38,62.3,23,37.7,40002
40,9,85,58,68.24,27,31.76,40009
40,10,101,70,69.31,31,30.69,40010
40,14,104,68,65.38,36,34.62,40014
40,15,144,86,59.72,58,40.28,40015
40,18,109,73,66.97,36,33.03,40018
40,19,106,77,72.64,29,27.36,40019
40,21,127,70,55.12,57,44.88,40021
40,22,27,27,100.0,0,0.0,40022
40,23,144,87,60.42,57,39.58,40023
40,24,3,2,66.67,1,33.33,40024
40,25,104,76,73.08,28,26.92,40025
40,32,0,0,0.0,0,0.0,40032
40,33,119,76,63.87,43,36.13,40033
40,35,0,0,0.0,0,0.0,40035
40,36,152,109,71.71,43,28.29,40036
40,39,94,59,62.77,35,37.23,40039
40,40,88,64,72.73,24,27.27,40040
40,41,146,99,67.81,47,32.19,40041
40,42,137,95,69.34,42,30.66,40042
40,43,14,11,78.57,3,21.43,40043
40,44,115,75,65.22,40,34.78,40044
40,45,219,143,65.3,76,34.7,40045
40,46,144,92,63.89,52,36.11,40046
46,2,111,72,64.86,39,35.14,46002
46,4,131,88,67.18,43,32.82,46004
46,6,115,67,58.26,48,41.74,46006
46,7,210,130,61.9,80,38.1,46007
46,8,253,209,82.61,44,17.39,46008
46,9,121,68,56.2,53,43.8,46009
46,10,30,28,93.33,2,6.67,46010
46,11,166,106,63.86,60,36.14,46011
46,12,174,127,72.99,47,27.01,46012
46,14,95,64,67.37,31,32.63,46014
46,16,254,201,79.13,53,20.87,46016
46,19,168,115,68.45,53,31.55,46019
46,20,146,85,58.22,61,41.78,46020
46,21,42,26,61.9,16,38.1,46021
46,22,130,98,75.38,32,24.62,46022
46,23,112,79,70.54,33,29.46,46023
46,25,141,101,71.63,40,28.37,46025
46,26,126,78,61.9,48,38.1,46026
46,27,178,114,64.04,64,35.96,46027
46,32,252,182,72.22,70,27.78,46032
46,34,139,81,58.27,58,41.73,46034
46,35,201,112,55.72,89,44.28,46035
46,38,116,80,68.97,36,31.03,46038
46,39,163,93,57.06,70,42.94,46039
47,5,179,130,72.63,49,27.37,47005
47,10,184,137,74.46,47,25.54,47010
47,11,316,209,66.14,107,33.86,47011
47,12,20,8,40.0,12,60.0,47012
47,18,28,23,82.14,5,17.86,47018
47,19,258,195,75.58,63,24.42,47019
47,20,147,108,73.47,39,26.53,47020
47,21,130,89,68.46,41,31.54,47021
47,22,149,107,71.81,42,28.19,47022
47,23,78,51,65.38,27,34.62,47023
47,26,261,169,64.75,92,35.25,47026
47,28,201,130,64.68,71,35.32,47028
47,30,109,65,59.63,44,40.37,47030
47,31,205,127,61.95,78,38.05,47031
47,32,244,140,57.38,104,42.62,47032
47,33,66,45,68.18,21,31.82,47033
47,34,209,147,70.33,62,29.67,47034
47,36,211,147,69.67,64,30.33,47036
47,37,207,148,71.5,59,28.5,47037
47,38,209,150,71.77,59,28.23,47038
47,39,196,145,73.98,51,26.02,47039
47,40,107,72,67.29,35,32.71,47040
47,41,125,93,74.4,32,25.6,47041
47,42,77,40,51.95,37,48.05,47042
47,45,184,128,69.57,56,30.43,47045
48,4,177,112,63.28,65,36.72,48004
48,17,109,66,60.55,43,39.45,48017
48,20,63,46,73.02,17,26.98,48020
48,21,197,129,65.48,68,34.52,48021
48,23,137,86,62.77,51,37.23,48023
48,24,135,80,59.26,55,40.74,48024
48,25,140,94,67.14,46,32.86,48025
48,34,154,111,72.08,43,27.92,48034
48,35,180,122,67.78,58,32.22,48035
48,40,162,104,64.2,58,35.8,48040
50,34,0,0,0.0,0,0.0,50034
