ward,precinct,total,MIGUEL DEL VALLE,MIGUEL DEL VALLE Percent,precinct_id
1,1,145,145,100.0,01001
1,2,163,163,100.0,01002
1,3,99,99,100.0,01003
1,4,126,126,100.0,01004
1,5,126,126,100.0,01005
1,7,114,114,100.0,01007
1,9,140,140,100.0,01009
1,10,130,130,100.0,01010
1,11,123,123,100.0,01011
1,12,148,148,100.0,01012
1,13,170,170,100.0,01013
1,14,130,130,100.0,01014
1,15,180,180,100.0,01015
1,16,106,106,100.0,01016
1,17,102,102,100.0,01017
1,18,179,179,100.0,01018
1,19,173,173,100.0,01019
1,20,151,151,100.0,01020
1,21,119,119,100.0,01021
1,22,95,95,100.0,01022
1,23,201,201,100.0,01023
1,24,109,109,100.0,01024
1,25,113,113,100.0,01025
1,26,124,124,100.0,01026
1,27,116,116,100.0,01027
1,28,14,14,100.0,01028
1,29,234,234,100.0,01029
1,30,155,155,100.0,01030
1,32,141,141,100.0,01032
1,33,174,174,100.0,01033
1,34,28,28,100.0,01034
1,36,115,115,100.0,01036
1,37,165,165,100.0,01037
26,2,156,156,100.0,26002
26,3,74,74,100.0,26003
26,4,194,194,100.0,26004
26,5,175,175,100.0,26005
26,6,186,186,100.0,26006
26,9,156,156,100.0,26009
26,10,156,156,100.0,26010
26,12,158,158,100.0,26012
26,14,239,239,100.0,26014
26,15,117,117,100.0,26015
26,18,184,184,100.0,26018
26,20,114,114,100.0,26020
26,21,158,158,100.0,26021
26,22,88,88,100.0,26022
26,23,45,45,100.0,26023
26,26,98,98,100.0,26026
26,27,109,109,100.0,26027
26,29,169,169,100.0,26029
26,31,48,48,100.0,26031
26,35,167,167,100.0,26035
27,4,82,82,100.0,27004
27,10,17,17,100.0,27010
27,15,0,0,0.0,27015
27,32,66,66,100.0,27032
27,35,92,92,100.0,27035
29,2,84,84,100.0,29002
29,6,62,62,100.0,29006
29,7,139,139,100.0,29007
29,17,155,155,100.0,29017
29,30,26,26,100.0,29030
29,39,158,158,100.0,29039
29,48,65,65,100.0,29048
29,52,150,150,100.0,29052
29,53,108,108,100.0,29053
29,54,126,126,100.0,29054
30,5,97,97,100.0,30005
30,10,140,140,100.0,30010
30,11,145,145,100.0,30011
30,17,65,65,100.0,30017
30,20,92,92,100.0,30020
30,21,46,46,100.0,30021
30,27,122,122,100.0,30027
30,31,132,132,100.0,30031
30,33,106,106,100.0,30033
30,35,119,119,100.0,30035
30,37,108,108,100.0,30037
30,41,68,68,100.0,30041
30,42,156,156,100.0,30042
30,43,126,126,100.0,30043
30,45,130,130,100.0,30045
31,1,116,116,100.0,31001
31,3,140,140,100.0,31003
31,4,211,211,100.0,31004
31,7,28,28,100.0,31007
31,8,83,83,100.0,31008
31,9,125,125,100.0,31009
31,10,79,79,100.0,31010
31,11,41,41,100.0,31011
31,12,165,165,100.0,31012
31,13,73,73,100.0,31013
31,15,141,141,100.0,31015
31,16,116,116,100.0,31016
31,17,180,180,100.0,31017
31,20,130,130,100.0,31020
31,21,102,102,100.0,31021
31,22,131,131,100.0,31022
31,23,72,72,100.0,31023
31,24,116,116,100.0,31024
31,25,160,160,100.0,31025
31,26,103,103,100.0,31026
31,27,113,113,100.0,31027
31,28,137,137,100.0,31028
31,29,97,97,100.0,31029
31,34,180,180,100.0,31034
31,35,115,115,100.0,31035
31,36,191,191,100.0,31036
31,37,163,163,100.0,31037
31,38,144,144,100.0,31038
31,39,126,126,100.0,31039
31,40,140,140,100.0,31040
31,41,112,112,100.0,31041
31,42,99,99,100.0,31042
31,43,117,117,100.0,31043
31,44,127,127,100.0,31044
31,45,116,116,100.0,31045
32,1,136,136,100.0,32001
32,3,114,114,100.0,32003
32,11,148,148,100.0,32011
32,12,87,87,100.0,32012
32,17,125,125,100.0,32017
32,47,0,0,0.0,32047
35,2,188,188,100.0,35002
35,13,164,164,100.0,35013
35,14,18,18,100.0,35014
35,15,83,83,100.0,35015
35,22,14,14,100.0,35022
35,23,154,154,100.0,35023
35,24,188,188,100.0,35024
35,26,116,116,100.0,35026
35,32,89,89,100.0,35032
35,34,76,76,100.0,35034
36,1,119,119,100.0,36001
36,3,140,140,100.0,36003
36,4,60,60,100.0,36004
36,6,128,128,100.0,36006
36,21,180,180,100.0,36021
36,36,151,151,100.0,36036
36,41,132,132,100.0,36041
36,51,172,172,100.0,36051
36,53,54,54,100.0,36053
36,56,134,134,100.0,36056
37,2,86,86,100.0,37002
37,42,34,34,100.0,37042
38,1,109,109,100.0,38001
38,10,0,0,0.0,38010
38,12,96,96,100.0,38012
38,16,179,179,100.0,38016
38,17,6,6,100.0,38017
38,54,6,6,100.0,38054
