ward,precinct,total,VALARIE E. TURNER,VALARIE E. TURNER Percent,ALFRED S. PHELPS,ALFRED S. PHELPS Percent,"MICHAEL """"MIKE"""" STUTTLEY","MICHAEL """"MIKE"""" STUTTLEY Percent",precinct_id
9,1,252,161,63.89,25,9.92,66,26.19,09001
9,2,231,159,68.83,25,10.82,47,20.35,09002
9,3,171,60,35.09,10,5.85,101,59.06,09003
9,4,258,135,52.33,21,8.14,102,39.53,09004
9,5,210,149,70.95,26,12.38,35,16.67,09005
9,6,225,143,63.56,17,7.56,65,28.89,09006
9,7,193,143,74.09,20,10.36,30,15.54,09007
9,8,154,112,72.73,22,14.29,20,12.99,09008
9,9,268,149,55.6,16,5.97,103,38.43,09009
9,10,194,143,73.71,15,7.73,36,18.56,09010
9,11,151,61,40.4,17,11.26,73,48.34,09011
9,12,182,120,65.93,23,12.64,39,21.43,09012
9,14,304,210,69.08,33,10.86,61,20.07,09014
9,15,100,45,45.0,8,8.0,47,47.0,09015
9,16,220,137,62.27,29,13.18,54,24.55,09016
9,17,170,104,61.18,19,11.18,47,27.65,09017
9,18,209,126,60.29,31,14.83,52,24.88,09018
9,19,263,155,58.94,33,12.55,75,28.52,09019
9,20,259,198,76.45,22,8.49,39,15.06,09020
9,21,152,96,63.16,22,14.47,34,22.37,09021
9,22,264,125,47.35,31,11.74,108,40.91,09022
9,23,151,103,68.21,16,10.6,32,21.19,09023
9,24,102,32,31.37,8,7.84,62,60.78,09024
9,25,100,64,64.0,11,11.0,25,25.0,09025
9,26,135,55,40.74,13,9.63,67,49.63,09026
9,27,136,92,67.65,10,7.35,34,25.0,09027
9,28,131,84,64.12,23,17.56,24,18.32,09028
9,29,189,123,65.08,20,10.58,46,24.34,09029
9,30,233,155,66.52,16,6.87,62,26.61,09030
9,31,169,108,63.91,21,12.43,40,23.67,09031
9,32,224,167,74.55,13,5.8,44,19.64,09032
9,33,152,88,57.89,13,8.55,51,33.55,09033
9,34,152,86,56.58,29,19.08,37,24.34,09034
9,36,115,83,72.17,14,12.17,18,15.65,09036
9,37,188,93,49.47,24,12.77,71,37.77,09037
9,38,204,137,67.16,21,10.29,46,22.55,09038
9,39,197,122,61.93,22,11.17,53,26.9,09039
9,40,253,175,69.17,20,7.91,58,22.92,09040
9,41,278,133,47.84,14,5.04,131,47.12,09041
9,42,173,52,30.06,13,7.51,108,62.43,09042
9,43,145,95,65.52,18,12.41,32,22.07,09043
9,44,158,105,66.46,24,15.19,29,18.35,09044
9,45,263,184,69.96,29,11.03,50,19.01,09045
9,46,180,124,68.89,16,8.89,40,22.22,09046
9,47,133,75,56.39,10,7.52,48,36.09,09047
9,48,254,148,58.27,26,10.24,80,31.5,09048
9,49,70,57,81.43,6,8.57,7,10.0,09049
9,50,257,173,67.32,25,9.73,59,22.96,09050
9,51,155,104,67.1,23,14.84,28,18.06,09051
10,14,27,11,40.74,5,18.52,11,40.74,10014
18,24,253,173,68.38,25,9.88,55,21.74,18024
18,25,218,179,82.11,9,4.13,30,13.76,18025
18,26,249,179,71.89,38,15.26,32,12.85,18026
18,41,176,124,70.45,18,10.23,34,19.32,18041
18,44,235,164,69.79,24,10.21,47,20.0,18044
18,45,243,203,83.54,15,6.17,25,10.29,18045
18,46,192,151,78.65,14,7.29,27,14.06,18046
19,60,221,157,71.04,19,8.6,45,20.36,19060
21,1,286,206,72.03,31,10.84,49,17.13,21001
21,3,312,187,59.94,30,9.62,95,30.45,21003
21,4,297,160,53.87,24,8.08,113,38.05,21004
21,5,201,146,72.64,15,7.46,40,19.9,21005
21,6,202,113,55.94,12,5.94,77,38.12,21006
21,7,226,172,76.11,22,9.73,32,14.16,21007
21,8,218,139,63.76,16,7.34,63,28.9,21008
21,9,212,102,48.11,43,20.28,67,31.6,21009
