ward,precinct,total,JOSE ANTHONY ALVAREZ,JOSE ANTHONY ALVAREZ Percent,WILLIAM DELGADO,WILLIAM DELGADO Percent,precinct_id
29,2,102,34,33.33,68,66.67,29002
29,6,73,30,41.1,43,58.9,29006
29,7,149,56,37.58,93,62.42,29007
29,17,172,83,48.26,89,51.74,29017
29,30,28,11,39.29,17,60.71,29030
29,39,179,42,23.46,137,76.54,29039
29,48,71,39,54.93,32,45.07,29048
29,52,184,95,51.63,89,48.37,29052
29,53,121,83,68.6,38,31.4,29053
29,54,143,86,60.14,57,39.86,29054
30,5,114,54,47.37,60,52.63,30005
30,10,145,70,48.28,75,51.72,30010
30,11,163,77,47.24,86,52.76,30011
30,17,71,39,54.93,32,45.07,30017
30,20,104,48,46.15,56,53.85,30020
30,21,59,27,45.76,32,54.24,30021
30,27,138,67,48.55,71,51.45,30027
30,31,158,76,48.1,82,51.9,30031
30,33,106,75,70.75,31,29.25,30033
30,35,125,60,48.0,65,52.0,30035
30,37,147,57,38.78,90,61.22,30037
30,41,67,29,43.28,38,56.72,30041
30,42,175,65,37.14,110,62.86,30042
30,43,143,74,51.75,69,48.25,30043
30,45,136,57,41.91,79,58.09,30045
31,4,225,94,41.78,131,58.22,31004
31,7,51,42,82.35,9,17.65,31007
31,8,92,64,69.57,28,30.43,31008
31,9,129,57,44.19,72,55.81,31009
31,10,88,39,44.32,49,55.68,31010
31,11,62,57,91.94,5,8.06,31011
31,12,182,108,59.34,74,40.66,31012
31,13,108,100,92.59,8,7.41,31013
31,16,124,41,33.06,83,66.94,31016
31,17,201,135,67.16,66,32.84,31017
31,21,121,79,65.29,42,34.71,31021
31,22,143,68,47.55,75,52.45,31022
31,23,76,47,61.84,29,38.16,31023
31,24,128,57,44.53,71,55.47,31024
31,25,183,94,51.37,89,48.63,31025
31,26,0,0,0.0,0,0.0,31026
31,27,124,72,58.06,52,41.94,31027
31,28,138,72,52.17,66,47.83,31028
31,29,123,89,72.36,34,27.64,31029
31,34,196,107,54.59,89,45.41,31034
31,35,32,22,68.75,10,31.25,31035
31,36,220,117,53.18,103,46.82,31036
31,37,174,79,45.4,95,54.6,31037
31,38,154,79,51.3,75,48.7,31038
31,39,140,71,50.71,69,49.29,31039
31,40,164,96,58.54,68,41.46,31040
31,42,131,45,34.35,86,65.65,31042
31,43,128,51,39.84,77,60.16,31043
31,44,149,83,55.7,66,44.3,31044
35,2,212,76,35.85,136,64.15,35002
35,13,189,48,25.4,141,74.6,35013
35,14,27,16,59.26,11,40.74,35014
35,15,114,80,70.18,34,29.82,35015
35,22,0,0,0.0,0,0.0,35022
35,23,165,56,33.94,109,66.06,35023
35,24,178,55,30.9,123,69.1,35024
35,26,122,45,36.89,77,63.11,35026
35,32,94,45,47.87,49,52.13,35032
35,34,155,110,70.97,45,29.03,35034
36,1,158,76,48.1,82,51.9,36001
36,3,201,131,65.17,70,34.83,36003
36,4,69,34,49.28,35,50.72,36004
36,6,177,89,50.28,88,49.72,36006
36,21,224,120,53.57,104,46.43,36021
36,36,191,96,50.26,95,49.74,36036
36,41,156,57,36.54,99,63.46,36041
36,51,205,102,49.76,103,50.24,36051
36,53,79,44,55.7,35,44.3,36053
36,56,150,64,42.67,86,57.33,36056
37,2,106,52,49.06,54,50.94,37002
37,42,41,29,70.73,12,29.27,37042
38,1,123,54,43.9,69,56.1,38001
38,10,0,0,0.0,0,0.0,38010
38,12,108,45,41.67,63,58.33,38012
38,16,194,112,57.73,82,42.27,38016
38,17,9,6,66.67,3,33.33,38017
38,54,5,3,60.0,2,40.0,38054
