ward,precinct,total,Rey ColÃ³n,Rey ColÃ³n Percent,precinct_id
35,1,220,220,100.0,35001
35,2,152,152,100.0,35002
35,3,134,134,100.0,35003
35,4,200,200,100.0,35004
35,5,181,181,100.0,35005
35,6,196,196,100.0,35006
35,7,234,234,100.0,35007
35,8,156,156,100.0,35008
35,9,187,187,100.0,35009
35,10,197,197,100.0,35010
35,11,185,185,100.0,35011
35,12,220,220,100.0,35012
35,13,56,56,100.0,35013
35,14,206,206,100.0,35014
35,15,170,170,100.0,35015
35,16,189,189,100.0,35016
35,17,202,202,100.0,35017
35,18,205,205,100.0,35018
35,19,191,191,100.0,35019
35,20,163,163,100.0,35020
35,21,187,187,100.0,35021
35,22,79,79,100.0,35022
35,23,124,124,100.0,35023
35,24,109,109,100.0,35024
35,25,164,164,100.0,35025
35,26,240,240,100.0,35026
35,27,205,205,100.0,35027
35,28,192,192,100.0,35028
35,29,235,235,100.0,35029
35,30,256,256,100.0,35030
35,31,102,102,100.0,35031
35,32,113,113,100.0,35032
35,33,174,174,100.0,35033
35,34,188,188,100.0,35034
35,35,171,171,100.0,35035
35,36,138,138,100.0,35036
