ward,precinct,total,Kristyna Colleen Ryan,Kristyna Colleen Ryan Percent,Paula M. Lingo,Paula M. Lingo Percent,Frank James Ryan,Frank James Ryan Percent,precinct_id
2,51,175,69,39.43,58,33.14,48,27.43,02051
2,52,225,95,42.22,86,38.22,44,19.56,02052
2,53,178,78,43.82,75,42.13,25,14.04,02053
2,54,219,66,30.14,130,59.36,23,10.5,02054
2,55,55,22,40.0,27,49.09,6,10.91,02055
2,56,191,76,39.79,71,37.17,44,23.04,02056
3,1,197,88,44.67,54,27.41,55,27.92,03001
3,2,280,89,31.79,126,45.0,65,23.21,03002
3,3,195,77,39.49,78,40.0,40,20.51,03003
3,4,155,65,41.94,65,41.94,25,16.13,03004
3,5,169,63,37.28,78,46.15,28,16.57,03005
3,6,159,59,37.11,52,32.7,48,30.19,03006
3,7,182,48,26.37,91,50.0,43,23.63,03007
3,8,209,95,45.45,71,33.97,43,20.57,03008
3,9,193,67,34.72,83,43.01,43,22.28,03009
3,10,86,29,33.72,34,39.53,23,26.74,03010
3,11,223,92,41.26,88,39.46,43,19.28,03011
3,12,202,62,30.69,90,44.55,50,24.75,03012
3,13,129,40,31.01,59,45.74,30,23.26,03013
3,14,111,46,41.44,29,26.13,36,32.43,03014
3,15,187,71,37.97,69,36.9,47,25.13,03015
3,16,199,67,33.67,101,50.75,31,15.58,03016
3,17,106,36,33.96,42,39.62,28,26.42,03017
3,18,95,34,35.79,34,35.79,27,28.42,03018
3,19,55,19,34.55,24,43.64,12,21.82,03019
3,20,137,34,24.82,68,49.64,35,25.55,03020
3,21,111,55,49.55,36,32.43,20,18.02,03021
3,22,122,46,37.7,50,40.98,26,21.31,03022
3,23,200,67,33.5,85,42.5,48,24.0,03023
3,24,220,78,35.45,94,42.73,48,21.82,03024
3,25,139,57,41.01,50,35.97,32,23.02,03025
3,26,80,24,30.0,43,53.75,13,16.25,03026
3,27,174,73,41.95,64,36.78,37,21.26,03027
3,28,322,118,36.65,163,50.62,41,12.73,03028
3,29,155,71,45.81,48,30.97,36,23.23,03029
3,30,164,57,34.76,75,45.73,32,19.51,03030
3,31,278,103,37.05,101,36.33,74,26.62,03031
3,32,163,54,33.13,69,42.33,40,24.54,03032
3,33,268,95,35.45,111,41.42,62,23.13,03033
3,34,179,51,28.49,89,49.72,39,21.79,03034
3,35,206,89,43.2,77,37.38,40,19.42,03035
3,36,87,32,36.78,30,34.48,25,28.74,03036
3,37,78,44,56.41,21,26.92,13,16.67,03037
3,38,249,86,34.54,93,37.35,70,28.11,03038
3,39,199,58,29.15,83,41.71,58,29.15,03039
3,40,156,65,41.67,60,38.46,31,19.87,03040
3,41,114,26,22.81,58,50.88,30,26.32,03041
3,42,132,53,40.15,45,34.09,34,25.76,03042
3,43,47,20,42.55,11,23.4,16,34.04,03043
3,44,72,28,38.89,20,27.78,24,33.33,03044
3,45,227,94,41.41,79,34.8,54,23.79,03045
3,46,37,14,37.84,4,10.81,19,51.35,03046
3,47,121,45,37.19,52,42.98,24,19.83,03047
3,48,115,48,41.74,35,30.43,32,27.83,03048
3,49,67,36,53.73,20,29.85,11,16.42,03049
3,50,189,52,27.51,96,50.79,41,21.69,03050
4,1,320,117,36.56,166,51.88,37,11.56,04001
4,2,379,148,39.05,150,39.58,81,21.37,04002
4,3,308,121,39.29,127,41.23,60,19.48,04003
4,4,253,116,45.85,82,32.41,55,21.74,04004
4,5,266,88,33.08,127,47.74,51,19.17,04005
4,6,98,23,23.47,61,62.24,14,14.29,04006
4,7,282,110,39.01,118,41.84,54,19.15,04007
4,8,276,86,31.16,117,42.39,73,26.45,04008
4,9,432,163,37.73,186,43.06,83,19.21,04009
4,10,255,100,39.22,101,39.61,54,21.18,04010
4,11,310,139,44.84,99,31.94,72,23.23,04011
4,12,155,58,37.42,62,40.0,35,22.58,04012
4,13,189,66,34.92,97,51.32,26,13.76,04013
4,14,180,60,33.33,61,33.89,59,32.78,04014
4,15,169,68,40.24,69,40.83,32,18.93,04015
4,16,311,117,37.62,123,39.55,71,22.83,04016
4,17,228,84,36.84,113,49.56,31,13.6,04017
4,18,263,108,41.06,103,39.16,52,19.77,04018
4,19,262,94,35.88,99,37.79,69,26.34,04019
4,20,130,57,43.85,37,28.46,36,27.69,04020
4,21,310,103,33.23,161,51.94,46,14.84,04021
4,22,292,113,38.7,134,45.89,45,15.41,04022
4,23,168,55,32.74,90,53.57,23,13.69,04023
4,24,252,77,30.56,122,48.41,53,21.03,04024
4,25,187,60,32.09,91,48.66,36,19.25,04025
4,26,260,106,40.77,98,37.69,56,21.54,04026
4,27,244,83,34.02,115,47.13,46,18.85,04027
4,28,156,43,27.56,90,57.69,23,14.74,04028
4,29,210,88,41.9,82,39.05,40,19.05,04029
4,30,201,83,41.29,76,37.81,42,20.9,04030
4,31,130,43,33.08,80,61.54,7,5.38,04031
4,32,227,63,27.75,135,59.47,29,12.78,04032
4,33,188,77,40.96,66,35.11,45,23.94,04033
4,34,150,53,35.33,84,56.0,13,8.67,04034
4,35,179,69,38.55,59,32.96,51,28.49,04035
4,36,162,71,43.83,68,41.98,23,14.2,04036
4,37,74,28,37.84,19,25.68,27,36.49,04037
4,38,362,103,28.45,213,58.84,46,12.71,04038
4,39,161,53,32.92,71,44.1,37,22.98,04039
4,40,189,74,39.15,79,41.8,36,19.05,04040
4,41,121,50,41.32,61,50.41,10,8.26,04041
4,42,288,116,40.28,110,38.19,62,21.53,04042
4,43,143,45,31.47,83,58.04,15,10.49,04043
4,44,153,58,37.91,73,47.71,22,14.38,04044
4,45,396,100,25.25,248,62.63,48,12.12,04045
4,46,184,67,36.41,85,46.2,32,17.39,04046
4,47,342,94,27.49,202,59.06,46,13.45,04047
4,48,277,82,29.6,153,55.23,42,15.16,04048
4,49,147,46,31.29,66,44.9,35,23.81,04049
4,50,219,69,31.51,102,46.58,48,21.92,04050
4,51,250,110,44.0,88,35.2,52,20.8,04051
4,52,297,125,42.09,105,35.35,67,22.56,04052
5,1,239,89,37.24,89,37.24,61,25.52,05001
5,2,202,68,33.66,92,45.54,42,20.79,05002
5,3,113,35,30.97,58,51.33,20,17.7,05003
5,4,150,56,37.33,54,36.0,40,26.67,05004
5,5,215,76,35.35,75,34.88,64,29.77,05005
5,6,284,106,37.32,106,37.32,72,25.35,05006
5,7,263,79,30.04,134,50.95,50,19.01,05007
5,8,266,66,24.81,176,66.17,24,9.02,05008
5,9,232,71,30.6,99,42.67,62,26.72,05009
5,10,223,95,42.6,58,26.01,70,31.39,05010
5,11,197,56,28.43,120,60.91,21,10.66,05011
5,12,159,51,32.08,74,46.54,34,21.38,05012
5,13,193,78,40.41,65,33.68,50,25.91,05013
5,14,266,68,25.56,157,59.02,41,15.41,05014
5,15,158,64,40.51,66,41.77,28,17.72,05015
5,16,176,79,44.89,43,24.43,54,30.68,05016
5,17,256,108,42.19,81,31.64,67,26.17,05017
5,18,246,85,34.55,109,44.31,52,21.14,05018
5,19,129,56,43.41,37,28.68,36,27.91,05019
5,20,120,44,36.67,48,40.0,28,23.33,05020
5,21,255,111,43.53,90,35.29,54,21.18,05021
5,22,195,86,44.1,57,29.23,52,26.67,05022
5,23,163,65,39.88,57,34.97,41,25.15,05023
5,24,172,53,30.81,102,59.3,17,9.88,05024
5,25,248,108,43.55,88,35.48,52,20.97,05025
5,26,242,98,40.5,88,36.36,56,23.14,05026
5,27,219,51,23.29,144,65.75,24,10.96,05027
