ward,precinct,total,Mary Katherine M. Moore,Mary Katherine M. Moore Percent,Stuart M. Brody,Stuart M. Brody Percent,Laura Bertucci Smith,Laura Bertucci Smith Percent,Nancy Hallihan Horodecki,Nancy Hallihan Horodecki Percent,Mauricio Araujo,Mauricio Araujo Percent,precinct_id
1,1,197,36,18.27,15,7.61,35,17.77,84,42.64,27,13.71,01001
1,2,151,47,31.13,15,9.93,46,30.46,15,9.93,28,18.54,01002
1,3,127,38,29.92,13,10.24,53,41.73,12,9.45,11,8.66,01003
1,4,142,35,24.65,20,14.08,49,34.51,19,13.38,19,13.38,01004
1,5,155,51,32.9,20,12.9,53,34.19,6,3.87,25,16.13,01005
1,6,146,29,19.86,8,5.48,31,21.23,60,41.1,18,12.33,01006
1,7,135,41,30.37,12,8.89,30,22.22,10,7.41,42,31.11,01007
1,8,177,71,40.11,14,7.91,57,32.2,21,11.86,14,7.91,01008
1,9,151,53,35.1,12,7.95,31,20.53,16,10.6,39,25.83,01009
1,10,177,51,28.81,16,9.04,71,40.11,23,12.99,16,9.04,01010
1,11,127,23,18.11,6,4.72,27,21.26,48,37.8,23,18.11,01011
1,12,178,56,31.46,19,10.67,62,34.83,15,8.43,26,14.61,01012
1,13,187,57,30.48,18,9.63,34,18.18,21,11.23,57,30.48,01013
1,14,178,38,21.35,10,5.62,87,48.88,15,8.43,28,15.73,01014
1,15,132,25,18.94,13,9.85,33,25.0,16,12.12,45,34.09,01015
1,16,73,33,45.21,7,9.59,9,12.33,5,6.85,19,26.03,01016
1,17,138,46,33.33,12,8.7,52,37.68,10,7.25,18,13.04,01017
1,18,114,34,29.82,11,9.65,30,26.32,8,7.02,31,27.19,01018
1,19,133,36,27.07,12,9.02,26,19.55,18,13.53,41,30.83,01019
1,20,128,37,28.91,18,14.06,31,24.22,9,7.03,33,25.78,01020
1,21,124,34,27.42,17,13.71,45,36.29,6,4.84,22,17.74,01021
1,22,164,51,31.1,14,8.54,46,28.05,13,7.93,40,24.39,01022
1,23,132,33,25.0,8,6.06,43,32.58,12,9.09,36,27.27,01023
1,24,260,77,29.62,24,9.23,67,25.77,31,11.92,61,23.46,01024
1,25,120,27,22.5,24,20.0,32,26.67,7,5.83,30,25.0,01025
1,26,121,34,28.1,19,15.7,33,27.27,16,13.22,19,15.7,01026
1,27,84,26,30.95,2,2.38,19,22.62,7,8.33,30,35.71,01027
1,28,95,39,41.05,7,7.37,18,18.95,13,13.68,18,18.95,01028
1,29,132,41,31.06,14,10.61,33,25.0,9,6.82,35,26.52,01029
1,30,233,67,28.76,24,10.3,52,22.32,15,6.44,75,32.19,01030
1,31,139,44,31.65,14,10.07,48,34.53,16,11.51,17,12.23,01031
1,32,148,43,29.05,14,9.46,33,22.3,15,10.14,43,29.05,01032
1,33,154,35,22.73,19,12.34,47,30.52,15,9.74,38,24.68,01033
1,34,102,22,21.57,15,14.71,28,27.45,10,9.8,27,26.47,01034
1,35,92,31,33.7,19,20.65,22,23.91,5,5.43,15,16.3,01035
1,36,145,45,31.03,17,11.72,50,34.48,17,11.72,16,11.03,01036
1,37,110,34,30.91,15,13.64,30,27.27,10,9.09,21,19.09,01037
1,38,108,27,25.0,8,7.41,27,25.0,10,9.26,36,33.33,01038
1,39,165,48,29.09,10,6.06,41,24.85,11,6.67,55,33.33,01039
1,40,77,24,31.17,9,11.69,15,19.48,5,6.49,24,31.17,01040
1,41,152,36,23.68,13,8.55,28,18.42,22,14.47,53,34.87,01041
1,42,110,36,32.73,15,13.64,28,25.45,6,5.45,25,22.73,01042
1,43,107,38,35.51,6,5.61,28,26.17,6,5.61,29,27.1,01043
1,44,133,31,23.31,6,4.51,27,20.3,47,35.34,22,16.54,01044
1,45,179,49,27.37,10,5.59,41,22.91,30,16.76,49,27.37,01045
1,46,165,52,31.52,11,6.67,57,34.55,20,12.12,25,15.15,01046
1,47,151,46,30.46,18,11.92,51,33.77,12,7.95,24,15.89,01047
1,48,86,29,33.72,8,9.3,23,26.74,7,8.14,19,22.09,01048
1,49,64,19,29.69,10,15.63,20,31.25,5,7.81,10,15.63,01049
1,50,121,39,32.23,10,8.26,32,26.45,14,11.57,26,21.49,01050
26,1,96,26,27.08,6,6.25,21,21.88,25,26.04,18,18.75,26001
26,3,127,35,27.56,7,5.51,26,20.47,7,5.51,52,40.94,26003
26,4,93,23,24.73,6,6.45,23,24.73,5,5.38,36,38.71,26004
26,5,146,34,23.29,11,7.53,42,28.77,8,5.48,51,34.93,26005
26,6,72,15,20.83,2,2.78,12,16.67,1,1.39,42,58.33,26006
