ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,John Nocita,John Nocita Percent,precinct_id
40,3,226,214,94.69,12,5.31,40003
40,4,218,198,90.83,20,9.17,40004
40,7,223,199,89.24,24,10.76,40007
40,8,46,40,86.96,6,13.04,40008
40,9,139,116,83.45,23,16.55,40009
40,11,215,187,86.98,28,13.02,40011
40,12,170,155,91.18,15,8.82,40012
40,13,254,230,90.55,24,9.45,40013
40,16,210,193,91.9,17,8.1,40016
40,18,181,149,82.32,32,17.68,40018
40,22,114,103,90.35,11,9.65,40022
40,26,228,213,93.42,15,6.58,40026
40,27,147,133,90.48,14,9.52,40027
40,28,223,193,86.55,30,13.45,40028
40,33,221,188,85.07,33,14.93,40033
40,35,196,167,85.2,29,14.8,40035
40,37,143,119,83.22,24,16.78,40037
40,39,146,130,89.04,16,10.96,40039
40,41,230,213,92.61,17,7.39,40041
40,42,237,219,92.41,18,7.59,40042
40,43,240,219,91.25,21,8.75,40043
40,46,268,229,85.45,39,14.55,40046
40,47,214,204,95.33,10,4.67,40047
41,1,228,171,75.0,57,25.0,41001
41,2,265,195,73.58,70,26.42,41002
41,4,247,189,76.52,58,23.48,41004
41,5,262,206,78.63,56,21.37,41005
41,7,288,221,76.74,67,23.26,41007
41,8,232,186,80.17,46,19.83,41008
41,11,241,182,75.52,59,24.48,41011
41,13,123,90,73.17,33,26.83,41013
41,15,242,186,76.86,56,23.14,41015
41,17,246,195,79.27,51,20.73,41017
41,18,173,132,76.3,41,23.7,41018
41,20,255,208,81.57,47,18.43,41020
41,25,80,57,71.25,23,28.75,41025
41,26,101,70,69.31,31,30.69,41026
41,27,67,43,64.18,24,35.82,41027
41,28,183,142,77.6,41,22.4,41028
41,29,114,86,75.44,28,24.56,41029
41,31,249,195,78.31,54,21.69,41031
41,32,149,102,68.46,47,31.54,41032
41,33,174,131,75.29,43,24.71,41033
41,34,166,125,75.3,41,24.7,41034
41,36,236,176,74.58,60,25.42,41036
41,37,242,193,79.75,49,20.25,41037
41,40,261,199,76.25,62,23.75,41040
41,41,226,182,80.53,44,19.47,41041
41,42,286,202,70.63,84,29.37,41042
41,43,243,188,77.37,55,22.63,41043
41,45,199,153,76.88,46,23.12,41045
41,48,147,109,74.15,38,25.85,41048
41,49,284,209,73.59,75,26.41,41049
41,52,298,219,73.49,79,26.51,41052
41,55,193,132,68.39,61,31.61,41055
41,56,290,224,77.24,66,22.76,41056
44,3,246,232,94.31,14,5.69,44003
44,4,257,240,93.39,17,6.61,44004
44,7,239,217,90.79,22,9.21,44007
44,18,8,6,75.0,2,25.0,44018
44,35,179,164,91.62,15,8.38,44035
44,48,150,139,92.67,11,7.33,44048
44,49,371,344,92.72,27,7.28,44049
46,1,393,361,91.86,32,8.14,46001
46,2,283,261,92.23,22,7.77,46002
46,4,219,176,80.37,43,19.63,46004
46,6,263,231,87.83,32,12.17,46006
46,7,156,141,90.38,15,9.62,46007
46,8,212,184,86.79,28,13.21,46008
46,9,259,229,88.42,30,11.58,46009
46,10,196,170,86.73,26,13.27,46010
46,11,263,233,88.59,30,11.41,46011
46,12,234,216,92.31,18,7.69,46012
46,14,204,177,86.76,27,13.24,46014
46,15,265,232,87.55,33,12.45,46015
46,16,178,149,83.71,29,16.29,46016
46,19,300,265,88.33,35,11.67,46019
46,20,167,147,88.02,20,11.98,46020
46,21,88,81,92.05,7,7.95,46021
46,22,160,135,84.38,25,15.63,46022
46,23,177,158,89.27,19,10.73,46023
46,25,249,218,87.55,31,12.45,46025
46,26,232,199,85.78,33,14.22,46026
46,27,264,233,88.26,31,11.74,46027
46,28,280,249,88.93,31,11.07,46028
46,30,261,224,85.82,37,14.18,46030
46,32,153,123,80.39,30,19.61,46032
46,33,294,249,84.69,45,15.31,46033
46,34,237,215,90.72,22,9.28,46034
46,35,257,226,87.94,31,12.06,46035
46,38,173,157,90.75,16,9.25,46038
46,39,262,237,90.46,25,9.54,46039
46,40,197,172,87.31,25,12.69,46040
46,41,200,175,87.5,25,12.5,46041
46,42,220,195,88.64,25,11.36,46042
46,45,294,260,88.44,34,11.56,46045
46,46,201,165,82.09,36,17.91,46046
46,47,96,81,84.38,15,15.63,46047
48,1,252,227,90.08,25,9.92,48001
48,2,193,175,90.67,18,9.33,48002
48,3,282,259,91.84,23,8.16,48003
48,4,253,227,89.72,26,10.28,48004
48,5,217,194,89.4,23,10.6,48005
48,6,269,246,91.45,23,8.55,48006
48,7,198,180,90.91,18,9.09,48007
48,8,182,168,92.31,14,7.69,48008
48,9,219,198,90.41,21,9.59,48009
48,10,151,143,94.7,8,5.3,48010
48,11,308,291,94.48,17,5.52,48011
48,12,237,217,91.56,20,8.44,48012
48,13,207,187,90.34,20,9.66,48013
48,14,236,219,92.8,17,7.2,48014
48,15,160,142,88.75,18,11.25,48015
48,16,208,176,84.62,32,15.38,48016
48,17,273,247,90.48,26,9.52,48017
48,18,182,162,89.01,20,10.99,48018
48,19,209,195,93.3,14,6.7,48019
48,20,156,145,92.95,11,7.05,48020
48,21,248,218,87.9,30,12.1,48021
48,22,303,270,89.11,33,10.89,48022
48,23,188,162,86.17,26,13.83,48023
48,24,205,188,91.71,17,8.29,48024
48,25,284,265,93.31,19,6.69,48025
48,26,260,231,88.85,29,11.15,48026
48,27,139,123,88.49,16,11.51,48027
48,28,195,168,86.15,27,13.85,48028
48,29,165,153,92.73,12,7.27,48029
48,30,229,208,90.83,21,9.17,48030
48,31,179,153,85.47,26,14.53,48031
48,32,194,181,93.3,13,6.7,48032
48,33,198,179,90.4,19,9.6,48033
48,34,242,215,88.84,27,11.16,48034
48,35,94,76,80.85,18,19.15,48035
48,36,224,200,89.29,24,10.71,48036
48,37,207,181,87.44,26,12.56,48037
48,38,295,267,90.51,28,9.49,48038
48,39,191,168,87.96,23,12.04,48039
48,40,195,178,91.28,17,8.72,48040
48,41,169,149,88.17,20,11.83,48041
48,42,196,183,93.37,13,6.63,48042
