ward,precinct,total,Todd H. Stroger,Todd H. Stroger Percent,precinct_id
8,1,226,226,100.0,08001
8,2,126,126,100.0,08002
8,3,290,290,100.0,08003
8,4,214,214,100.0,08004
8,5,272,272,100.0,08005
8,6,281,281,100.0,08006
8,7,211,211,100.0,08007
8,8,274,274,100.0,08008
8,9,286,286,100.0,08009
8,10,294,294,100.0,08010
8,11,210,210,100.0,08011
8,12,220,220,100.0,08012
8,13,170,170,100.0,08013
8,14,184,184,100.0,08014
8,15,177,177,100.0,08015
8,16,250,250,100.0,08016
8,17,198,198,100.0,08017
8,18,170,170,100.0,08018
8,19,270,270,100.0,08019
8,20,155,155,100.0,08020
8,21,171,171,100.0,08021
8,22,191,191,100.0,08022
8,23,192,192,100.0,08023
8,24,238,238,100.0,08024
8,25,214,214,100.0,08025
8,26,165,165,100.0,08026
8,27,247,247,100.0,08027
8,28,181,181,100.0,08028
8,29,262,262,100.0,08029
8,30,184,184,100.0,08030
8,31,158,158,100.0,08031
8,32,322,322,100.0,08032
8,33,225,225,100.0,08033
8,34,255,255,100.0,08034
8,35,250,250,100.0,08035
8,36,228,228,100.0,08036
8,37,227,227,100.0,08037
8,38,227,227,100.0,08038
8,39,221,221,100.0,08039
8,40,207,207,100.0,08040
8,41,176,176,100.0,08041
8,42,210,210,100.0,08042
8,43,161,161,100.0,08043
8,44,182,182,100.0,08044
8,45,150,150,100.0,08045
8,46,176,176,100.0,08046
8,47,212,212,100.0,08047
8,48,194,194,100.0,08048
8,49,272,272,100.0,08049
8,50,235,235,100.0,08050
8,51,277,277,100.0,08051
8,52,259,259,100.0,08052
8,53,227,227,100.0,08053
8,54,231,231,100.0,08054
8,55,218,218,100.0,08055
8,56,252,252,100.0,08056
8,57,206,206,100.0,08057
8,58,232,232,100.0,08058
8,59,144,144,100.0,08059
8,60,178,178,100.0,08060
8,61,198,198,100.0,08061
8,62,186,186,100.0,08062
8,63,249,249,100.0,08063
8,64,197,197,100.0,08064
8,65,145,145,100.0,08065
8,66,350,350,100.0,08066
8,67,127,127,100.0,08067
8,68,120,120,100.0,08068
8,69,154,154,100.0,08069
8,70,277,277,100.0,08070
