ward,precinct,total,Bob Fioretti,Bob Fioretti Percent,precinct_id
2,1,263,263,100.0,02001
2,2,46,46,100.0,02002
2,3,226,226,100.0,02003
2,4,139,139,100.0,02004
2,5,228,228,100.0,02005
2,6,254,254,100.0,02006
2,7,249,249,100.0,02007
2,8,275,275,100.0,02008
2,9,182,182,100.0,02009
2,10,160,160,100.0,02010
2,11,306,306,100.0,02011
2,12,247,247,100.0,02012
2,13,221,221,100.0,02013
2,14,310,310,100.0,02014
2,15,108,108,100.0,02015
2,16,240,240,100.0,02016
2,17,171,171,100.0,02017
2,18,210,210,100.0,02018
2,19,248,248,100.0,02019
2,20,249,249,100.0,02020
2,21,203,203,100.0,02021
2,22,275,275,100.0,02022
2,23,159,159,100.0,02023
2,24,134,134,100.0,02024
2,25,277,277,100.0,02025
2,26,178,178,100.0,02026
2,27,150,150,100.0,02027
2,28,112,112,100.0,02028
2,29,130,130,100.0,02029
2,30,230,230,100.0,02030
2,31,243,243,100.0,02031
2,32,100,100,100.0,02032
2,33,124,124,100.0,02033
2,34,118,118,100.0,02034
2,35,62,62,100.0,02035
2,36,272,272,100.0,02036
2,37,194,194,100.0,02037
2,38,273,273,100.0,02038
2,39,207,207,100.0,02039
2,40,324,324,100.0,02040
2,41,112,112,100.0,02041
2,42,76,76,100.0,02042
2,43,260,260,100.0,02043
2,44,164,164,100.0,02044
2,45,195,195,100.0,02045
2,46,306,306,100.0,02046
2,47,124,124,100.0,02047
2,48,143,143,100.0,02048
2,49,149,149,100.0,02049
2,50,133,133,100.0,02050
2,51,178,178,100.0,02051
2,52,235,235,100.0,02052
2,53,197,197,100.0,02053
2,54,254,254,100.0,02054
2,55,71,71,100.0,02055
2,56,199,199,100.0,02056
