ward,precinct,total,Ann Collins Dole,Ann Collins Dole Percent,James A. Shapiro,James A. Shapiro Percent,Debra Kramer Marcus,Debra Kramer Marcus Percent,Daniel Thomas Gillespie,Daniel Thomas Gillespie Percent,James Byrne,James Byrne Percent,Aaron J. Weiss,Aaron J. Weiss Percent,precinct_id
2,1,251,97,38.65,39,15.54,42,16.73,28,11.16,25,9.96,9,3.59,02001
2,7,267,63,23.6,48,17.98,48,17.98,25,9.36,66,24.72,8,3.0,02007
2,8,254,69,27.17,45,17.72,51,20.08,28,11.02,38,14.96,11,4.33,02008
2,11,307,92,29.97,74,24.1,50,16.29,19,6.19,40,13.03,13,4.23,02011
2,12,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02012
2,18,198,64,32.32,28,14.14,35,17.68,23,11.62,31,15.66,5,2.53,02018
2,19,216,63,29.17,37,17.13,37,17.13,18,8.33,45,20.83,5,2.31,02019
2,20,28,9,32.14,5,17.86,5,17.86,3,10.71,5,17.86,0,0.0,02020
2,21,200,53,26.5,39,19.5,26,13.0,15,7.5,48,24.0,7,3.5,02021
2,22,326,101,30.98,66,20.25,64,19.63,27,8.28,51,15.64,3,0.92,02022
2,24,126,33,26.19,28,22.22,14,11.11,16,12.7,19,15.08,12,9.52,02024
2,26,176,53,30.11,28,15.91,31,17.61,13,7.39,39,22.16,5,2.84,02026
2,30,219,72,32.88,39,17.81,36,16.44,16,7.31,42,19.18,6,2.74,02030
2,35,56,20,35.71,7,12.5,12,21.43,4,7.14,8,14.29,3,5.36,02035
2,36,254,74,29.13,43,16.93,28,11.02,13,5.12,73,28.74,11,4.33,02036
2,37,175,65,37.14,38,21.71,30,17.14,7,4.0,23,13.14,7,4.0,02037
2,38,261,77,29.5,45,17.24,37,14.18,31,11.88,56,21.46,9,3.45,02038
2,40,312,84,26.92,71,22.76,52,16.67,36,11.54,49,15.71,11,3.53,02040
2,43,252,65,25.79,63,25.0,38,15.08,17,6.75,43,17.06,12,4.76,02043
2,49,128,43,33.59,21,16.41,22,17.19,16,12.5,15,11.72,7,5.47,02049
2,53,184,58,31.52,31,16.85,29,15.76,20,10.87,24,13.04,12,6.52,02053
2,54,227,74,32.6,57,25.11,41,18.06,15,6.61,26,11.45,6,2.64,02054
