ward,precinct,total,James Edward Snyder,James Edward Snyder Percent,Ursula Walowski,Ursula Walowski Percent,Gerald Patrick Cleary,Gerald Patrick Cleary Percent,precinct_id
1,42,9,1,11.11,5,55.56,2,22.22,01042
30,1,133,32,24.06,65,48.87,24,18.05,30001
30,3,180,48,26.67,80,44.44,34,18.89,30003
30,15,144,22,15.28,75,52.08,28,19.44,30015
32,9,119,37,31.09,55,46.22,19,15.97,32009
32,15,92,23,25.0,41,44.57,16,17.39,32015
32,19,80,26,32.5,42,52.5,9,11.25,32019
32,21,145,40,27.59,63,43.45,38,26.21,32021
32,22,204,53,25.98,94,46.08,37,18.14,32022
32,25,133,41,30.83,50,37.59,22,16.54,32025
33,5,200,70,35.0,75,37.5,37,18.5,33005
33,9,205,68,33.17,87,42.44,32,15.61,33009
33,14,187,78,41.71,66,35.29,25,13.37,33014
33,18,77,29,37.66,30,38.96,12,15.58,33018
35,22,68,25,36.76,30,44.12,12,17.65,35022
35,33,73,18,24.66,36,49.32,9,12.33,35033
38,1,183,67,36.61,60,32.79,38,20.77,38001
38,4,81,25,30.86,33,40.74,20,24.69,38004
38,5,262,60,22.9,111,42.37,63,24.05,38005
38,7,175,38,21.71,70,40.0,43,24.57,38007
38,10,47,11,23.4,20,42.55,15,31.91,38010
38,41,216,65,30.09,77,35.65,58,26.85,38041
38,42,186,58,31.18,67,36.02,44,23.66,38042
39,1,154,24,15.58,83,53.9,33,21.43,39001
39,2,203,53,26.11,78,38.42,53,26.11,39002
39,3,173,21,12.14,87,50.29,50,28.9,39003
39,4,118,20,16.95,57,48.31,30,25.42,39004
39,5,130,29,22.31,57,43.85,34,26.15,39005
39,6,141,30,21.28,66,46.81,35,24.82,39006
39,7,126,40,31.75,61,48.41,19,15.08,39007
39,8,188,80,42.55,68,36.17,26,13.83,39008
39,9,193,85,44.04,49,25.39,36,18.65,39009
39,10,149,59,39.6,56,37.58,23,15.44,39010
39,11,201,90,44.78,65,32.34,30,14.93,39011
39,12,158,68,43.04,48,30.38,31,19.62,39012
39,13,105,31,29.52,47,44.76,17,16.19,39013
39,14,156,65,41.67,59,37.82,21,13.46,39014
39,15,137,22,16.06,57,41.61,42,30.66,39015
39,16,115,37,32.17,48,41.74,24,20.87,39016
39,17,135,57,42.22,44,32.59,26,19.26,39017
39,18,149,65,43.62,52,34.9,18,12.08,39018
39,19,132,49,37.12,42,31.82,33,25.0,39019
39,20,134,20,14.93,76,56.72,26,19.4,39020
39,21,131,61,46.56,41,31.3,17,12.98,39021
39,22,153,79,51.63,40,26.14,23,15.03,39022
39,23,110,32,29.09,42,38.18,29,26.36,39023
39,24,175,90,51.43,59,33.71,21,12.0,39024
39,25,156,41,26.28,70,44.87,28,17.95,39025
39,26,157,34,21.66,64,40.76,42,26.75,39026
39,27,184,53,28.8,82,44.57,28,15.22,39027
39,28,193,64,33.16,76,39.38,38,19.69,39028
39,29,175,54,30.86,64,36.57,41,23.43,39029
39,30,102,45,44.12,31,30.39,17,16.67,39030
39,31,113,41,36.28,41,36.28,18,15.93,39031
39,33,173,52,30.06,85,49.13,26,15.03,39033
39,34,182,61,33.52,70,38.46,36,19.78,39034
39,35,177,47,26.55,77,43.5,33,18.64,39035
39,36,170,68,40.0,67,39.41,20,11.76,39036
39,37,248,46,18.55,97,39.11,86,34.68,39037
39,38,170,44,25.88,71,41.76,38,22.35,39038
39,39,77,25,32.47,27,35.06,18,23.38,39039
39,40,110,29,26.36,42,38.18,25,22.73,39040
39,41,27,14,51.85,7,25.93,6,22.22,39041
39,42,144,21,14.58,81,56.25,36,25.0,39042
39,43,156,43,27.56,68,43.59,31,19.87,39043
