ward,precinct,total,Donna L. Cooper,Donna L. Cooper Percent,LaGuina Clay-Clark,LaGuina Clay-Clark Percent,Zedrick T. Braden III,Zedrick T. Braden III Percent,precinct_id
5,12,158,66,41.77,85,53.8,7,4.43,05012
5,50,118,57,48.31,53,44.92,8,6.78,05050
6,1,298,153,51.34,116,38.93,29,9.73,06001
6,2,316,167,52.85,128,40.51,21,6.65,06002
6,3,284,150,52.82,113,39.79,21,7.39,06003
6,4,190,98,51.58,74,38.95,18,9.47,06004
6,5,117,72,61.54,36,30.77,9,7.69,06005
6,6,208,124,59.62,67,32.21,17,8.17,06006
6,8,302,142,47.02,144,47.68,16,5.3,06008
6,9,248,104,41.94,135,54.44,9,3.63,06009
6,10,343,162,47.23,136,39.65,45,13.12,06010
6,11,238,121,50.84,91,38.24,26,10.92,06011
6,12,191,123,64.4,51,26.7,17,8.9,06012
6,13,220,97,44.09,113,51.36,10,4.55,06013
6,14,267,155,58.05,96,35.96,16,5.99,06014
6,16,304,134,44.08,148,48.68,22,7.24,06016
6,17,321,168,52.34,130,40.5,23,7.17,06017
6,19,300,178,59.33,92,30.67,30,10.0,06019
6,21,243,109,44.86,115,47.33,19,7.82,06021
6,22,231,102,44.16,115,49.78,14,6.06,06022
6,23,189,99,52.38,87,46.03,3,1.59,06023
6,24,262,140,53.44,112,42.75,10,3.82,06024
6,25,179,103,57.54,69,38.55,7,3.91,06025
6,26,290,135,46.55,140,48.28,15,5.17,06026
6,27,358,165,46.09,172,48.04,21,5.87,06027
6,28,461,183,39.7,259,56.18,19,4.12,06028
6,29,298,116,38.93,158,53.02,24,8.05,06029
6,31,307,133,43.32,148,48.21,26,8.47,06031
6,34,257,131,50.97,117,45.53,9,3.5,06034
6,35,251,107,42.63,132,52.59,12,4.78,06035
6,36,144,88,61.11,44,30.56,12,8.33,06036
6,37,307,102,33.22,174,56.68,31,10.1,06037
6,38,270,167,61.85,86,31.85,17,6.3,06038
6,39,27,10,37.04,15,55.56,2,7.41,06039
6,40,147,72,48.98,70,47.62,5,3.4,06040
6,41,287,129,44.95,130,45.3,28,9.76,06041
6,42,136,73,53.68,53,38.97,10,7.35,06042
6,43,269,131,48.7,114,42.38,24,8.92,06043
6,44,266,122,45.86,126,47.37,18,6.77,06044
6,45,200,92,46.0,91,45.5,17,8.5,06045
6,46,257,123,47.86,113,43.97,21,8.17,06046
6,47,293,142,48.46,133,45.39,18,6.14,06047
6,49,240,150,62.5,78,32.5,12,5.0,06049
6,50,282,151,53.55,114,40.43,17,6.03,06050
6,51,186,98,52.69,77,41.4,11,5.91,06051
6,52,171,85,49.71,78,45.61,8,4.68,06052
6,53,228,115,50.44,94,41.23,19,8.33,06053
6,54,269,141,52.42,105,39.03,23,8.55,06054
6,55,226,83,36.73,124,54.87,19,8.41,06055
6,56,187,71,37.97,92,49.2,24,12.83,06056
6,57,144,70,48.61,64,44.44,10,6.94,06057
6,58,281,106,37.72,161,57.3,14,4.98,06058
6,59,230,112,48.7,93,40.43,25,10.87,06059
6,60,170,84,49.41,70,41.18,16,9.41,06060
6,63,257,135,52.53,105,40.86,17,6.61,06063
6,64,288,122,42.36,144,50.0,22,7.64,06064
7,1,280,165,58.93,104,37.14,11,3.93,07001
7,2,271,122,45.02,130,47.97,19,7.01,07002
7,3,180,102,56.67,65,36.11,13,7.22,07003
7,4,206,94,45.63,103,50.0,9,4.37,07004
7,5,183,83,45.36,91,49.73,9,4.92,07005
7,6,207,93,44.93,100,48.31,14,6.76,07006
7,7,162,86,53.09,66,40.74,10,6.17,07007
7,8,81,45,55.56,31,38.27,5,6.17,07008
7,10,148,58,39.19,77,52.03,13,8.78,07010
7,12,174,85,48.85,79,45.4,10,5.75,07012
7,13,142,72,50.7,57,40.14,13,9.15,07013
7,14,245,126,51.43,101,41.22,18,7.35,07014
7,15,133,66,49.62,57,42.86,10,7.52,07015
7,16,156,77,49.36,67,42.95,12,7.69,07016
7,17,138,79,57.25,55,39.86,4,2.9,07017
7,18,149,78,52.35,66,44.3,5,3.36,07018
7,19,344,189,54.94,140,40.7,15,4.36,07019
7,20,95,52,54.74,42,44.21,1,1.05,07020
7,21,204,103,50.49,86,42.16,15,7.35,07021
7,22,171,78,45.61,80,46.78,13,7.6,07022
7,23,160,90,56.25,62,38.75,8,5.0,07023
7,24,223,128,57.4,87,39.01,8,3.59,07024
7,25,285,137,48.07,139,48.77,9,3.16,07025
7,26,275,146,53.09,115,41.82,14,5.09,07026
7,27,308,175,56.82,111,36.04,22,7.14,07027
7,28,224,116,51.79,87,38.84,21,9.38,07028
7,29,140,67,47.86,62,44.29,11,7.86,07029
7,30,251,113,45.02,124,49.4,14,5.58,07030
7,31,241,131,54.36,101,41.91,9,3.73,07031
7,32,163,96,58.9,55,33.74,12,7.36,07032
7,33,180,88,48.89,81,45.0,11,6.11,07033
7,34,217,122,56.22,86,39.63,9,4.15,07034
7,36,259,124,47.88,123,47.49,12,4.63,07036
7,37,122,62,50.82,52,42.62,8,6.56,07037
7,38,174,77,44.25,90,51.72,7,4.02,07038
7,39,185,91,49.19,82,44.32,12,6.49,07039
7,41,179,96,53.63,77,43.02,6,3.35,07041
7,42,313,170,54.31,125,39.94,18,5.75,07042
7,43,221,113,51.13,100,45.25,8,3.62,07043
7,46,83,46,55.42,31,37.35,6,7.23,07046
7,47,178,87,48.88,83,46.63,8,4.49,07047
7,48,86,42,48.84,33,38.37,11,12.79,07048
7,49,134,60,44.78,69,51.49,5,3.73,07049
7,51,195,95,48.72,93,47.69,7,3.59,07051
7,52,176,86,48.86,84,47.73,6,3.41,07052
7,53,187,99,52.94,80,42.78,8,4.28,07053
7,54,92,53,57.61,31,33.7,8,8.7,07054
7,55,188,100,53.19,76,40.43,12,6.38,07055
7,56,193,92,47.67,89,46.11,12,6.22,07056
7,57,175,69,39.43,95,54.29,11,6.29,07057
7,58,284,135,47.54,125,44.01,24,8.45,07058
7,59,123,73,59.35,47,38.21,3,2.44,07059
7,60,124,72,58.06,44,35.48,8,6.45,07060
