ward,precinct,total,Donna L. Cooper,Donna L. Cooper Percent,LaGuina Clay-Clark,LaGuina Clay-Clark Percent,Zedrick T. Braden III,Zedrick T. Braden III Percent,precinct_id
7,61,192,93,48.44,88,45.83,11,5.73,07061
7,62,196,114,58.16,74,37.76,8,4.08,07062
7,63,186,92,49.46,81,43.55,13,6.99,07063
7,65,206,123,59.71,68,33.01,15,7.28,07065
8,1,251,133,52.99,98,39.04,20,7.97,08001
8,2,145,86,59.31,52,35.86,7,4.83,08002
8,3,316,114,36.08,180,56.96,22,6.96,08003
8,4,241,119,49.38,111,46.06,11,4.56,08004
8,5,307,104,33.88,170,55.37,33,10.75,08005
8,6,290,119,41.03,166,57.24,5,1.72,08006
8,7,246,94,38.21,138,56.1,14,5.69,08007
8,8,279,113,40.5,147,52.69,19,6.81,08008
8,9,330,139,42.12,167,50.61,24,7.27,08009
8,10,358,96,26.82,253,70.67,9,2.51,08010
8,11,238,94,39.5,134,56.3,10,4.2,08011
8,12,254,119,46.85,123,48.43,12,4.72,08012
8,13,183,90,49.18,82,44.81,11,6.01,08013
8,14,199,105,52.76,85,42.71,9,4.52,08014
8,15,187,101,54.01,78,41.71,8,4.28,08015
8,16,291,93,31.96,184,63.23,14,4.81,08016
8,17,233,94,40.34,130,55.79,9,3.86,08017
8,18,188,75,39.89,100,53.19,13,6.91,08018
8,19,312,167,53.53,131,41.99,14,4.49,08019
8,20,179,96,53.63,76,42.46,7,3.91,08020
8,21,175,96,54.86,69,39.43,10,5.71,08021
8,22,225,104,46.22,112,49.78,9,4.0,08022
8,23,224,127,56.7,84,37.5,13,5.8,08023
8,24,270,117,43.33,139,51.48,14,5.19,08024
8,25,256,132,51.56,112,43.75,12,4.69,08025
8,26,184,107,58.15,66,35.87,11,5.98,08026
8,27,287,120,41.81,152,52.96,15,5.23,08027
8,28,206,113,54.85,82,39.81,11,5.34,08028
8,29,314,88,28.03,212,67.52,14,4.46,08029
8,30,203,108,53.2,77,37.93,18,8.87,08030
8,31,181,88,48.62,87,48.07,6,3.31,08031
8,32,356,213,59.83,126,35.39,17,4.78,08032
8,33,254,84,33.07,162,63.78,8,3.15,08033
8,34,310,167,53.87,126,40.65,17,5.48,08034
8,35,295,163,55.25,120,40.68,12,4.07,08035
8,36,249,124,49.8,115,46.18,10,4.02,08036
8,37,257,128,49.81,113,43.97,16,6.23,08037
8,38,253,151,59.68,86,33.99,16,6.32,08038
8,39,269,154,57.25,91,33.83,24,8.92,08039
8,40,237,108,45.57,115,48.52,14,5.91,08040
8,41,190,96,50.53,83,43.68,11,5.79,08041
8,42,248,148,59.68,88,35.48,12,4.84,08042
8,43,187,78,41.71,103,55.08,6,3.21,08043
8,44,209,101,48.33,100,47.85,8,3.83,08044
8,45,180,86,47.78,86,47.78,8,4.44,08045
8,46,209,128,61.24,70,33.49,11,5.26,08046
8,47,234,128,54.7,94,40.17,12,5.13,08047
8,48,228,98,42.98,111,48.68,19,8.33,08048
8,49,302,123,40.73,164,54.3,15,4.97,08049
8,50,269,114,42.38,145,53.9,10,3.72,08050
8,51,325,171,52.62,136,41.85,18,5.54,08051
8,52,273,132,48.35,121,44.32,20,7.33,08052
8,53,257,127,49.42,121,47.08,9,3.5,08053
8,54,264,92,34.85,162,61.36,10,3.79,08054
8,55,234,116,49.57,111,47.44,7,2.99,08055
8,56,279,147,52.69,109,39.07,23,8.24,08056
8,58,249,99,39.76,134,53.82,16,6.43,08058
8,59,163,99,60.74,51,31.29,13,7.98,08059
8,60,198,113,57.07,71,35.86,14,7.07,08060
8,61,204,107,52.45,85,41.67,12,5.88,08061
8,62,220,78,35.45,119,54.09,23,10.45,08062
8,63,272,128,47.06,134,49.26,10,3.68,08063
8,64,227,125,55.07,91,40.09,11,4.85,08064
8,65,166,82,49.4,74,44.58,10,6.02,08065
8,66,380,218,57.37,135,35.53,27,7.11,08066
8,67,138,74,53.62,56,40.58,8,5.8,08067
8,68,138,63,45.65,67,48.55,8,5.8,08068
8,69,161,61,37.89,93,57.76,7,4.35,08069
9,13,241,159,65.98,55,22.82,27,11.2,09013
9,35,294,197,67.01,72,24.49,25,8.5,09035
9,36,276,166,60.14,84,30.43,26,9.42,09036
9,47,283,159,56.18,98,34.63,26,9.19,09047
9,52,260,178,68.46,72,27.69,10,3.85,09052
10,1,146,91,62.33,45,30.82,10,6.85,10001
10,2,106,60,56.6,36,33.96,10,9.43,10002
10,3,142,71,50.0,51,35.92,20,14.08,10003
10,4,128,71,55.47,46,35.94,11,8.59,10004
10,5,117,73,62.39,32,27.35,12,10.26,10005
10,6,177,92,51.98,75,42.37,10,5.65,10006
10,7,47,29,61.7,15,31.91,3,6.38,10007
10,8,118,75,63.56,22,18.64,21,17.8,10008
10,9,126,76,60.32,29,23.02,21,16.67,10009
10,10,135,85,62.96,32,23.7,18,13.33,10010
10,11,149,93,62.42,40,26.85,16,10.74,10011
10,12,119,58,48.74,45,37.82,16,13.45,10012
10,13,117,60,51.28,41,35.04,16,13.68,10013
10,14,159,91,57.23,47,29.56,21,13.21,10014
10,15,76,43,56.58,19,25.0,14,18.42,10015
10,16,142,80,56.34,47,33.1,15,10.56,10016
10,17,109,60,55.05,36,33.03,13,11.93,10017
10,18,156,84,53.85,60,38.46,12,7.69,10018
10,19,165,105,63.64,40,24.24,20,12.12,10019
10,20,123,76,61.79,33,26.83,14,11.38,10020
10,21,110,63,57.27,29,26.36,18,16.36,10021
10,22,118,81,68.64,25,21.19,12,10.17,10022
10,23,127,66,51.97,50,39.37,11,8.66,10023
10,24,122,73,59.84,32,26.23,17,13.93,10024
10,25,206,117,56.8,73,35.44,16,7.77,10025
10,26,131,77,58.78,35,26.72,19,14.5,10026
10,27,170,98,57.65,47,27.65,25,14.71,10027
10,28,120,69,57.5,46,38.33,5,4.17,10028
10,29,171,100,58.48,64,37.43,7,4.09,10029
10,30,167,103,61.68,39,23.35,25,14.97,10030
10,31,143,86,60.14,42,29.37,15,10.49,10031
10,32,165,104,63.03,45,27.27,16,9.7,10032
10,33,130,76,58.46,39,30.0,15,11.54,10033
10,34,174,112,64.37,44,25.29,18,10.34,10034
10,35,146,78,53.42,52,35.62,16,10.96,10035
10,36,182,112,61.54,58,31.87,12,6.59,10036
10,37,139,78,56.12,45,32.37,16,11.51,10037
10,38,171,94,54.97,56,32.75,21,12.28,10038
10,39,149,93,62.42,44,29.53,12,8.05,10039
10,40,126,62,49.21,58,46.03,6,4.76,10040
10,41,177,107,60.45,42,23.73,28,15.82,10041
10,42,136,86,63.24,29,21.32,21,15.44,10042
10,43,81,51,62.96,25,30.86,5,6.17,10043
10,44,161,84,52.17,55,34.16,22,13.66,10044
10,45,96,53,55.21,29,30.21,14,14.58,10045
10,46,136,90,66.18,33,24.26,13,9.56,10046
10,47,132,73,55.3,43,32.58,16,12.12,10047
10,48,155,104,67.1,36,23.23,15,9.68,10048
17,2,192,112,58.33,66,34.38,14,7.29,17002
17,3,117,73,62.39,36,30.77,8,6.84,17003
17,4,263,170,64.64,80,30.42,13,4.94,17004
17,5,135,87,64.44,40,29.63,8,5.93,17005
17,7,205,130,63.41,64,31.22,11,5.37,17007
17,9,123,74,60.16,43,34.96,6,4.88,17009
17,10,180,103,57.22,66,36.67,11,6.11,17010
17,12,245,140,57.14,87,35.51,18,7.35,17012
17,15,173,103,59.54,49,28.32,21,12.14,17015
17,18,180,107,59.44,67,37.22,6,3.33,17018
17,20,161,88,54.66,69,42.86,4,2.48,17020
17,21,235,115,48.94,95,40.43,25,10.64,17021
17,22,177,113,63.84,53,29.94,11,6.21,17022
17,23,117,70,59.83,41,35.04,6,5.13,17023
17,24,171,123,71.93,40,23.39,8,4.68,17024
17,25,117,57,48.72,49,41.88,11,9.4,17025
17,26,174,105,60.34,53,30.46,16,9.2,17026
17,27,233,152,65.24,65,27.9,16,6.87,17027
17,28,157,86,54.78,60,38.22,11,7.01,17028
17,29,199,119,59.8,67,33.67,13,6.53,17029
17,30,189,131,69.31,49,25.93,9,4.76,17030
17,31,147,81,55.1,52,35.37,14,9.52,17031
17,33,152,89,58.55,51,33.55,12,7.89,17033
17,35,117,77,65.81,30,25.64,10,8.55,17035
17,37,159,94,59.12,50,31.45,15,9.43,17037
17,38,179,99,55.31,67,37.43,13,7.26,17038
17,44,122,84,68.85,33,27.05,5,4.1,17044
17,47,100,59,59.0,34,34.0,7,7.0,17047
17,48,204,136,66.67,59,28.92,9,4.41,17048
17,50,170,108,63.53,48,28.24,14,8.24,17050
17,51,198,143,72.22,44,22.22,11,5.56,17051
17,52,206,130,63.11,59,28.64,17,8.25,17052
17,53,166,93,56.02,58,34.94,15,9.04,17053
17,54,228,133,58.33,79,34.65,16,7.02,17054
17,55,173,104,60.12,60,34.68,9,5.2,17055
18,20,233,155,66.52,66,28.33,12,5.15,18020
18,30,194,124,63.92,54,27.84,16,8.25,18030
18,38,282,189,67.02,74,26.24,19,6.74,18038
18,51,308,196,63.64,89,28.9,23,7.47,18051
18,52,265,183,69.06,61,23.02,21,7.92,18052
18,53,199,119,59.8,63,31.66,17,8.54,18053
18,60,287,192,66.9,79,27.53,16,5.57,18060
18,61,268,175,65.3,77,28.73,16,5.97,18061
21,2,259,149,57.53,100,38.61,10,3.86,21002
21,15,194,117,60.31,63,32.47,14,7.22,21015
21,16,214,127,59.35,72,33.64,15,7.01,21016
21,29,133,94,70.68,26,19.55,13,9.77,21029
21,32,214,124,57.94,85,39.72,5,2.34,21032
21,34,269,172,63.94,79,29.37,18,6.69,21034
21,35,70,49,70.0,17,24.29,4,5.71,21035
21,36,191,118,61.78,60,31.41,13,6.81,21036
21,37,188,95,50.53,85,45.21,8,4.26,21037
21,39,190,126,66.32,53,27.89,11,5.79,21039
21,41,192,119,61.98,62,32.29,11,5.73,21041
21,52,240,159,66.25,65,27.08,16,6.67,21052
21,57,211,130,61.61,64,30.33,17,8.06,21057
21,62,244,149,61.07,80,32.79,15,6.15,21062
21,65,331,177,53.47,128,38.67,26,7.85,21065
21,67,213,149,69.95,44,20.66,20,9.39,21067
21,68,59,46,77.97,9,15.25,4,6.78,21068
21,69,186,111,59.68,56,30.11,19,10.22,21069
21,70,227,146,64.32,61,26.87,20,8.81,21070
21,71,83,53,63.86,25,30.12,5,6.02,21071
21,72,224,152,67.86,52,23.21,20,8.93,21072
21,73,288,201,69.79,73,25.35,14,4.86,21073
21,74,90,55,61.11,30,33.33,5,5.56,21074
