ward,precinct,total,John Corrigan,John Corrigan Percent,precinct_id
42,1,160,160,100.0,42001
42,2,106,106,100.0,42002
42,3,115,115,100.0,42003
42,4,110,110,100.0,42004
42,5,115,115,100.0,42005
42,6,281,281,100.0,42006
42,7,126,126,100.0,42007
42,8,177,177,100.0,42008
42,9,288,288,100.0,42009
42,10,102,102,100.0,42010
42,11,155,155,100.0,42011
42,12,119,119,100.0,42012
42,13,230,230,100.0,42013
42,14,153,153,100.0,42014
42,15,167,167,100.0,42015
42,16,89,89,100.0,42016
42,17,273,273,100.0,42017
42,18,218,218,100.0,42018
42,19,72,72,100.0,42019
42,20,98,98,100.0,42020
42,21,104,104,100.0,42021
42,22,101,101,100.0,42022
42,23,159,159,100.0,42023
42,24,139,139,100.0,42024
42,25,128,128,100.0,42025
42,26,158,158,100.0,42026
42,27,189,189,100.0,42027
42,28,152,152,100.0,42028
42,29,147,147,100.0,42029
42,30,90,90,100.0,42030
42,31,97,97,100.0,42031
42,32,94,94,100.0,42032
42,33,210,210,100.0,42033
42,34,151,151,100.0,42034
42,35,102,102,100.0,42035
42,36,111,111,100.0,42036
42,37,100,100,100.0,42037
42,38,86,86,100.0,42038
42,39,81,81,100.0,42039
42,40,142,142,100.0,42040
42,41,193,193,100.0,42041
42,42,80,80,100.0,42042
42,43,142,142,100.0,42043
42,44,206,206,100.0,42044
42,45,139,139,100.0,42045
42,46,110,110,100.0,42046
42,47,87,87,100.0,42047
42,48,110,110,100.0,42048
42,49,41,41,100.0,42049
42,50,106,106,100.0,42050
42,51,159,159,100.0,42051
42,52,79,79,100.0,42052
42,53,148,148,100.0,42053
42,54,125,125,100.0,42054
42,55,164,164,100.0,42055
42,56,148,148,100.0,42056
42,57,128,128,100.0,42057
42,58,73,73,100.0,42058
42,59,201,201,100.0,42059
42,60,77,77,100.0,42060
42,61,75,75,100.0,42061
42,62,90,90,100.0,42062
42,63,134,134,100.0,42063
42,64,57,57,100.0,42064
42,65,141,141,100.0,42065
42,66,146,146,100.0,42066
42,67,247,247,100.0,42067
42,68,130,130,100.0,42068
42,69,128,128,100.0,42069
