ward,precinct,total,"Emil Jones, Jr.","Emil Jones, Jr. Percent",precinct_id
9,1,290,290,100.0,09001
9,2,237,237,100.0,09002
9,5,270,270,100.0,09005
9,9,299,299,100.0,09009
9,10,233,233,100.0,09010
9,12,230,230,100.0,09012
9,13,263,263,100.0,09013
9,14,349,349,100.0,09014
9,17,234,234,100.0,09017
9,18,212,212,100.0,09018
9,20,279,279,100.0,09020
9,21,268,268,100.0,09021
9,22,311,311,100.0,09022
9,23,183,183,100.0,09023
9,27,246,246,100.0,09027
9,29,191,191,100.0,09029
9,31,218,218,100.0,09031
9,32,258,258,100.0,09032
9,34,189,189,100.0,09034
9,35,314,314,100.0,09035
9,38,249,249,100.0,09038
9,40,274,274,100.0,09040
9,43,137,137,100.0,09043
9,46,211,211,100.0,09046
9,48,289,289,100.0,09048
9,51,133,133,100.0,09051
9,52,279,279,100.0,09052
19,13,258,258,100.0,19013
19,19,5,5,100.0,19019
19,20,272,272,100.0,19020
19,27,190,190,100.0,19027
19,28,341,341,100.0,19028
19,31,226,226,100.0,19031
19,40,294,294,100.0,19040
19,42,303,303,100.0,19042
19,43,371,371,100.0,19043
19,48,286,286,100.0,19048
19,49,332,332,100.0,19049
19,50,311,311,100.0,19050
19,60,294,294,100.0,19060
19,63,212,212,100.0,19063
19,64,275,275,100.0,19064
19,66,350,350,100.0,19066
21,1,378,378,100.0,21001
21,3,226,226,100.0,21003
21,4,269,269,100.0,21004
21,5,263,263,100.0,21005
21,6,229,229,100.0,21006
21,7,274,274,100.0,21007
21,8,273,273,100.0,21008
21,9,264,264,100.0,21009
21,10,188,188,100.0,21010
21,11,248,248,100.0,21011
21,12,284,284,100.0,21012
21,13,137,137,100.0,21013
21,14,275,275,100.0,21014
21,17,265,265,100.0,21017
21,18,232,232,100.0,21018
21,19,214,214,100.0,21019
21,20,144,144,100.0,21020
21,21,279,279,100.0,21021
21,22,242,242,100.0,21022
21,24,293,293,100.0,21024
21,27,278,278,100.0,21027
21,28,207,207,100.0,21028
21,31,355,355,100.0,21031
21,33,248,248,100.0,21033
21,38,234,234,100.0,21038
21,40,246,246,100.0,21040
21,42,243,243,100.0,21042
21,44,243,243,100.0,21044
21,45,219,219,100.0,21045
21,47,299,299,100.0,21047
21,49,290,290,100.0,21049
21,50,249,249,100.0,21050
21,51,290,290,100.0,21051
21,53,157,157,100.0,21053
21,54,223,223,100.0,21054
21,56,174,174,100.0,21056
21,58,190,190,100.0,21058
21,59,298,298,100.0,21059
21,60,238,238,100.0,21060
21,61,287,287,100.0,21061
21,63,269,269,100.0,21063
21,66,189,189,100.0,21066
21,68,259,259,100.0,21068
34,1,422,422,100.0,34001
34,2,278,278,100.0,34002
34,3,290,290,100.0,34003
34,4,336,336,100.0,34004
34,5,270,270,100.0,34005
34,7,369,369,100.0,34007
34,8,316,316,100.0,34008
34,9,225,225,100.0,34009
34,10,302,302,100.0,34010
34,11,209,209,100.0,34011
34,12,362,362,100.0,34012
34,13,345,345,100.0,34013
34,14,237,237,100.0,34014
34,15,231,231,100.0,34015
34,16,204,204,100.0,34016
34,17,235,235,100.0,34017
34,18,183,183,100.0,34018
34,19,65,65,100.0,34019
34,20,429,429,100.0,34020
34,21,278,278,100.0,34021
34,22,330,330,100.0,34022
34,23,260,260,100.0,34023
34,24,285,285,100.0,34024
34,25,312,312,100.0,34025
34,26,173,173,100.0,34026
34,27,234,234,100.0,34027
34,28,165,165,100.0,34028
34,29,288,288,100.0,34029
34,30,331,331,100.0,34030
34,31,157,157,100.0,34031
34,32,194,194,100.0,34032
34,33,148,148,100.0,34033
34,34,334,334,100.0,34034
34,36,308,308,100.0,34036
34,37,275,275,100.0,34037
34,38,232,232,100.0,34038
34,39,233,233,100.0,34039
34,40,316,316,100.0,34040
34,41,175,175,100.0,34041
34,42,359,359,100.0,34042
34,43,381,381,100.0,34043
34,44,349,349,100.0,34044
34,45,307,307,100.0,34045
34,46,280,280,100.0,34046
34,47,167,167,100.0,34047
34,48,387,387,100.0,34048
34,49,432,432,100.0,34049
34,50,273,273,100.0,34050
34,51,437,437,100.0,34051
34,52,214,214,100.0,34052
34,53,217,217,100.0,34053
34,54,231,231,100.0,34054
34,55,302,302,100.0,34055
34,56,162,162,100.0,34056
34,57,288,288,100.0,34057
34,58,311,311,100.0,34058
34,59,310,310,100.0,34059
34,60,280,280,100.0,34060
34,61,259,259,100.0,34061
