ward,precinct,total,Barbara Jones (Obama),Barbara Jones (Obama) Percent,Marsha M. Allen (Clinton),Marsha M. Allen (Clinton) Percent,precinct_id
1,1,123,83,67.48,40,32.52,01001
1,6,217,143,65.9,74,34.1,01006
1,11,4,3,75.0,1,25.0,01011
1,44,138,97,70.29,41,29.71,01044
2,1,312,240,76.92,72,23.08,02001
2,2,70,60,85.71,10,14.29,02002
2,3,286,230,80.42,56,19.58,02003
2,4,160,156,97.5,4,2.5,02004
2,5,293,275,93.86,18,6.14,02005
2,6,309,240,77.67,69,22.33,02006
2,7,288,272,94.44,16,5.56,02007
2,8,318,226,71.07,92,28.93,02008
2,9,226,208,92.04,18,7.96,02009
2,10,197,177,89.85,20,10.15,02010
2,11,375,279,74.4,96,25.6,02011
2,12,311,231,74.28,80,25.72,02012
2,13,254,215,84.65,39,15.35,02013
2,14,47,44,93.62,3,6.38,02014
2,15,131,124,94.66,7,5.34,02015
2,16,280,211,75.36,69,24.64,02016
2,17,192,184,95.83,8,4.17,02017
2,18,255,184,72.16,71,27.84,02018
2,19,289,219,75.78,70,24.22,02019
2,20,39,34,87.18,5,12.82,02020
2,21,267,230,86.14,37,13.86,02021
2,22,378,293,77.51,85,22.49,02022
2,23,182,156,85.71,26,14.29,02023
2,24,175,144,82.29,31,17.71,02024
2,25,311,271,87.14,40,12.86,02025
2,26,222,189,85.14,33,14.86,02026
2,27,181,167,92.27,14,7.73,02027
2,28,141,110,78.01,31,21.99,02028
2,29,149,119,79.87,30,20.13,02029
2,30,275,208,75.64,67,24.36,02030
2,32,119,102,85.71,17,14.29,02032
2,33,145,138,95.17,7,4.83,02033
2,34,228,206,90.35,22,9.65,02034
2,35,77,57,74.03,20,25.97,02035
2,36,333,263,78.98,70,21.02,02036
2,37,241,174,72.2,67,27.8,02037
2,38,330,246,74.55,84,25.45,02038
2,39,238,193,81.09,45,18.91,02039
2,40,396,316,79.8,80,20.2,02040
2,41,129,122,94.57,7,5.43,02041
2,42,103,96,93.2,7,6.8,02042
2,43,333,256,76.88,77,23.12,02043
2,45,234,214,91.45,20,8.55,02045
2,47,145,136,93.79,9,6.21,02047
2,48,177,167,94.35,10,5.65,02048
2,49,176,139,78.98,37,21.02,02049
2,50,167,124,74.25,43,25.75,02050
2,51,226,217,96.02,9,3.98,02051
2,52,286,267,93.36,19,6.64,02052
2,53,238,194,81.51,44,18.49,02053
2,54,317,234,73.82,83,26.18,02054
2,55,86,65,75.58,21,24.42,02055
2,56,239,222,92.89,17,7.11,02056
3,1,245,238,97.14,7,2.86,03001
3,2,318,303,95.28,15,4.72,03002
3,3,248,214,86.29,34,13.71,03003
3,4,196,184,93.88,12,6.12,03004
3,6,187,175,93.58,12,6.42,03006
3,8,249,240,96.39,9,3.61,03008
3,9,230,227,98.7,3,1.3,03009
3,10,108,98,90.74,10,9.26,03010
3,11,269,254,94.42,15,5.58,03011
3,12,225,214,95.11,11,4.89,03012
3,14,133,132,99.25,1,0.75,03014
3,15,245,230,93.88,15,6.12,03015
3,16,222,212,95.5,10,4.5,03016
3,17,111,107,96.4,4,3.6,03017
3,18,113,105,92.92,8,7.08,03018
3,20,165,155,93.94,10,6.06,03020
3,21,139,129,92.81,10,7.19,03021
3,22,133,130,97.74,3,2.26,03022
3,23,108,99,91.67,9,8.33,03023
3,24,227,208,91.63,19,8.37,03024
3,25,159,154,96.86,5,3.14,03025
3,26,91,88,96.7,3,3.3,03026
3,27,207,191,92.27,16,7.73,03027
3,28,436,337,77.29,99,22.71,03028
3,29,190,184,96.84,6,3.16,03029
3,31,340,319,93.82,21,6.18,03031
3,32,196,186,94.9,10,5.1,03032
3,33,306,292,95.42,14,4.58,03033
3,35,227,216,95.15,11,4.85,03035
3,36,98,94,95.92,4,4.08,03036
3,37,97,93,95.88,4,4.12,03037
3,39,237,225,94.94,12,5.06,03039
3,40,183,176,96.17,7,3.83,03040
3,42,177,169,95.48,8,4.52,03042
3,43,63,60,95.24,3,4.76,03043
3,45,302,260,86.09,42,13.91,03045
3,46,51,49,96.08,2,3.92,03046
3,47,142,138,97.18,4,2.82,03047
3,48,162,156,96.3,6,3.7,03048
3,49,81,76,93.83,5,6.17,03049
3,50,179,172,96.09,7,3.91,03050
4,4,301,289,96.01,12,3.99,04004
4,5,346,330,95.38,16,4.62,04005
4,6,116,110,94.83,6,5.17,04006
4,7,348,335,96.26,13,3.74,04007
4,10,324,304,93.83,20,6.17,04010
4,11,393,379,96.44,14,3.56,04011
4,14,225,212,94.22,13,5.78,04014
4,15,236,224,94.92,12,5.08,04015
4,25,218,207,94.95,11,5.05,04025
4,27,281,267,95.02,14,4.98,04027
4,30,261,245,93.87,16,6.13,04030
4,35,214,205,95.79,9,4.21,04035
4,36,209,193,92.34,16,7.66,04036
4,42,200,178,89.0,22,11.0,04042
11,14,146,60,41.1,86,58.9,11014
11,27,137,53,38.69,84,61.31,11027
11,28,130,49,37.69,81,62.31,11028
11,34,51,39,76.47,12,23.53,11034
11,36,47,15,31.91,32,68.09,11036
11,46,64,51,79.69,13,20.31,11046
12,1,18,7,38.89,11,61.11,12001
12,6,29,22,75.86,7,24.14,12006
12,18,105,62,59.05,43,40.95,12018
16,15,210,201,95.71,9,4.29,16015
16,16,198,187,94.44,11,5.56,16016
16,18,198,184,92.93,14,7.07,16018
16,20,181,171,94.48,10,5.52,16020
16,22,154,149,96.75,5,3.25,16022
16,29,156,145,92.95,11,7.05,16029
16,30,177,170,96.05,7,3.95,16030
16,33,157,151,96.18,6,3.82,16033
20,27,151,144,95.36,7,4.64,20027
20,31,231,221,95.67,10,4.33,20031
20,40,163,148,90.8,15,9.2,20040
20,45,142,133,93.66,9,6.34,20045
20,48,101,95,94.06,6,5.94,20048
22,7,214,204,95.33,10,4.67,22007
22,18,1,1,100.0,0,0.0,22018
22,19,155,152,98.06,3,1.94,22019
22,21,196,189,96.43,7,3.57,22021
24,1,298,279,93.62,19,6.38,24001
24,2,150,144,96.0,6,4.0,24002
24,3,189,187,98.94,2,1.06,24003
24,4,223,219,98.21,4,1.79,24004
24,5,161,153,95.03,8,4.97,24005
24,6,231,218,94.37,13,5.63,24006
24,7,162,152,93.83,10,6.17,24007
24,8,154,145,94.16,9,5.84,24008
24,9,199,188,94.47,11,5.53,24009
24,10,141,134,95.04,7,4.96,24010
24,11,135,128,94.81,7,5.19,24011
24,12,166,162,97.59,4,2.41,24012
24,13,204,194,95.1,10,4.9,24013
24,14,289,280,96.89,9,3.11,24014
24,15,172,163,94.77,9,5.23,24015
24,16,169,165,97.63,4,2.37,24016
24,17,175,167,95.43,8,4.57,24017
24,18,135,126,93.33,9,6.67,24018
24,19,141,137,97.16,4,2.84,24019
24,20,203,186,91.63,17,8.37,24020
24,21,118,115,97.46,3,2.54,24021
24,22,202,195,96.53,7,3.47,24022
24,23,160,151,94.38,9,5.63,24023
24,24,89,86,96.63,3,3.37,24024
24,25,202,196,97.03,6,2.97,24025
24,26,245,232,94.69,13,5.31,24026
24,27,99,97,97.98,2,2.02,24027
24,28,246,230,93.5,16,6.5,24028
24,29,230,213,92.61,17,7.39,24029
24,30,202,194,96.04,8,3.96,24030
24,31,203,191,94.09,12,5.91,24031
24,32,171,160,93.57,11,6.43,24032
24,33,140,135,96.43,5,3.57,24033
24,34,199,188,94.47,11,5.53,24034
24,35,258,249,96.51,9,3.49,24035
24,36,164,154,93.9,10,6.1,24036
24,37,236,229,97.03,7,2.97,24037
24,38,200,186,93.0,14,7.0,24038
24,39,181,172,95.03,9,4.97,24039
24,40,240,224,93.33,16,6.67,24040
24,41,171,166,97.08,5,2.92,24041
24,42,164,152,92.68,12,7.32,24042
24,43,241,229,95.02,12,4.98,24043
24,44,14,13,92.86,1,7.14,24044
24,45,159,150,94.34,9,5.66,24045
24,46,245,235,95.92,10,4.08,24046
24,47,178,174,97.75,4,2.25,24047
24,48,104,100,96.15,4,3.85,24048
24,49,320,307,95.94,13,4.06,24049
24,50,327,310,94.8,17,5.2,24050
24,51,279,267,95.7,12,4.3,24051
24,52,166,157,94.58,9,5.42,24052
24,54,245,237,96.73,8,3.27,24054
24,55,209,202,96.65,7,3.35,24055
24,56,235,226,96.17,9,3.83,24056
25,3,177,149,84.18,28,15.82,25003
25,4,229,136,59.39,93,40.61,25004
25,5,1,1,100.0,0,0.0,25005
25,6,35,20,57.14,15,42.86,25006
25,8,2,0,0.0,2,100.0,25008
25,10,126,82,65.08,44,34.92,25010
25,14,104,43,41.35,61,58.65,25014
25,16,125,55,44.0,70,56.0,25016
25,18,172,111,64.53,61,35.47,25018
25,21,177,114,64.41,63,35.59,25021
25,25,178,110,61.8,68,38.2,25025
25,26,152,97,63.82,55,36.18,25026
25,27,158,76,48.1,82,51.9,25027
25,28,251,159,63.35,92,36.65,25028
25,29,357,269,75.35,88,24.65,25029
26,17,68,31,45.59,37,54.41,26017
26,28,4,4,100.0,0,0.0,26028
26,33,51,30,58.82,21,41.18,26033
26,46,120,81,67.5,39,32.5,26046
27,1,231,165,71.43,66,28.57,27001
27,2,140,119,85.0,21,15.0,27002
27,3,192,179,93.23,13,6.77,27003
27,4,125,99,79.2,26,20.8,27004
27,5,67,44,65.67,23,34.33,27005
27,6,86,75,87.21,11,12.79,27006
27,7,178,132,74.16,46,25.84,27007
27,8,183,173,94.54,10,5.46,27008
27,9,222,205,92.34,17,7.66,27009
27,10,316,292,92.41,24,7.59,27010
27,11,219,175,79.91,44,20.09,27011
27,12,190,146,76.84,44,23.16,27012
27,14,229,214,93.45,15,6.55,27014
27,15,117,104,88.89,13,11.11,27015
27,16,70,47,67.14,23,32.86,27016
27,17,173,118,68.21,55,31.79,27017
27,18,150,89,59.33,61,40.67,27018
27,19,188,174,92.55,14,7.45,27019
27,20,255,244,95.69,11,4.31,27020
27,21,106,103,97.17,3,2.83,27021
27,22,168,150,89.29,18,10.71,27022
27,23,39,37,94.87,2,5.13,27023
27,24,155,138,89.03,17,10.97,27024
27,25,107,96,89.72,11,10.28,27025
27,26,180,172,95.56,8,4.44,27026
27,27,149,136,91.28,13,8.72,27027
27,28,185,147,79.46,38,20.54,27028
27,29,142,130,91.55,12,8.45,27029
27,30,109,90,82.57,19,17.43,27030
27,31,130,115,88.46,15,11.54,27031
27,33,173,153,88.44,20,11.56,27033
27,34,143,136,95.1,7,4.9,27034
27,36,161,144,89.44,17,10.56,27036
27,37,104,86,82.69,18,17.31,27037
27,39,93,85,91.4,8,8.6,27039
27,40,135,127,94.07,8,5.93,27040
27,42,139,102,73.38,37,26.62,27042
27,43,88,85,96.59,3,3.41,27043
27,44,140,129,92.14,11,7.86,27044
27,45,139,135,97.12,4,2.88,27045
27,46,169,151,89.35,18,10.65,27046
27,47,154,147,95.45,7,4.55,27047
27,48,212,204,96.23,8,3.77,27048
27,49,244,231,94.67,13,5.33,27049
27,50,219,164,74.89,55,25.11,27050
