ward,precinct,total,Freddrenna M. Lyle,Freddrenna M. Lyle Percent,precinct_id
6,1,285,285,100.0,06001
6,2,300,300,100.0,06002
6,3,259,259,100.0,06003
6,4,184,184,100.0,06004
6,5,123,123,100.0,06005
6,6,199,199,100.0,06006
6,7,267,267,100.0,06007
6,8,300,300,100.0,06008
6,9,242,242,100.0,06009
6,10,326,326,100.0,06010
6,11,235,235,100.0,06011
6,12,179,179,100.0,06012
6,13,217,217,100.0,06013
6,14,265,265,100.0,06014
6,15,167,167,100.0,06015
6,16,279,279,100.0,06016
6,17,316,316,100.0,06017
6,18,153,153,100.0,06018
6,19,291,291,100.0,06019
6,20,236,236,100.0,06020
6,21,244,244,100.0,06021
6,22,231,231,100.0,06022
6,23,187,187,100.0,06023
6,24,263,263,100.0,06024
6,25,175,175,100.0,06025
6,26,284,284,100.0,06026
6,27,343,343,100.0,06027
6,28,438,438,100.0,06028
6,29,290,290,100.0,06029
6,30,232,232,100.0,06030
6,31,295,295,100.0,06031
6,32,284,284,100.0,06032
6,33,302,302,100.0,06033
6,34,241,241,100.0,06034
6,35,229,229,100.0,06035
6,36,137,137,100.0,06036
6,37,305,305,100.0,06037
6,38,251,251,100.0,06038
6,39,228,228,100.0,06039
6,40,147,147,100.0,06040
6,41,271,271,100.0,06041
6,42,135,135,100.0,06042
6,43,267,267,100.0,06043
6,44,250,250,100.0,06044
6,45,196,196,100.0,06045
6,46,248,248,100.0,06046
6,47,291,291,100.0,06047
6,48,240,240,100.0,06048
6,49,266,266,100.0,06049
6,50,273,273,100.0,06050
6,51,185,185,100.0,06051
6,52,163,163,100.0,06052
6,53,219,219,100.0,06053
6,54,263,263,100.0,06054
6,55,221,221,100.0,06055
6,56,189,189,100.0,06056
6,57,137,137,100.0,06057
6,58,283,283,100.0,06058
6,59,219,219,100.0,06059
6,60,164,164,100.0,06060
6,61,158,158,100.0,06061
6,62,218,218,100.0,06062
6,63,254,254,100.0,06063
6,64,286,286,100.0,06064
