ward,precinct,total,Renault Robinson (Clinton),Renault Robinson (Clinton) Percent,precinct_id
5,1,308,33,10.71,05001
5,4,190,20,10.53,05004
5,6,322,24,7.45,05006
5,7,288,34,11.81,05007
5,11,252,42,16.67,05011
5,14,365,65,17.81,05014
5,21,301,28,9.3,05021
5,24,221,44,19.91,05024
5,26,281,30,10.68,05026
5,28,297,37,12.46,05028
5,29,274,39,14.23,05029
5,31,248,22,8.87,05031
5,32,395,38,9.62,05032
5,34,327,33,10.09,05034
5,36,172,12,6.98,05036
5,37,219,41,18.72,05037
5,38,243,56,23.05,05038
5,40,264,21,7.95,05040
5,42,263,17,6.46,05042
5,43,302,43,14.24,05043
5,44,317,33,10.41,05044
5,46,284,43,15.14,05046
5,47,248,20,8.06,05047
5,49,58,4,6.9,05049
5,54,374,41,10.96,05054
6,21,267,26,9.74,06021
6,22,249,22,8.84,06022
6,64,330,28,8.48,06064
7,1,305,31,10.16,07001
7,2,298,58,19.46,07002
7,3,185,32,17.3,07003
7,4,213,53,24.88,07004
7,5,223,56,25.11,07005
7,6,229,55,24.02,07006
7,7,171,31,18.13,07007
7,8,90,24,26.67,07008
7,9,253,35,13.83,07009
7,10,174,32,18.39,07010
7,11,261,34,13.03,07011
7,12,186,42,22.58,07012
7,13,164,24,14.63,07013
7,14,304,48,15.79,07014
7,15,143,25,17.48,07015
7,16,180,23,12.78,07016
7,17,176,18,10.23,07017
7,18,157,39,24.84,07018
7,19,379,42,11.08,07019
7,20,124,9,7.26,07020
7,21,238,48,20.17,07021
7,22,187,44,23.53,07022
7,23,177,31,17.51,07023
7,24,242,47,19.42,07024
7,25,305,58,19.02,07025
7,26,300,40,13.33,07026
7,27,335,26,7.76,07027
7,28,260,33,12.69,07028
7,29,148,16,10.81,07029
7,30,283,39,13.78,07030
7,31,252,34,13.49,07031
7,32,189,52,27.51,07032
7,33,203,32,15.76,07033
7,34,240,29,12.08,07034
7,35,139,27,19.42,07035
7,36,276,44,15.94,07036
7,37,132,25,18.94,07037
7,38,179,25,13.97,07038
7,39,209,29,13.88,07039
7,40,272,47,17.28,07040
7,41,205,25,12.2,07041
7,42,360,44,12.22,07042
7,43,266,41,15.41,07043
7,44,349,58,16.62,07044
7,45,342,43,12.57,07045
7,46,92,22,23.91,07046
7,47,206,30,14.56,07047
7,48,110,7,6.36,07048
7,49,139,20,14.39,07049
7,50,159,19,11.95,07050
7,51,212,21,9.91,07051
7,52,188,42,22.34,07052
7,53,223,43,19.28,07053
7,54,108,25,23.15,07054
7,55,204,33,16.18,07055
7,56,226,34,15.04,07056
7,57,199,26,13.07,07057
7,58,301,46,15.28,07058
7,59,140,16,11.43,07059
7,60,143,14,9.79,07060
7,61,221,30,13.57,07061
7,62,221,38,17.19,07062
7,63,209,35,16.75,07063
7,64,229,37,16.16,07064
7,65,244,32,13.11,07065
8,3,235,23,9.79,08003
8,4,255,21,8.24,08004
8,5,305,44,14.43,08005
8,7,233,20,8.58,08007
8,8,287,21,7.32,08008
8,9,342,34,9.94,08009
8,15,202,25,12.38,08015
8,17,234,22,9.4,08017
8,19,346,33,9.54,08019
8,23,244,26,10.66,08023
8,24,291,23,7.9,08024
8,25,260,25,9.62,08025
8,26,208,26,12.5,08026
8,27,296,33,11.15,08027
8,28,227,22,9.69,08028
8,32,432,31,7.18,08032
8,34,342,34,9.94,08034
8,36,268,31,11.57,08036
8,39,292,24,8.22,08039
8,42,265,33,12.45,08042
8,44,204,18,8.82,08044
8,46,209,23,11.0,08046
8,47,260,22,8.46,08047
8,49,298,28,9.4,08049
8,50,262,22,8.4,08050
8,51,336,33,9.82,08051
8,57,248,24,9.68,08057
8,60,217,16,7.37,08060
8,62,234,29,12.39,08062
8,63,268,21,7.84,08063
8,65,167,18,10.78,08065
8,66,408,27,6.62,08066
8,70,356,32,8.99,08070
9,1,314,23,7.32,09001
9,2,281,23,8.19,09002
9,3,142,12,8.45,09003
9,4,252,25,9.92,09004
9,5,283,22,7.77,09005
9,6,304,22,7.24,09006
9,7,230,32,13.91,09007
9,8,296,33,11.15,09008
9,9,315,32,10.16,09009
9,10,255,21,8.24,09010
9,11,213,29,13.62,09011
9,12,265,26,9.81,09012
9,13,273,27,9.89,09013
9,14,370,35,9.46,09014
9,15,263,30,11.41,09015
9,16,211,19,9.0,09016
9,17,260,19,7.31,09017
9,18,288,31,10.76,09018
9,19,323,26,8.05,09019
9,20,297,24,8.08,09020
9,21,259,31,11.97,09021
9,22,314,31,9.87,09022
9,23,220,26,11.82,09023
9,24,165,16,9.7,09024
9,25,191,58,30.37,09025
9,26,166,15,9.04,09026
9,27,237,21,8.86,09027
9,28,124,47,37.9,09028
9,29,212,12,5.66,09029
9,30,254,21,8.27,09030
9,31,241,23,9.54,09031
9,32,285,28,9.82,09032
9,33,168,13,7.74,09033
9,34,216,28,12.96,09034
9,35,324,30,9.26,09035
9,37,202,56,27.72,09037
9,38,269,23,8.55,09038
9,39,336,29,8.63,09039
9,40,295,34,11.53,09040
9,41,310,34,10.97,09041
9,42,103,5,4.85,09042
9,43,151,8,5.3,09043
9,44,209,22,10.53,09044
9,45,237,21,8.86,09045
9,46,229,25,10.92,09046
9,48,297,32,10.77,09048
9,49,191,10,5.24,09049
9,50,279,33,11.83,09050
9,51,151,22,14.57,09051
9,52,304,31,10.2,09052
9,53,147,18,12.24,09053
10,1,182,49,26.92,10001
10,2,116,71,61.21,10002
10,3,155,104,67.1,10003
10,4,154,56,36.36,10004
10,5,136,71,52.21,10005
10,6,210,20,9.52,10006
10,7,54,26,48.15,10007
10,8,136,95,69.85,10008
10,9,136,84,61.76,10009
10,10,146,96,65.75,10010
10,11,178,125,70.22,10011
10,12,139,85,61.15,10012
10,13,130,83,63.85,10013
10,14,171,106,61.99,10014
10,15,88,48,54.55,10015
10,16,151,99,65.56,10016
10,17,124,78,62.9,10017
10,18,168,62,36.9,10018
10,19,172,100,58.14,10019
10,20,144,96,66.67,10020
10,21,127,68,53.54,10021
10,22,164,42,25.61,10022
10,23,144,82,56.94,10023
10,24,135,88,65.19,10024
10,25,236,81,34.32,10025
10,26,143,85,59.44,10026
10,27,196,119,60.71,10027
10,28,144,21,14.58,10028
10,29,196,12,6.12,10029
10,30,204,122,59.8,10030
10,31,157,89,56.69,10031
10,32,194,119,61.34,10032
10,33,156,108,69.23,10033
10,34,201,129,64.18,10034
10,35,164,91,55.49,10035
10,36,219,95,43.38,10036
10,37,157,51,32.48,10037
10,38,194,134,69.07,10038
10,39,167,110,65.87,10039
10,40,141,75,53.19,10040
10,41,185,124,67.03,10041
10,42,160,109,68.13,10042
10,43,100,34,34.0,10043
10,44,196,121,61.73,10044
10,45,108,66,61.11,10045
10,46,167,119,71.26,10046
10,47,141,93,65.96,10047
10,48,161,46,28.57,10048
34,1,411,26,6.33,34001
34,2,275,16,5.82,34002
34,3,331,31,9.37,34003
34,4,348,28,8.05,34004
34,5,281,23,8.19,34005
34,6,181,16,8.84,34006
34,7,351,42,11.97,34007
34,9,228,28,12.28,34009
34,10,294,27,9.18,34010
34,11,229,14,6.11,34011
34,12,361,30,8.31,34012
34,14,244,14,5.74,34014
34,15,247,26,10.53,34015
34,16,226,16,7.08,34016
34,17,250,31,12.4,34017
34,18,198,12,6.06,34018
34,20,417,29,6.95,34020
34,21,275,27,9.82,34021
34,22,336,32,9.52,34022
34,23,262,20,7.63,34023
34,24,287,22,7.67,34024
34,25,325,29,8.92,34025
34,26,183,17,9.29,34026
34,27,257,25,9.73,34027
34,28,173,8,4.62,34028
34,30,331,30,9.06,34030
34,31,156,11,7.05,34031
34,32,192,20,10.42,34032
34,34,345,41,11.88,34034
34,35,357,27,7.56,34035
34,36,310,25,8.06,34036
34,37,291,28,9.62,34037
34,38,238,22,9.24,34038
34,39,238,14,5.88,34039
34,40,335,40,11.94,34040
34,41,181,15,8.29,34041
34,42,372,44,11.83,34042
34,43,398,39,9.8,34043
34,44,248,25,10.08,34044
34,46,289,23,7.96,34046
34,48,374,27,7.22,34048
34,49,429,31,7.23,34049
34,50,279,22,7.89,34050
34,52,222,16,7.21,34052
34,53,214,18,8.41,34053
34,54,231,19,8.23,34054
34,56,154,12,7.79,34056
34,59,317,28,8.83,34059
34,60,294,24,8.16,34060
34,61,256,16,6.25,34061
