ward,precinct,total,Ralph C. Capparelli,Ralph C. Capparelli Percent,Mary O'Connor,Mary O'Connor Percent,Patricia A. Mulligan,Patricia A. Mulligan Percent,Frank Coconate,Frank Coconate Percent,precinct_id
41,1,255,105,41.18,124,48.63,10,3.92,16,6.27,41001
41,2,282,129,45.74,119,42.2,12,4.26,22,7.8,41002
41,3,231,81,35.06,87,37.66,12,5.19,51,22.08,41003
41,4,267,73,27.34,157,58.8,18,6.74,19,7.12,41004
41,5,281,77,27.4,155,55.16,21,7.47,28,9.96,41005
41,6,233,78,33.48,123,52.79,8,3.43,24,10.3,41006
41,7,305,63,20.66,172,56.39,15,4.92,55,18.03,41007
41,8,247,76,30.77,123,49.8,18,7.29,30,12.15,41008
41,9,221,107,48.42,71,32.13,24,10.86,19,8.6,41009
41,10,206,77,37.38,94,45.63,17,8.25,18,8.74,41010
41,11,263,78,29.66,130,49.43,26,9.89,29,11.03,41011
41,12,210,87,41.43,74,35.24,19,9.05,30,14.29,41012
41,13,134,65,48.51,29,21.64,13,9.7,27,20.15,41013
41,14,262,84,32.06,142,54.2,17,6.49,19,7.25,41014
41,15,255,78,30.59,137,53.73,18,7.06,22,8.63,41015
41,16,245,73,29.8,120,48.98,18,7.35,34,13.88,41016
41,17,245,90,36.73,117,47.76,12,4.9,26,10.61,41017
41,18,172,52,30.23,83,48.26,18,10.47,19,11.05,41018
41,19,269,78,29.0,144,53.53,17,6.32,30,11.15,41019
41,20,259,107,41.31,104,40.15,23,8.88,25,9.65,41020
41,21,250,75,30.0,132,52.8,14,5.6,29,11.6,41021
41,22,222,77,34.68,96,43.24,12,5.41,37,16.67,41022
41,23,206,81,39.32,86,41.75,23,11.17,16,7.77,41023
41,24,216,95,43.98,80,37.04,17,7.87,24,11.11,41024
41,25,83,31,37.35,22,26.51,18,21.69,12,14.46,41025
41,26,113,58,51.33,19,16.81,10,8.85,26,23.01,41026
41,27,62,31,50.0,15,24.19,5,8.06,11,17.74,41027
41,28,179,49,27.37,73,40.78,31,17.32,26,14.53,41028
41,29,105,33,31.43,38,36.19,19,18.1,15,14.29,41029
41,30,261,108,41.38,85,32.57,21,8.05,47,18.01,41030
41,31,276,70,25.36,168,60.87,17,6.16,21,7.61,41031
41,32,161,63,39.13,41,25.47,14,8.7,43,26.71,41032
41,33,178,58,32.58,62,34.83,21,11.8,37,20.79,41033
41,34,169,51,30.18,84,49.7,11,6.51,23,13.61,41034
41,35,247,107,43.32,97,39.27,13,5.26,30,12.15,41035
41,36,236,84,35.59,98,41.53,19,8.05,35,14.83,41036
41,37,241,57,23.65,138,57.26,14,5.81,32,13.28,41037
41,38,253,114,45.06,88,34.78,21,8.3,30,11.86,41038
41,39,156,55,35.26,67,42.95,16,10.26,18,11.54,41039
41,40,280,126,45.0,115,41.07,16,5.71,23,8.21,41040
41,41,226,64,28.32,110,48.67,13,5.75,39,17.26,41041
41,42,304,75,24.67,202,66.45,8,2.63,19,6.25,41042
41,43,252,103,40.87,103,40.87,18,7.14,28,11.11,41043
41,44,208,68,32.69,93,44.71,16,7.69,31,14.9,41044
41,45,187,69,36.9,56,29.95,21,11.23,41,21.93,41045
41,46,201,75,37.31,76,37.81,19,9.45,31,15.42,41046
41,47,211,92,43.6,92,43.6,17,8.06,10,4.74,41047
41,48,143,52,36.36,48,33.57,25,17.48,18,12.59,41048
41,49,305,88,28.85,188,61.64,9,2.95,20,6.56,41049
41,50,241,85,35.27,89,36.93,21,8.71,46,19.09,41050
41,51,180,64,35.56,94,52.22,11,6.11,11,6.11,41051
41,52,315,105,33.33,167,53.02,16,5.08,27,8.57,41052
41,53,236,80,33.9,89,37.71,28,11.86,39,16.53,41053
41,54,177,65,36.72,83,46.89,11,6.21,18,10.17,41054
41,55,191,59,30.89,78,40.84,14,7.33,40,20.94,41055
41,56,314,69,21.97,209,66.56,15,4.78,21,6.69,41056
41,57,186,89,47.85,58,31.18,15,8.06,24,12.9,41057
