ward,precinct,total,Antonio ''Tony'' Mu̱oz,Antonio ''Tony'' Mu̱oz Percent,precinct_id
12,1,80,80,100.0,12001
12,2,113,113,100.0,12002
12,3,111,111,100.0,12003
12,4,100,100,100.0,12004
12,5,123,123,100.0,12005
12,6,97,97,100.0,12006
12,7,147,147,100.0,12007
12,8,176,176,100.0,12008
12,9,105,105,100.0,12009
12,10,133,133,100.0,12010
12,11,188,188,100.0,12011
12,12,105,105,100.0,12012
12,13,164,164,100.0,12013
12,14,133,133,100.0,12014
12,15,105,105,100.0,12015
12,16,117,117,100.0,12016
12,17,148,148,100.0,12017
12,18,155,155,100.0,12018
12,19,170,170,100.0,12019
12,20,130,130,100.0,12020
12,21,145,145,100.0,12021
12,22,104,104,100.0,12022
12,23,150,150,100.0,12023
12,24,170,170,100.0,12024
