ward,precinct,total,Patrick J. Sherlock,Patrick J. Sherlock Percent,precinct_id
13,1,197,197,100.0,13001
13,2,147,147,100.0,13002
13,3,215,215,100.0,13003
13,4,238,238,100.0,13004
13,5,220,220,100.0,13005
13,6,172,172,100.0,13006
13,7,153,153,100.0,13007
13,8,205,205,100.0,13008
13,9,218,218,100.0,13009
13,10,153,153,100.0,13010
13,11,173,173,100.0,13011
13,12,157,157,100.0,13012
13,13,164,164,100.0,13013
13,14,156,156,100.0,13014
13,15,287,287,100.0,13015
13,16,243,243,100.0,13016
13,17,180,180,100.0,13017
13,18,145,145,100.0,13018
13,19,241,241,100.0,13019
13,20,180,180,100.0,13020
13,21,199,199,100.0,13021
13,22,125,125,100.0,13022
13,23,163,163,100.0,13023
13,24,184,184,100.0,13024
13,25,154,154,100.0,13025
13,26,160,160,100.0,13026
13,27,175,175,100.0,13027
13,28,152,152,100.0,13028
13,29,171,171,100.0,13029
13,30,287,287,100.0,13030
13,31,213,213,100.0,13031
13,32,180,180,100.0,13032
13,33,184,184,100.0,13033
13,34,215,215,100.0,13034
13,35,192,192,100.0,13035
13,36,108,108,100.0,13036
13,37,167,167,100.0,13037
13,38,201,201,100.0,13038
13,39,171,171,100.0,13039
13,40,214,214,100.0,13040
13,41,147,147,100.0,13041
13,42,172,172,100.0,13042
13,43,188,188,100.0,13043
13,44,149,149,100.0,13044
13,45,202,202,100.0,13045
13,46,201,201,100.0,13046
13,47,206,206,100.0,13047
14,1,95,95,100.0,14001
14,2,134,134,100.0,14002
14,3,195,195,100.0,14003
14,4,124,124,100.0,14004
14,6,127,127,100.0,14006
14,9,157,157,100.0,14009
14,13,164,164,100.0,14013
14,25,162,162,100.0,14025
14,27,184,184,100.0,14027
14,28,143,143,100.0,14028
15,1,102,102,100.0,15001
15,8,170,170,100.0,15008
15,10,100,100,100.0,15010
15,14,125,125,100.0,15014
15,16,91,91,100.0,15016
15,28,178,178,100.0,15028
15,34,7,7,100.0,15034
