ward,precinct,total,Ed H. Smith,Ed H. Smith Percent,precinct_id
28,1,180,180,100.0,28001
28,2,205,205,100.0,28002
28,3,131,131,100.0,28003
28,4,220,220,100.0,28004
28,5,153,153,100.0,28005
28,6,145,145,100.0,28006
28,7,154,154,100.0,28007
28,8,102,102,100.0,28008
28,9,134,134,100.0,28009
28,10,57,57,100.0,28010
28,11,132,132,100.0,28011
28,12,140,140,100.0,28012
28,13,81,81,100.0,28013
28,14,99,99,100.0,28014
28,15,171,171,100.0,28015
28,16,145,145,100.0,28016
28,17,150,150,100.0,28017
28,18,200,200,100.0,28018
28,19,166,166,100.0,28019
28,20,176,176,100.0,28020
28,21,231,231,100.0,28021
28,22,152,152,100.0,28022
28,23,153,153,100.0,28023
28,24,120,120,100.0,28024
28,25,115,115,100.0,28025
28,26,166,166,100.0,28026
28,27,195,195,100.0,28027
28,28,115,115,100.0,28028
28,29,137,137,100.0,28029
28,30,86,86,100.0,28030
28,31,154,154,100.0,28031
28,32,172,172,100.0,28032
28,33,176,176,100.0,28033
28,34,43,43,100.0,28034
28,35,134,134,100.0,28035
28,36,127,127,100.0,28036
28,37,237,237,100.0,28037
28,38,47,47,100.0,28038
28,39,171,171,100.0,28039
28,40,219,219,100.0,28040
28,41,178,178,100.0,28041
28,42,148,148,100.0,28042
28,43,208,208,100.0,28043
28,44,172,172,100.0,28044
28,45,177,177,100.0,28045
28,46,164,164,100.0,28046
28,47,167,167,100.0,28047
28,48,87,87,100.0,28048
28,49,75,75,100.0,28049
28,50,109,109,100.0,28050
28,51,138,138,100.0,28051
28,52,134,134,100.0,28052
28,53,92,92,100.0,28053
28,54,144,144,100.0,28054
28,55,139,139,100.0,28055
28,56,166,166,100.0,28056
28,57,176,176,100.0,28057
28,58,170,170,100.0,28058
28,59,123,123,100.0,28059
28,60,107,107,100.0,28060
28,61,94,94,100.0,28061
