ward,precinct,total,Robert S. Molaro,Robert S. Molaro Percent,precinct_id
13,4,77,77,100.0,13004
23,1,208,208,100.0,23001
23,2,229,229,100.0,23002
23,3,181,181,100.0,23003
23,4,212,212,100.0,23004
23,7,56,56,100.0,23007
23,8,198,198,100.0,23008
23,11,226,226,100.0,23011
23,12,214,214,100.0,23012
23,13,267,267,100.0,23013
23,14,10,10,100.0,23014
23,15,193,193,100.0,23015
23,16,239,239,100.0,23016
23,17,240,240,100.0,23017
23,18,154,154,100.0,23018
23,19,179,179,100.0,23019
23,20,179,179,100.0,23020
23,21,163,163,100.0,23021
23,22,211,211,100.0,23022
23,23,176,176,100.0,23023
23,26,207,207,100.0,23026
23,27,174,174,100.0,23027
23,28,211,211,100.0,23028
23,30,183,183,100.0,23030
23,34,166,166,100.0,23034
23,35,142,142,100.0,23035
23,36,266,266,100.0,23036
23,37,143,143,100.0,23037
23,38,183,183,100.0,23038
23,39,185,185,100.0,23039
23,40,176,176,100.0,23040
23,42,155,155,100.0,23042
23,43,222,222,100.0,23043
23,44,215,215,100.0,23044
23,45,251,251,100.0,23045
23,46,204,204,100.0,23046
23,47,217,217,100.0,23047
23,48,175,175,100.0,23048
23,49,216,216,100.0,23049
23,52,244,244,100.0,23052
23,54,226,226,100.0,23054
23,55,190,190,100.0,23055
23,56,174,174,100.0,23056
