ward,precinct,total,Willie B. Cochran,Willie B. Cochran Percent,precinct_id
20,1,200,200,100.0,20001
20,2,184,184,100.0,20002
20,3,163,163,100.0,20003
20,4,125,125,100.0,20004
20,5,118,118,100.0,20005
20,6,224,224,100.0,20006
20,7,60,60,100.0,20007
20,8,51,51,100.0,20008
20,9,232,232,100.0,20009
20,10,170,170,100.0,20010
20,11,146,146,100.0,20011
20,12,93,93,100.0,20012
20,13,127,127,100.0,20013
20,14,270,270,100.0,20014
20,15,143,143,100.0,20015
20,16,287,287,100.0,20016
20,17,135,135,100.0,20017
20,18,153,153,100.0,20018
20,19,153,153,100.0,20019
20,20,120,120,100.0,20020
20,21,86,86,100.0,20021
20,22,253,253,100.0,20022
20,23,239,239,100.0,20023
20,24,223,223,100.0,20024
20,25,147,147,100.0,20025
20,26,192,192,100.0,20026
20,27,107,107,100.0,20027
20,28,194,194,100.0,20028
20,29,225,225,100.0,20029
20,30,190,190,100.0,20030
20,31,182,182,100.0,20031
20,32,161,161,100.0,20032
20,33,192,192,100.0,20033
20,34,288,288,100.0,20034
20,35,86,86,100.0,20035
20,36,169,169,100.0,20036
20,37,187,187,100.0,20037
20,38,26,26,100.0,20038
20,39,150,150,100.0,20039
20,40,134,134,100.0,20040
20,41,65,65,100.0,20041
20,42,163,163,100.0,20042
20,43,37,37,100.0,20043
20,44,219,219,100.0,20044
20,45,119,119,100.0,20045
20,46,158,158,100.0,20046
20,47,159,159,100.0,20047
20,48,77,77,100.0,20048
20,49,146,146,100.0,20049
20,50,98,98,100.0,20050
