ward,precinct,total,Marilyn F. Johnson,Marilyn F. Johnson Percent,Joseph Robert Papavero,Joseph Robert Papavero Percent,precinct_id
1,1,174,139,79.89,35,20.11,01001
1,2,155,121,78.06,34,21.94,01002
1,3,127,107,84.25,20,15.75,01003
1,4,143,107,74.83,36,25.17,01004
1,5,152,122,80.26,30,19.74,01005
1,6,170,124,72.94,46,27.06,01006
1,7,134,96,71.64,38,28.36,01007
1,8,155,133,85.81,22,14.19,01008
1,9,154,114,74.03,40,25.97,01009
1,10,162,135,83.33,27,16.67,01010
1,11,123,94,76.42,29,23.58,01011
1,12,174,145,83.33,29,16.67,01012
1,13,193,136,70.47,57,29.53,01013
1,14,158,129,81.65,29,18.35,01014
1,15,134,91,67.91,43,32.09,01015
1,16,71,56,78.87,15,21.13,01016
1,17,129,104,80.62,25,19.38,01017
1,18,124,96,77.42,28,22.58,01018
1,19,136,98,72.06,38,27.94,01019
1,20,138,95,68.84,43,31.16,01020
1,21,126,102,80.95,24,19.05,01021
1,22,151,112,74.17,39,25.83,01022
1,23,133,101,75.94,32,24.06,01023
1,24,254,195,76.77,59,23.23,01024
1,25,132,95,71.97,37,28.03,01025
1,26,128,97,75.78,31,24.22,01026
1,27,82,64,78.05,18,21.95,01027
1,28,103,75,72.82,28,27.18,01028
1,29,140,111,79.29,29,20.71,01029
1,30,245,174,71.02,71,28.98,01030
1,31,156,134,85.9,22,14.1,01031
1,32,140,106,75.71,34,24.29,01032
1,33,160,123,76.88,37,23.13,01033
1,34,97,79,81.44,18,18.56,01034
1,35,94,72,76.6,22,23.4,01035
1,36,147,119,80.95,28,19.05,01036
1,37,116,83,71.55,33,28.45,01037
1,38,114,93,81.58,21,18.42,01038
1,39,169,124,73.37,45,26.63,01039
1,40,83,61,73.49,22,26.51,01040
1,41,156,110,70.51,46,29.49,01041
1,42,118,84,71.19,34,28.81,01042
1,43,111,84,75.68,27,24.32,01043
1,44,126,95,75.4,31,24.6,01044
1,45,177,133,75.14,44,24.86,01045
1,46,170,134,78.82,36,21.18,01046
1,47,154,127,82.47,27,17.53,01047
1,48,86,64,74.42,22,25.58,01048
1,49,68,62,91.18,6,8.82,01049
1,50,120,83,69.17,37,30.83,01050
2,1,262,223,85.11,39,14.89,02001
2,2,53,41,77.36,12,22.64,02002
2,3,232,190,81.9,42,18.1,02003
2,4,144,134,93.06,10,6.94,02004
2,5,234,207,88.46,27,11.54,02005
2,6,236,193,81.78,43,18.22,02006
2,7,281,255,90.75,26,9.25,02007
2,8,270,240,88.89,30,11.11,02008
2,9,207,177,85.51,30,14.49,02009
2,10,186,162,87.1,24,12.9,02010
2,11,316,280,88.61,36,11.39,02011
2,12,222,174,78.38,48,21.62,02012
2,13,225,197,87.56,28,12.44,02013
2,14,314,300,95.54,14,4.46,02014
2,15,113,93,82.3,20,17.7,02015
2,16,219,173,79.0,46,21.0,02016
2,17,166,144,86.75,22,13.25,02017
2,18,203,170,83.74,33,16.26,02018
2,19,214,177,82.71,37,17.29,02019
2,20,254,230,90.55,24,9.45,02020
2,21,222,203,91.44,19,8.56,02021
2,22,319,287,89.97,32,10.03,02022
2,23,160,138,86.25,22,13.75,02023
2,24,135,107,79.26,28,20.74,02024
2,25,282,237,84.04,45,15.96,02025
2,26,179,158,88.27,21,11.73,02026
2,27,171,151,88.3,20,11.7,02027
2,28,108,88,81.48,20,18.52,02028
2,29,118,108,91.53,10,8.47,02029
2,30,216,181,83.8,35,16.2,02030
2,31,249,224,89.96,25,10.04,02031
2,32,108,83,76.85,25,23.15,02032
2,33,132,117,88.64,15,11.36,02033
2,34,157,130,82.8,27,17.2,02034
2,35,60,57,95.0,3,5.0,02035
2,36,264,221,83.71,43,16.29,02036
2,37,177,147,83.05,30,16.95,02037
2,38,269,226,84.01,43,15.99,02038
2,39,210,172,81.9,38,18.1,02039
2,40,330,275,83.33,55,16.67,02040
2,41,108,97,89.81,11,10.19,02041
2,42,93,84,90.32,9,9.68,02042
2,43,248,219,88.31,29,11.69,02043
2,44,171,153,89.47,18,10.53,02044
2,45,203,177,87.19,26,12.81,02045
2,46,315,300,95.24,15,4.76,02046
2,47,130,117,90.0,13,10.0,02047
2,48,170,152,89.41,18,10.59,02048
2,49,131,112,85.5,19,14.5,02049
2,50,141,113,80.14,28,19.86,02050
2,51,194,171,88.14,23,11.86,02051
