ward,precinct,total,William ''Will'' Davis,William ''Will'' Davis Percent,precinct_id
9,4,212,212,100.0,09004
9,6,236,236,100.0,09006
9,11,164,164,100.0,09011
9,18,51,51,100.0,09018
9,19,256,256,100.0,09019
9,30,216,216,100.0,09030
9,39,263,263,100.0,09039
9,45,191,191,100.0,09045
34,3,24,24,100.0,34003
34,6,164,164,100.0,34006
34,35,321,321,100.0,34035
