ward,precinct,total,Rickey R. Hendon,Rickey R. Hendon Percent,Jonathan Singh Bedi,Jonathan Singh Bedi Percent,Amy Sue Mertens,Amy Sue Mertens Percent,precinct_id
1,6,204,91,44.61,22,10.78,91,44.61,01006
1,8,171,55,32.16,24,14.04,92,53.8,01008
1,12,199,57,28.64,26,13.07,116,58.29,01012
1,31,125,21,16.8,20,16.0,84,67.2,01031
1,32,5,3,60.0,0,0.0,2,40.0,01032
1,35,93,28,30.11,13,13.98,52,55.91,01035
1,44,32,5,15.63,7,21.88,20,62.5,01044
2,2,54,35,64.81,5,9.26,14,25.93,02002
2,3,276,125,45.29,102,36.96,49,17.75,02003
2,4,193,173,89.64,9,4.66,11,5.7,02004
2,5,293,233,79.52,18,6.14,42,14.33,02005
2,6,287,63,21.95,49,17.07,175,60.98,02006
2,9,230,166,72.17,26,11.3,38,16.52,02009
2,10,216,175,81.02,17,7.87,24,11.11,02010
2,12,254,56,22.05,60,23.62,138,54.33,02012
2,13,263,169,64.26,27,10.27,67,25.48,02013
2,15,130,112,86.15,9,6.92,9,6.92,02015
2,16,267,65,24.34,86,32.21,116,43.45,02016
2,17,201,156,77.61,23,11.44,22,10.95,02017
2,23,189,135,71.43,19,10.05,35,18.52,02023
2,25,324,193,59.57,47,14.51,84,25.93,02025
2,27,218,181,83.03,18,8.26,19,8.72,02027
2,28,125,40,32.0,21,16.8,64,51.2,02028
2,29,144,94,65.28,19,13.19,31,21.53,02029
2,32,125,88,70.4,14,11.2,23,18.4,02032
2,33,154,129,83.77,9,5.84,16,10.39,02033
2,34,258,211,81.78,28,10.85,19,7.36,02034
2,39,255,158,61.96,25,9.8,72,28.24,02039
2,41,129,105,81.4,7,5.43,17,13.18,02041
2,42,128,107,83.59,9,7.03,12,9.38,02042
2,45,243,168,69.14,33,13.58,42,17.28,02045
2,47,159,129,81.13,11,6.92,19,11.95,02047
2,48,196,168,85.71,7,3.57,21,10.71,02048
2,49,0,0,0.0,0,0.0,0,0.0,02049
2,50,178,66,37.08,13,7.3,99,55.62,02050
2,51,217,164,75.58,33,15.21,20,9.22,02051
2,52,299,206,68.9,37,12.37,56,18.73,02052
2,56,259,191,73.75,23,8.88,45,17.37,02056
11,50,3,2,66.67,0,0.0,1,33.33,11050
22,7,227,176,77.53,24,10.57,27,11.89,22007
22,19,178,150,84.27,8,4.49,20,11.24,22019
22,21,212,176,83.02,15,7.08,21,9.91,22021
24,1,313,245,78.27,29,9.27,39,12.46,24001
24,2,169,114,67.46,35,20.71,20,11.83,24002
24,3,218,167,76.61,28,12.84,23,10.55,24003
24,4,224,193,86.16,14,6.25,17,7.59,24004
24,5,167,135,80.84,10,5.99,22,13.17,24005
24,6,253,175,69.17,52,20.55,26,10.28,24006
24,8,173,122,70.52,31,17.92,20,11.56,24008
24,9,223,170,76.23,27,12.11,26,11.66,24009
24,10,147,104,70.75,19,12.93,24,16.33,24010
24,11,139,92,66.19,15,10.79,32,23.02,24011
24,12,172,128,74.42,19,11.05,25,14.53,24012
24,13,207,155,74.88,25,12.08,27,13.04,24013
24,14,288,219,76.04,30,10.42,39,13.54,24014
24,15,178,138,77.53,17,9.55,23,12.92,24015
24,17,168,137,81.55,14,8.33,17,10.12,24017
24,18,143,102,71.33,22,15.38,19,13.29,24018
24,19,150,120,80.0,11,7.33,19,12.67,24019
24,20,194,164,84.54,16,8.25,14,7.22,24020
24,21,118,104,88.14,6,5.08,8,6.78,24021
24,22,191,145,75.92,22,11.52,24,12.57,24022
24,23,154,111,72.08,15,9.74,28,18.18,24023
24,24,93,74,79.57,9,9.68,10,10.75,24024
24,25,215,156,72.56,36,16.74,23,10.7,24025
24,26,275,216,78.55,35,12.73,24,8.73,24026
24,27,97,75,77.32,11,11.34,11,11.34,24027
24,28,230,187,81.3,17,7.39,26,11.3,24028
24,29,233,164,70.39,36,15.45,33,14.16,24029
24,30,191,153,80.1,23,12.04,15,7.85,24030
24,31,202,142,70.3,29,14.36,31,15.35,24031
24,32,176,134,76.14,23,13.07,19,10.8,24032
24,33,147,108,73.47,27,18.37,12,8.16,24033
24,34,207,145,70.05,36,17.39,26,12.56,24034
24,35,278,220,79.14,20,7.19,38,13.67,24035
24,36,165,129,78.18,10,6.06,26,15.76,24036
24,37,252,188,74.6,32,12.7,32,12.7,24037
24,38,210,145,69.05,31,14.76,34,16.19,24038
24,39,185,148,80.0,16,8.65,21,11.35,24039
24,40,241,167,69.29,38,15.77,36,14.94,24040
24,42,155,117,75.48,20,12.9,18,11.61,24042
24,43,273,230,84.25,15,5.49,28,10.26,24043
24,44,277,196,70.76,41,14.8,40,14.44,24044
24,45,177,138,77.97,27,15.25,12,6.78,24045
24,47,172,121,70.35,23,13.37,28,16.28,24047
24,48,118,89,75.42,17,14.41,12,10.17,24048
24,49,314,245,78.03,30,9.55,39,12.42,24049
24,50,334,256,76.65,38,11.38,40,11.98,24050
24,51,304,260,85.53,23,7.57,21,6.91,24051
24,52,168,142,84.52,12,7.14,14,8.33,24052
24,54,232,176,75.86,28,12.07,28,12.07,24054
24,55,211,160,75.83,38,18.01,13,6.16,24055
24,56,239,178,74.48,31,12.97,30,12.55,24056
25,3,191,117,61.26,24,12.57,50,26.18,25003
25,4,224,78,34.82,38,16.96,108,48.21,25004
25,6,138,47,34.06,25,18.12,66,47.83,25006
25,9,8,4,50.0,2,25.0,2,25.0,25009
25,10,120,67,55.83,14,11.67,39,32.5,25010
25,12,188,54,28.72,35,18.62,99,52.66,25012
25,18,75,41,54.67,13,17.33,21,28.0,25018
25,21,164,51,31.1,33,20.12,80,48.78,25021
25,25,160,45,28.13,30,18.75,85,53.13,25025
25,26,147,28,19.05,36,24.49,83,56.46,25026
25,27,161,52,32.3,38,23.6,71,44.1,25027
25,28,240,61,25.42,66,27.5,113,47.08,25028
25,29,347,148,42.65,69,19.88,130,37.46,25029
25,31,123,34,27.64,20,16.26,69,56.1,25031
26,7,2,0,0.0,0,0.0,2,100.0,26007
26,17,65,30,46.15,8,12.31,27,41.54,26017
26,28,4,0,0.0,0,0.0,4,100.0,26028
26,32,19,8,42.11,2,10.53,9,47.37,26032
26,33,62,23,37.1,11,17.74,28,45.16,26033
26,46,150,64,42.67,14,9.33,72,48.0,26046
27,1,185,42,22.7,50,27.03,93,50.27,27001
27,2,159,104,65.41,30,18.87,25,15.72,27002
27,3,210,180,85.71,12,5.71,18,8.57,27003
27,7,171,74,43.27,40,23.39,57,33.33,27007
