ward,precinct,total,Heather Steans,Heather Steans Percent,Suzanne Elder,Suzanne Elder Percent,precinct_id
40,1,51,19,37.25,32,62.75,40001
40,2,122,73,59.84,49,40.16,40002
40,3,208,145,69.71,63,30.29,40003
40,4,188,128,68.09,60,31.91,40004
40,7,199,127,63.82,72,36.18,40007
40,9,145,86,59.31,59,40.69,40009
40,10,107,50,46.73,57,53.27,40010
40,11,182,92,50.55,90,49.45,40011
40,12,154,95,61.69,59,38.31,40012
40,13,217,127,58.53,90,41.47,40013
40,14,162,100,61.73,62,38.27,40014
40,15,182,123,67.58,59,32.42,40015
40,16,184,134,72.83,50,27.17,40016
40,18,181,125,69.06,56,30.94,40018
40,19,140,78,55.71,62,44.29,40019
40,21,178,109,61.24,69,38.76,40021
40,22,110,69,62.73,41,37.27,40022
40,23,249,148,59.44,101,40.56,40023
40,24,72,38,52.78,34,47.22,40024
40,25,149,79,53.02,70,46.98,40025
40,26,206,116,56.31,90,43.69,40026
40,27,133,83,62.41,50,37.59,40027
40,28,212,134,63.21,78,36.79,40028
40,33,208,123,59.13,85,40.87,40033
40,35,175,116,66.29,59,33.71,40035
40,36,179,111,62.01,68,37.99,40036
40,37,146,91,62.33,55,37.67,40037
40,39,138,92,66.67,46,33.33,40039
40,40,125,75,60.0,50,40.0,40040
40,41,244,140,57.38,104,42.62,40041
40,42,219,142,64.84,77,35.16,40042
40,43,225,131,58.22,94,41.78,40043
40,44,129,74,57.36,55,42.64,40044
40,45,272,159,58.46,113,41.54,40045
40,46,225,130,57.78,95,42.22,40046
40,47,196,109,55.61,87,44.39,40047
46,2,253,155,61.26,98,38.74,46002
46,4,213,106,49.77,107,50.23,46004
46,6,258,133,51.55,125,48.45,46006
46,7,135,74,54.81,61,45.19,46007
46,8,212,129,60.85,83,39.15,46008
46,9,221,136,61.54,85,38.46,46009
46,11,237,148,62.45,89,37.55,46011
46,12,220,141,64.09,79,35.91,46012
46,14,203,118,58.13,85,41.87,46014
46,16,160,99,61.88,61,38.13,46016
46,19,277,175,63.18,102,36.82,46019
46,20,168,88,52.38,80,47.62,46020
46,21,81,57,70.37,24,29.63,46021
46,22,141,87,61.7,54,38.3,46022
46,23,177,104,58.76,73,41.24,46023
46,25,236,148,62.71,88,37.29,46025
46,26,215,123,57.21,92,42.79,46026
46,27,244,123,50.41,121,49.59,46027
46,32,138,86,62.32,52,37.68,46032
46,34,210,142,67.62,68,32.38,46034
46,35,234,137,58.55,97,41.45,46035
46,38,167,99,59.28,68,40.72,46038
46,39,224,111,49.55,113,50.45,46039
46,40,196,128,65.31,68,34.69,46040
46,41,166,94,56.63,72,43.37,46041
46,42,199,120,60.3,79,39.7,46042
46,45,264,144,54.55,120,45.45,46045
46,46,193,113,58.55,80,41.45,46046
46,47,104,55,52.88,49,47.12,46047
47,5,237,169,71.31,68,28.69,47005
47,10,186,109,58.6,77,41.4,47010
47,11,438,331,75.57,107,24.43,47011
47,19,284,189,66.55,95,33.45,47019
47,20,268,173,64.55,95,35.45,47020
47,22,257,169,65.76,88,34.24,47022
47,23,133,93,69.92,40,30.08,47023
47,26,366,225,61.48,141,38.52,47026
47,28,352,268,76.14,84,23.86,47028
47,30,277,200,72.2,77,27.8,47030
47,31,244,175,71.72,69,28.28,47031
47,32,289,214,74.05,75,25.95,47032
47,33,237,149,62.87,88,37.13,47033
47,34,297,212,71.38,85,28.62,47034
47,36,348,219,62.93,129,37.07,47036
47,37,288,217,75.35,71,24.65,47037
47,38,276,186,67.39,90,32.61,47038
47,39,238,165,69.33,73,30.67,47039
47,41,415,320,77.11,95,22.89,47041
47,45,245,128,52.24,117,47.76,47045
48,1,234,147,62.82,87,37.18,48001
48,2,171,118,69.01,53,30.99,48002
48,3,267,175,65.54,92,34.46,48003
48,4,231,141,61.04,90,38.96,48004
48,5,203,152,74.88,51,25.12,48005
48,6,261,160,61.3,101,38.7,48006
48,7,195,129,66.15,66,33.85,48007
48,8,163,109,66.87,54,33.13,48008
48,9,198,110,55.56,88,44.44,48009
48,10,136,95,69.85,41,30.15,48010
48,11,292,204,69.86,88,30.14,48011
48,12,227,121,53.3,106,46.7,48012
48,13,198,126,63.64,72,36.36,48013
48,14,223,121,54.26,102,45.74,48014
48,15,161,103,63.98,58,36.02,48015
48,16,181,119,65.75,62,34.25,48016
48,17,251,159,63.35,92,36.65,48017
48,18,169,118,69.82,51,30.18,48018
48,19,199,129,64.82,70,35.18,48019
48,20,159,115,72.33,44,27.67,48020
48,21,238,152,63.87,86,36.13,48021
48,22,274,177,64.6,97,35.4,48022
48,23,175,104,59.43,71,40.57,48023
48,24,178,112,62.92,66,37.08,48024
48,25,260,181,69.62,79,30.38,48025
48,26,219,138,63.01,81,36.99,48026
48,27,129,78,60.47,51,39.53,48027
48,28,183,96,52.46,87,47.54,48028
