ward,precinct,total,Wayne A. Strnad,Wayne A. Strnad Percent,Luis Arroyo,Luis Arroyo Percent,precinct_id
26,4,108,12,11.11,96,88.89,26004
26,6,78,3,3.85,75,96.15,26006
26,13,134,34,25.37,100,74.63,26013
26,16,113,9,7.96,104,92.04,26016
26,26,84,6,7.14,78,92.86,26026
26,30,122,19,15.57,103,84.43,26030
26,42,100,9,9.0,91,91.0,26042
26,54,115,15,13.04,100,86.96,26054
26,60,126,21,16.67,105,83.33,26060
26,62,154,25,16.23,129,83.77,26062
29,2,180,41,22.78,139,77.22,29002
29,6,107,26,24.3,81,75.7,29006
29,7,156,31,19.87,125,80.13,29007
29,9,138,34,24.64,104,75.36,29009
29,10,117,25,21.37,92,78.63,29010
29,24,173,35,20.23,138,79.77,29024
29,30,135,28,20.74,107,79.26,29030
29,32,174,41,23.56,133,76.44,29032
29,39,189,44,23.28,145,76.72,29039
30,2,142,30,21.13,112,78.87,30002
30,4,158,15,9.49,143,90.51,30004
30,5,98,8,8.16,90,91.84,30005
30,6,116,21,18.1,95,81.9,30006
30,9,57,8,14.04,49,85.96,30009
30,10,162,30,18.52,132,81.48,30010
30,11,120,28,23.33,92,76.67,30011
30,12,158,33,20.89,125,79.11,30012
30,17,124,34,27.42,90,72.58,30017
30,21,182,15,8.24,167,91.76,30021
30,22,154,11,7.14,143,92.86,30022
30,24,169,19,11.24,150,88.76,30024
30,27,220,44,20.0,176,80.0,30027
30,28,126,31,24.6,95,75.4,30028
30,34,161,36,22.36,125,77.64,30034
30,35,159,21,13.21,138,86.79,30035
30,37,139,37,26.62,102,73.38,30037
30,40,166,25,15.06,141,84.94,30040
30,41,192,12,6.25,180,93.75,30041
31,3,137,31,22.63,106,77.37,31003
31,10,63,3,4.76,60,95.24,31010
31,12,130,23,17.69,107,82.31,31012
31,15,70,17,24.29,53,75.71,31015
31,17,123,14,11.38,109,88.62,31017
31,20,117,27,23.08,90,76.92,31020
31,21,155,20,12.9,135,87.1,31021
31,23,66,11,16.67,55,83.33,31023
31,24,110,10,9.09,100,90.91,31024
31,25,148,10,6.76,138,93.24,31025
31,27,123,16,13.01,107,86.99,31027
31,29,125,25,20.0,100,80.0,31029
31,34,117,11,9.4,106,90.6,31034
31,35,105,16,15.24,89,84.76,31035
31,36,157,27,17.2,130,82.8,31036
31,37,124,16,12.9,108,87.1,31037
31,39,67,5,7.46,62,92.54,31039
31,40,81,6,7.41,75,92.59,31040
31,42,185,21,11.35,164,88.65,31042
31,43,144,22,15.28,122,84.72,31043
31,44,118,21,17.8,97,82.2,31044
31,45,128,27,21.09,101,78.91,31045
31,51,98,11,11.22,87,88.78,31051
35,2,183,27,14.75,156,85.25,35002
35,23,136,11,8.09,125,91.91,35023
35,35,209,53,25.36,156,74.64,35035
36,1,186,35,18.82,151,81.18,36001
36,3,331,83,25.08,248,74.92,36003
36,4,163,37,22.7,126,77.3,36004
36,6,18,10,55.56,8,44.44,36006
36,36,180,66,36.67,114,63.33,36036
36,41,111,38,34.23,73,65.77,36041
36,51,214,49,22.9,165,77.1,36051
36,53,73,17,23.29,56,76.71,36053
37,1,159,19,11.95,140,88.05,37001
37,2,56,13,23.21,43,76.79,37002
37,11,88,26,29.55,62,70.45,37011
37,19,189,28,14.81,161,85.19,37019
37,39,215,38,17.67,177,82.33,37039
37,42,143,30,20.98,113,79.02,37042
38,16,184,46,25.0,138,75.0,38016
38,53,22,5,22.73,17,77.27,38053
