ward,precinct,total,Brian Terrence Sexton,Brian Terrence Sexton Percent,Kim R. Kardas,Kim R. Kardas Percent,John J. ''Jack'' Murphy,John J. ''Jack'' Murphy Percent,Michael B. Hyman,Michael B. Hyman Percent,precinct_id
1,1,179,32,17.88,58,32.4,45,25.14,44,24.58,01001
1,2,149,28,18.79,54,36.24,28,18.79,39,26.17,01002
1,3,125,20,16.0,25,20.0,28,22.4,52,41.6,01003
1,4,141,15,10.64,47,33.33,36,25.53,43,30.5,01004
1,5,150,25,16.67,51,34.0,24,16.0,50,33.33,01005
1,6,161,29,18.01,54,33.54,31,19.25,47,29.19,01006
1,7,131,26,19.85,39,29.77,42,32.06,24,18.32,01007
1,8,157,24,15.29,51,32.48,27,17.2,55,35.03,01008
1,9,149,30,20.13,55,36.91,35,23.49,29,19.46,01009
1,10,167,20,11.98,55,32.93,25,14.97,67,40.12,01010
1,11,115,17,14.78,46,40.0,22,19.13,30,26.09,01011
1,12,175,28,16.0,54,30.86,42,24.0,51,29.14,01012
1,13,179,36,20.11,57,31.84,44,24.58,42,23.46,01013
1,14,160,26,16.25,43,26.88,41,25.63,50,31.25,01014
1,15,127,14,11.02,46,36.22,38,29.92,29,22.83,01015
1,16,71,19,26.76,12,16.9,29,40.85,11,15.49,01016
1,17,130,12,9.23,49,37.69,23,17.69,46,35.38,01017
1,18,114,15,13.16,38,33.33,27,23.68,34,29.82,01018
1,19,132,25,18.94,43,32.58,28,21.21,36,27.27,01019
1,20,128,22,17.19,43,33.59,24,18.75,39,30.47,01020
1,21,120,17,14.17,39,32.5,23,19.17,41,34.17,01021
1,22,147,24,16.33,45,30.61,43,29.25,35,23.81,01022
1,23,128,21,16.41,42,32.81,32,25.0,33,25.78,01023
1,24,261,51,19.54,89,34.1,60,22.99,61,23.37,01024
1,25,118,17,14.41,31,26.27,22,18.64,48,40.68,01025
1,26,120,20,16.67,46,38.33,25,20.83,29,24.17,01026
1,27,82,17,20.73,25,30.49,23,28.05,17,20.73,01027
1,28,96,22,22.92,17,17.71,30,31.25,27,28.13,01028
1,29,133,30,22.56,47,35.34,36,27.07,20,15.04,01029
1,30,225,41,18.22,68,30.22,54,24.0,62,27.56,01030
1,31,144,26,18.06,51,35.42,34,23.61,33,22.92,01031
1,32,134,27,20.15,39,29.1,45,33.58,23,17.16,01032
1,33,152,31,20.39,46,30.26,31,20.39,44,28.95,01033
1,34,93,19,20.43,32,34.41,18,19.35,24,25.81,01034
1,35,91,16,17.58,27,29.67,26,28.57,22,24.18,01035
1,36,138,16,11.59,51,36.96,28,20.29,43,31.16,01036
1,37,106,18,16.98,30,28.3,29,27.36,29,27.36,01037
1,38,103,18,17.48,33,32.04,27,26.21,25,24.27,01038
1,39,163,42,25.77,52,31.9,39,23.93,30,18.4,01039
1,40,79,15,18.99,22,27.85,19,24.05,23,29.11,01040
1,41,147,26,17.69,56,38.1,36,24.49,29,19.73,01041
1,42,116,28,24.14,32,27.59,26,22.41,30,25.86,01042
1,43,108,16,14.81,38,35.19,19,17.59,35,32.41,01043
1,44,116,21,18.1,47,40.52,22,18.97,26,22.41,01044
1,45,166,24,14.46,56,33.73,32,19.28,54,32.53,01045
1,46,158,22,13.92,64,40.51,33,20.89,39,24.68,01046
1,47,153,28,18.3,43,28.1,27,17.65,55,35.95,01047
1,48,77,14,18.18,19,24.68,16,20.78,28,36.36,01048
1,49,64,10,15.63,18,28.13,9,14.06,27,42.19,01049
1,50,120,21,17.5,44,36.67,23,19.17,32,26.67,01050
2,1,250,42,16.8,78,31.2,47,18.8,83,33.2,02001
2,2,47,16,34.04,10,21.28,13,27.66,8,17.02,02002
2,3,218,44,20.18,55,25.23,67,30.73,52,23.85,02003
2,4,128,26,20.31,32,25.0,29,22.66,41,32.03,02004
2,5,219,51,23.29,59,26.94,57,26.03,52,23.74,02005
2,6,227,39,17.18,73,32.16,42,18.5,73,32.16,02006
2,7,262,73,27.86,68,25.95,53,20.23,68,25.95,02007
2,8,258,41,15.89,85,32.95,48,18.6,84,32.56,02008
2,9,182,45,24.73,34,18.68,55,30.22,48,26.37,02009
2,10,163,37,22.7,33,20.25,52,31.9,41,25.15,02010
2,11,304,42,13.82,82,26.97,38,12.5,142,46.71,02011
2,12,229,41,17.9,63,27.51,55,24.02,70,30.57,02012
2,13,212,42,19.81,51,24.06,51,24.06,68,32.08,02013
2,14,291,66,22.68,72,24.74,62,21.31,91,31.27,02014
2,15,102,25,24.51,19,18.63,28,27.45,30,29.41,02015
2,16,215,45,20.93,71,33.02,38,17.67,61,28.37,02016
2,17,157,43,27.39,30,19.11,33,21.02,51,32.48,02017
2,18,192,36,18.75,59,30.73,47,24.48,50,26.04,02018
2,19,205,35,17.07,55,26.83,44,21.46,71,34.63,02019
2,20,236,63,26.69,57,24.15,53,22.46,63,26.69,02020
2,21,201,39,19.4,33,16.42,56,27.86,73,36.32,02021
2,22,310,55,17.74,91,29.35,50,16.13,114,36.77,02022
2,23,156,33,21.15,45,28.85,41,26.28,37,23.72,02023
2,24,126,34,26.98,33,26.19,29,23.02,30,23.81,02024
2,25,264,63,23.86,70,26.52,58,21.97,73,27.65,02025
2,26,178,40,22.47,50,28.09,42,23.6,46,25.84,02026
2,27,155,56,36.13,25,16.13,39,25.16,35,22.58,02027
2,28,113,24,21.24,34,30.09,25,22.12,30,26.55,02028
2,29,118,21,17.8,28,23.73,22,18.64,47,39.83,02029
2,30,217,39,17.97,66,30.41,32,14.75,80,36.87,02030
2,31,235,60,25.53,54,22.98,47,20.0,74,31.49,02031
2,32,101,21,20.79,30,29.7,27,26.73,23,22.77,02032
2,33,130,39,30.0,19,14.62,39,30.0,33,25.38,02033
2,34,132,29,21.97,19,14.39,33,25.0,51,38.64,02034
2,35,57,13,22.81,20,35.09,7,12.28,17,29.82,02035
2,36,236,41,17.37,71,30.08,51,21.61,73,30.93,02036
2,37,171,26,15.2,49,28.65,34,19.88,62,36.26,02037
2,38,261,49,18.77,67,25.67,44,16.86,101,38.7,02038
2,39,195,45,23.08,66,33.85,34,17.44,50,25.64,02039
2,40,310,63,20.32,100,32.26,72,23.23,75,24.19,02040
2,41,107,24,22.43,18,16.82,36,33.64,29,27.1,02041
2,42,82,20,24.39,11,13.41,28,34.15,23,28.05,02042
2,43,243,42,17.28,53,21.81,56,23.05,92,37.86,02043
2,44,160,36,22.5,33,20.63,47,29.38,44,27.5,02044
2,45,191,41,21.47,50,26.18,43,22.51,57,29.84,02045
2,46,291,79,27.15,57,19.59,58,19.93,97,33.33,02046
2,47,119,41,34.45,25,21.01,20,16.81,33,27.73,02047
2,48,157,27,17.2,31,19.75,59,37.58,40,25.48,02048
2,49,129,23,17.83,37,28.68,20,15.5,49,37.98,02049
