ward,precinct,total,Esther Golar,Esther Golar Percent,Jerry Washington,Jerry Washington Percent,Darryl Smith,Darryl Smith Percent,precinct_id
3,10,99,53,53.54,11,11.11,35,35.35,03010
3,12,247,150,60.73,35,14.17,62,25.1,03012
3,13,145,110,75.86,16,11.03,19,13.1,03013
3,19,64,48,75.0,8,12.5,8,12.5,03019
3,21,132,79,59.85,23,17.42,30,22.73,03021
3,25,170,86,50.59,25,14.71,59,34.71,03025
3,26,100,61,61.0,10,10.0,29,29.0,03026
3,36,2,1,50.0,0,0.0,1,50.0,03036
3,44,88,50,56.82,10,11.36,28,31.82,03044
3,48,175,85,48.57,25,14.29,65,37.14,03048
3,50,207,139,67.15,28,13.53,40,19.32,03050
11,12,201,162,80.6,16,7.96,23,11.44,11012
11,13,173,145,83.82,20,11.56,8,4.62,11013
11,15,178,147,82.58,15,8.43,16,8.99,11015
11,23,154,124,80.52,12,7.79,18,11.69,11023
11,25,2,2,100.0,0,0.0,0,0.0,11025
11,27,145,104,71.72,21,14.48,20,13.79,11027
11,28,152,116,76.32,12,7.89,24,15.79,11028
11,31,126,95,75.4,15,11.9,16,12.7,11031
11,32,156,135,86.54,7,4.49,14,8.97,11032
11,33,120,93,77.5,19,15.83,8,6.67,11033
11,34,111,80,72.07,18,16.22,13,11.71,11034
11,35,286,244,85.31,20,6.99,22,7.69,11035
11,36,5,3,60.0,2,40.0,0,0.0,11036
11,37,224,167,74.55,40,17.86,17,7.59,11037
11,39,254,193,75.98,38,14.96,23,9.06,11039
11,42,152,98,64.47,33,21.71,21,13.82,11042
11,43,179,122,68.16,34,18.99,23,12.85,11043
11,46,132,114,86.36,10,7.58,8,6.06,11046
11,48,70,52,74.29,7,10.0,11,15.71,11048
11,49,174,138,79.31,16,9.2,20,11.49,11049
12,9,1,1,100.0,0,0.0,0,0.0,12009
12,16,17,10,58.82,5,29.41,2,11.76,12016
15,2,152,83,54.61,29,19.08,40,26.32,15002
15,3,167,93,55.69,28,16.77,46,27.54,15003
15,4,160,76,47.5,27,16.88,57,35.63,15004
15,5,155,71,45.81,28,18.06,56,36.13,15005
15,17,195,109,55.9,25,12.82,61,31.28,15017
15,18,128,73,57.03,23,17.97,32,25.0,15018
15,19,165,91,55.15,26,15.76,48,29.09,15019
15,20,155,88,56.77,14,9.03,53,34.19,15020
15,22,247,143,57.89,46,18.62,58,23.48,15022
15,23,161,94,58.39,21,13.04,46,28.57,15023
15,24,179,105,58.66,29,16.2,45,25.14,15024
15,26,178,86,48.31,33,18.54,59,33.15,15026
15,29,93,48,51.61,18,19.35,27,29.03,15029
15,30,189,87,46.03,40,21.16,62,32.8,15030
15,31,151,65,43.05,29,19.21,57,37.75,15031
15,33,125,67,53.6,19,15.2,39,31.2,15033
15,35,185,93,50.27,33,17.84,59,31.89,15035
15,36,155,88,56.77,28,18.06,39,25.16,15036
15,37,138,68,49.28,26,18.84,44,31.88,15037
15,38,164,80,48.78,34,20.73,50,30.49,15038
15,39,206,92,44.66,37,17.96,77,37.38,15039
15,40,173,81,46.82,45,26.01,47,27.17,15040
15,43,148,94,63.51,17,11.49,37,25.0,15043
15,48,136,65,47.79,25,18.38,46,33.82,15048
15,49,41,26,63.41,11,26.83,4,9.76,15049
15,50,167,90,53.89,25,14.97,52,31.14,15050
15,52,88,41,46.59,15,17.05,32,36.36,15052
16,1,142,74,52.11,24,16.9,44,30.99,16001
16,2,150,78,52.0,11,7.33,61,40.67,16002
16,3,154,79,51.3,16,10.39,59,38.31,16003
16,4,90,54,60.0,18,20.0,18,20.0,16004
16,5,180,72,40.0,34,18.89,74,41.11,16005
16,6,82,44,53.66,16,19.51,22,26.83,16006
16,7,181,94,51.93,32,17.68,55,30.39,16007
16,8,202,121,59.9,19,9.41,62,30.69,16008
16,9,250,121,48.4,37,14.8,92,36.8,16009
16,10,306,175,57.19,18,5.88,113,36.93,16010
16,12,143,88,61.54,26,18.18,29,20.28,16012
16,14,190,83,43.68,52,27.37,55,28.95,16014
16,15,216,113,52.31,31,14.35,72,33.33,16015
16,16,185,104,56.22,21,11.35,60,32.43,16016
16,18,204,106,51.96,37,18.14,61,29.9,16018
16,19,239,119,49.79,28,11.72,92,38.49,16019
16,20,158,83,52.53,24,15.19,51,32.28,16020
16,22,146,79,54.11,26,17.81,41,28.08,16022
16,24,61,24,39.34,12,19.67,25,40.98,16024
16,25,147,71,48.3,21,14.29,55,37.41,16025
16,26,171,91,53.22,26,15.2,54,31.58,16026
16,27,215,105,48.84,19,8.84,91,42.33,16027
16,28,206,89,43.2,32,15.53,85,41.26,16028
16,29,149,86,57.72,22,14.77,41,27.52,16029
16,30,179,101,56.42,16,8.94,62,34.64,16030
16,31,216,122,56.48,25,11.57,69,31.94,16031
16,33,158,94,59.49,20,12.66,44,27.85,16033
16,34,172,56,32.56,24,13.95,92,53.49,16034
16,36,182,84,46.15,27,14.84,71,39.01,16036
16,37,121,49,40.5,20,16.53,52,42.98,16037
16,38,126,51,40.48,24,19.05,51,40.48,16038
16,40,225,98,43.56,26,11.56,101,44.89,16040
16,42,2,0,0.0,1,50.0,1,50.0,16042
16,43,221,66,29.86,37,16.74,118,53.39,16043
16,44,175,80,45.71,40,22.86,55,31.43,16044
17,13,5,4,80.0,1,20.0,0,0.0,17013
17,14,28,14,50.0,7,25.0,7,25.0,17014
20,8,60,49,81.67,9,15.0,2,3.33,20008
20,12,11,7,63.64,2,18.18,2,18.18,20012
20,13,152,74,48.68,31,20.39,47,30.92,20013
20,15,185,142,76.76,24,12.97,19,10.27,20015
20,19,168,91,54.17,21,12.5,56,33.33,20019
20,20,133,70,52.63,20,15.04,43,32.33,20020
20,25,30,9,30.0,9,30.0,12,40.0,20025
20,39,179,75,41.9,38,21.23,66,36.87,20039
20,40,166,114,68.67,22,13.25,30,18.07,20040
20,41,75,46,61.33,20,26.67,9,12.0,20041
20,43,43,24,55.81,8,18.6,11,25.58,20043
20,44,239,184,76.99,16,6.69,39,16.32,20044
20,45,140,80,57.14,17,12.14,43,30.71,20045
20,48,91,49,53.85,19,20.88,23,25.27,20048
20,50,122,60,49.18,27,22.13,35,28.69,20050
