ward,precinct,total,Robert ''Bob'' Rita,Robert ''Bob'' Rita Percent,Michael E. Mayden,Michael E. Mayden Percent,Earick D. Rayburn,Earick D. Rayburn Percent,Pamela ''Little Pam'' Caston,Pamela ''Little Pam'' Caston Percent,James J. Taylor,James J. Taylor Percent,precinct_id
9,1,316,136,43.04,10,3.16,131,41.46,18,5.7,21,6.65,09001
9,2,296,179,60.47,17,5.74,56,18.92,14,4.73,30,10.14,09002
9,5,290,146,50.34,15,5.17,76,26.21,20,6.9,33,11.38,09005
9,9,316,118,37.34,15,4.75,131,41.46,28,8.86,24,7.59,09009
9,12,277,126,45.49,17,6.14,86,31.05,21,7.58,27,9.75,09012
9,13,287,119,41.46,12,4.18,104,36.24,20,6.97,32,11.15,09013
9,14,394,145,36.8,19,4.82,165,41.88,18,4.57,47,11.93,09014
9,17,269,143,53.16,17,6.32,61,22.68,21,7.81,27,10.04,09017
9,18,225,53,23.56,19,8.44,64,28.44,31,13.78,58,25.78,09018
9,22,330,128,38.79,11,3.33,117,35.45,43,13.03,31,9.39,09022
9,23,221,77,34.84,12,5.43,99,44.8,20,9.05,13,5.88,09023
9,29,221,106,47.96,12,5.43,60,27.15,16,7.24,27,12.22,09029
9,31,250,109,43.6,15,6.0,98,39.2,12,4.8,16,6.4,09031
9,32,288,125,43.4,12,4.17,96,33.33,19,6.6,36,12.5,09032
9,34,217,72,33.18,13,5.99,79,36.41,21,9.68,32,14.75,09034
9,35,341,121,35.48,15,4.4,153,44.87,22,6.45,30,8.8,09035
9,38,277,143,51.62,15,5.42,64,23.1,26,9.39,29,10.47,09038
9,40,306,152,49.67,15,4.9,89,29.08,19,6.21,31,10.13,09040
9,43,161,59,36.65,10,6.21,59,36.65,8,4.97,25,15.53,09043
9,46,232,105,45.26,16,6.9,72,31.03,14,6.03,25,10.78,09046
9,48,303,126,41.58,15,4.95,119,39.27,17,5.61,26,8.58,09048
9,51,146,57,39.04,11,7.53,46,31.51,13,8.9,19,13.01,09051
9,52,310,138,44.52,12,3.87,103,33.23,19,6.13,38,12.26,09052
34,2,280,170,60.71,9,3.21,43,15.36,20,7.14,38,13.57,34002
34,3,297,142,47.81,22,7.41,49,16.5,26,8.75,58,19.53,34003
34,4,350,216,61.71,20,5.71,43,12.29,30,8.57,41,11.71,34004
34,5,281,152,54.09,21,7.47,40,14.23,28,9.96,40,14.23,34005
34,9,227,109,48.02,19,8.37,42,18.5,13,5.73,44,19.38,34009
34,10,298,147,49.33,18,6.04,69,23.15,31,10.4,33,11.07,34010
34,11,221,121,54.75,15,6.79,32,14.48,18,8.14,35,15.84,34011
34,14,251,153,60.96,24,9.56,24,9.56,18,7.17,32,12.75,34014
34,15,243,151,62.14,32,13.17,32,13.17,11,4.53,17,7.0,34015
34,16,221,114,51.58,25,11.31,29,13.12,25,11.31,28,12.67,34016
34,17,243,124,51.03,23,9.47,50,20.58,17,7.0,29,11.93,34017
34,18,203,123,60.59,6,2.96,31,15.27,13,6.4,30,14.78,34018
34,20,432,240,55.56,16,3.7,108,25.0,33,7.64,35,8.1,34020
34,22,337,173,51.34,16,4.75,91,27.0,22,6.53,35,10.39,34022
34,23,260,152,58.46,14,5.38,41,15.77,19,7.31,34,13.08,34023
34,24,289,150,51.9,19,6.57,79,27.34,13,4.5,28,9.69,34024
34,26,181,110,60.77,9,4.97,23,12.71,17,9.39,22,12.15,34026
34,27,244,151,61.89,14,5.74,43,17.62,13,5.33,23,9.43,34027
34,28,172,122,70.93,10,5.81,15,8.72,9,5.23,16,9.3,34028
34,30,327,160,48.93,17,5.2,98,29.97,15,4.59,37,11.31,34030
34,31,162,109,67.28,7,4.32,17,10.49,10,6.17,19,11.73,34031
34,36,314,167,53.18,26,8.28,54,17.2,16,5.1,51,16.24,34036
34,37,296,211,71.28,11,3.72,32,10.81,16,5.41,26,8.78,34037
34,38,239,159,66.53,17,7.11,18,7.53,20,8.37,25,10.46,34038
34,39,243,154,63.37,17,7.0,34,13.99,16,6.58,22,9.05,34039
34,40,330,163,49.39,31,9.39,68,20.61,26,7.88,42,12.73,34040
34,41,176,97,55.11,9,5.11,31,17.61,8,4.55,31,17.61,34041
34,42,372,206,55.38,25,6.72,76,20.43,19,5.11,46,12.37,34042
34,43,401,222,55.36,16,3.99,100,24.94,22,5.49,41,10.22,34043
34,50,276,177,64.13,13,4.71,33,11.96,25,9.06,28,10.14,34050
34,52,214,148,69.16,15,7.01,18,8.41,10,4.67,23,10.75,34052
34,53,221,134,60.63,8,3.62,37,16.74,23,10.41,19,8.6,34053
34,54,239,163,68.2,12,5.02,28,11.72,11,4.6,25,10.46,34054
34,59,329,177,53.8,31,9.42,69,20.97,20,6.08,32,9.73,34059
34,60,291,174,59.79,22,7.56,41,14.09,25,8.59,29,9.97,34060
