ward,precinct,total,Diana L. Kenworthy,Diana L. Kenworthy Percent,John G. Mulroe,John G. Mulroe Percent,Rosaire Marie Hall,Rosaire Marie Hall Percent,precinct_id
1,42,9,4,44.44,1,11.11,4,44.44,01042
30,1,136,50,36.76,48,35.29,38,27.94,30001
30,3,182,81,44.51,53,29.12,48,26.37,30003
30,15,138,57,41.3,53,38.41,28,20.29,30015
32,9,118,53,44.92,36,30.51,29,24.58,32009
32,15,90,50,55.56,20,22.22,20,22.22,32015
32,19,80,34,42.5,26,32.5,20,25.0,32019
32,21,142,68,47.89,44,30.99,30,21.13,32021
32,22,203,97,47.78,71,34.98,35,17.24,32022
32,25,133,66,49.62,30,22.56,37,27.82,32025
33,5,198,87,43.94,59,29.8,52,26.26,33005
33,9,206,98,47.57,49,23.79,59,28.64,33009
33,14,186,97,52.15,35,18.82,54,29.03,33014
33,18,76,38,50.0,15,19.74,23,30.26,33018
35,22,70,32,45.71,16,22.86,22,31.43,35022
35,33,73,31,42.47,25,34.25,17,23.29,35033
38,1,184,70,38.04,61,33.15,53,28.8,38001
38,4,79,26,32.91,31,39.24,22,27.85,38004
38,5,264,107,40.53,90,34.09,67,25.38,38005
38,7,177,58,32.77,73,41.24,46,25.99,38007
38,10,49,16,32.65,22,44.9,11,22.45,38010
38,41,225,93,41.33,83,36.89,49,21.78,38041
38,42,188,77,40.96,73,38.83,38,20.21,38042
39,1,177,35,19.77,69,38.98,73,41.24,39001
39,2,219,87,39.73,66,30.14,66,30.14,39002
39,3,171,37,21.64,96,56.14,38,22.22,39003
39,4,134,34,25.37,35,26.12,65,48.51,39004
39,5,130,45,34.62,45,34.62,40,30.77,39005
39,6,139,52,37.41,45,32.37,42,30.22,39006
39,7,123,52,42.28,45,36.59,26,21.14,39007
39,8,192,73,38.02,80,41.67,39,20.31,39008
39,9,196,99,50.51,56,28.57,41,20.92,39009
39,10,149,91,61.07,22,14.77,36,24.16,39010
39,11,205,96,46.83,63,30.73,46,22.44,39011
39,12,155,80,51.61,36,23.23,39,25.16,39012
39,13,107,54,50.47,29,27.1,24,22.43,39013
39,14,149,77,51.68,35,23.49,37,24.83,39014
39,15,139,38,27.34,73,52.52,28,20.14,39015
39,16,114,50,43.86,31,27.19,33,28.95,39016
39,17,137,67,48.91,37,27.01,33,24.09,39017
39,18,151,70,46.36,49,32.45,32,21.19,39018
39,19,132,56,42.42,41,31.06,35,26.52,39019
39,20,144,33,22.92,61,42.36,50,34.72,39020
39,21,129,75,58.14,26,20.16,28,21.71,39021
39,22,151,88,58.28,33,21.85,30,19.87,39022
39,23,112,47,41.96,39,34.82,26,23.21,39023
39,24,178,98,55.06,29,16.29,51,28.65,39024
39,25,155,57,36.77,53,34.19,45,29.03,39025
39,26,172,41,23.84,69,40.12,62,36.05,39026
39,27,182,81,44.51,60,32.97,41,22.53,39027
39,28,191,75,39.27,58,30.37,58,30.37,39028
39,29,176,78,44.32,55,31.25,43,24.43,39029
39,30,104,47,45.19,25,24.04,32,30.77,39030
39,31,112,53,47.32,27,24.11,32,28.57,39031
39,33,171,86,50.29,43,25.15,42,24.56,39033
39,34,186,88,47.31,59,31.72,39,20.97,39034
39,35,181,82,45.3,63,34.81,36,19.89,39035
39,36,176,103,58.52,44,25.0,29,16.48,39036
39,37,258,47,18.22,121,46.9,90,34.88,39037
39,38,168,55,32.74,49,29.17,64,38.1,39038
39,39,79,41,51.9,24,30.38,14,17.72,39039
