ward,precinct,total,Deborah L. Mell,Deborah L. Mell Percent,precinct_id
1,7,9,9,100.0,01007
1,16,62,62,100.0,01016
1,19,121,121,100.0,01019
1,28,46,46,100.0,01028
1,41,143,143,100.0,01041
1,42,122,122,100.0,01042
30,1,124,124,100.0,30001
30,3,167,167,100.0,30003
30,7,108,108,100.0,30007
30,8,143,143,100.0,30008
30,13,116,116,100.0,30013
30,14,46,46,100.0,30014
30,15,125,125,100.0,30015
30,16,131,131,100.0,30016
30,30,151,151,100.0,30030
30,38,179,179,100.0,30038
30,39,127,127,100.0,30039
31,8,98,98,100.0,31008
31,26,63,63,100.0,31026
33,1,251,251,100.0,33001
33,2,280,280,100.0,33002
33,3,235,235,100.0,33003
33,4,265,265,100.0,33004
33,5,195,195,100.0,33005
33,6,262,262,100.0,33006
33,9,214,214,100.0,33009
33,11,243,243,100.0,33011
33,12,259,259,100.0,33012
33,13,272,272,100.0,33013
33,14,191,191,100.0,33014
33,15,210,210,100.0,33015
33,16,233,233,100.0,33016
33,17,282,282,100.0,33017
33,18,75,75,100.0,33018
33,19,244,244,100.0,33019
33,20,236,236,100.0,33020
33,21,228,228,100.0,33021
33,22,314,314,100.0,33022
33,23,228,228,100.0,33023
33,25,308,308,100.0,33025
33,26,221,221,100.0,33026
33,27,187,187,100.0,33027
35,1,6,6,100.0,35001
35,4,188,188,100.0,35004
35,22,62,62,100.0,35022
35,24,33,33,100.0,35024
35,26,233,233,100.0,35026
35,33,123,123,100.0,35033
38,10,25,25,100.0,38010
38,24,107,107,100.0,38024
38,34,96,96,100.0,38034
39,12,17,17,100.0,39012
39,13,90,90,100.0,39013
39,22,149,149,100.0,39022
39,23,102,102,100.0,39023
39,24,164,164,100.0,39024
39,27,179,179,100.0,39027
39,28,181,181,100.0,39028
39,29,161,161,100.0,39029
39,30,95,95,100.0,39030
39,31,86,86,100.0,39031
39,44,203,203,100.0,39044
39,46,142,142,100.0,39046
