ward,precinct,total,Enoch Clarke-Bey (Clinton),Enoch Clarke-Bey (Clinton) Percent,Alice J. Palmer (Clinton),Alice J. Palmer (Clinton) Percent,Dante Sawyer (Clinton),Dante Sawyer (Clinton) Percent,Mercedes Mallette (Clinton),Mercedes Mallette (Clinton) Percent,"William Payton, Sr. (Clinton)","William Payton, Sr. (Clinton) Percent",Lupe M. Perez (Clinton),Lupe M. Perez (Clinton) Percent,Bernard McCann (Clinton),Bernard McCann (Clinton) Percent,Malissa Rainey (Clinton),Malissa Rainey (Clinton) Percent,Carrie Austin (Obama),Carrie Austin (Obama) Percent,Anthony A. Beale (Obama),Anthony A. Beale (Obama) Percent,Michael Eaddy (Obama),Michael Eaddy (Obama) Percent,Leslie A. Hairston (Obama),Leslie A. Hairston (Obama) Percent,Cheryle Jackson (Obama),Cheryle Jackson (Obama) Percent,Sandi Jackson (Obama),Sandi Jackson (Obama) Percent,James T. Meeks (Obama),James T. Meeks (Obama) Percent,"Willie ''Bill'' Williams, Jr. (Obama)","Willie ''Bill'' Williams, Jr. (Obama) Percent",Adam Avrushin (Richardson),Adam Avrushin (Richardson) Percent,Joan Donahue (Richardson),Joan Donahue (Richardson) Percent,precinct_id
8,57,1870,16,0.86,22,1.18,21,1.12,20,1.07,14,0.75,13,0.7,9,0.48,12,0.64,201,10.75,217,11.6,208,11.12,226,12.09,217,11.6,231,12.35,218,11.66,206,11.02,10,0.53,9,0.48,08057
8,60,1689,14,0.83,17,1.01,13,0.77,11,0.65,15,0.89,17,1.01,10,0.59,11,0.65,179,10.6,195,11.55,194,11.49,197,11.66,199,11.78,207,12.26,204,12.08,189,11.19,10,0.59,7,0.41,08060
8,62,1833,18,0.98,17,0.93,17,0.93,12,0.65,22,1.2,11,0.6,13,0.71,17,0.93,200,10.91,213,11.62,203,11.07,212,11.57,213,11.62,223,12.17,217,11.84,206,11.24,10,0.55,9,0.49,08062
8,63,2083,11,0.53,23,1.1,14,0.67,12,0.58,20,0.96,15,0.72,15,0.72,13,0.62,225,10.8,246,11.81,243,11.67,243,11.67,242,11.62,255,12.24,249,11.95,232,11.14,11,0.53,14,0.67,08063
8,65,1255,9,0.72,8,0.64,9,0.72,4,0.32,8,0.64,7,0.56,6,0.48,6,0.48,145,11.55,146,11.63,146,11.63,152,12.11,146,11.63,156,12.43,151,12.03,145,11.55,6,0.48,5,0.4,08065
8,66,2922,11,0.38,16,0.55,17,0.58,12,0.41,18,0.62,15,0.51,8,0.27,14,0.48,322,11.02,353,12.08,346,11.84,347,11.88,351,12.01,361,12.35,367,12.56,333,11.4,19,0.65,12,0.41,08066
8,70,2629,17,0.65,25,0.95,19,0.72,19,0.72,22,0.84,19,0.72,13,0.49,14,0.53,275,10.46,304,11.56,310,11.79,318,12.1,311,11.83,321,12.21,313,11.91,296,11.26,18,0.68,15,0.57,08070
9,1,2423,14,0.58,20,0.83,17,0.7,13,0.54,21,0.87,14,0.58,11,0.45,18,0.74,268,11.06,294,12.13,277,11.43,280,11.56,285,11.76,288,11.89,292,12.05,280,11.56,18,0.74,13,0.54,09001
9,2,2097,18,0.86,23,1.1,21,1.0,13,0.62,22,1.05,15,0.72,14,0.67,15,0.72,227,10.82,275,13.11,234,11.16,233,11.11,241,11.49,241,11.49,250,11.92,228,10.87,16,0.76,11,0.52,09002
9,3,949,4,0.42,6,0.63,7,0.74,2,0.21,7,0.74,5,0.53,3,0.32,5,0.53,110,11.59,122,12.86,107,11.28,109,11.49,108,11.38,111,11.7,123,12.96,111,11.7,4,0.42,5,0.53,09003
9,4,1885,14,0.74,22,1.17,14,0.74,11,0.58,12,0.64,12,0.64,8,0.42,16,0.85,211,11.19,233,12.36,213,11.3,211,11.19,217,11.51,221,11.72,238,12.63,210,11.14,11,0.58,11,0.58,09004
9,5,2254,17,0.75,23,1.02,13,0.58,11,0.49,26,1.15,9,0.4,16,0.71,13,0.58,255,11.31,285,12.64,255,11.31,255,11.31,261,11.58,268,11.89,273,12.11,249,11.05,16,0.71,9,0.4,09005
9,6,2311,18,0.78,18,0.78,17,0.74,13,0.56,19,0.82,18,0.78,15,0.65,16,0.69,264,11.42,282,12.2,261,11.29,265,11.47,264,11.42,267,11.55,288,12.46,261,11.29,11,0.48,14,0.61,09006
9,7,1828,11,0.6,22,1.2,16,0.88,16,0.88,22,1.2,19,1.04,15,0.82,14,0.77,196,10.72,219,11.98,203,11.11,202,11.05,202,11.05,211,11.54,220,12.04,201,11.0,19,1.04,20,1.09,09007
9,8,2021,17,0.84,24,1.19,16,0.79,14,0.69,18,0.89,20,0.99,15,0.74,13,0.64,226,11.18,248,12.27,224,11.08,222,10.98,234,11.58,238,11.78,246,12.17,225,11.13,12,0.59,9,0.45,09008
9,9,2322,17,0.73,25,1.08,17,0.73,16,0.69,21,0.9,11,0.47,13,0.56,14,0.6,254,10.94,278,11.97,267,11.5,269,11.58,273,11.76,269,11.58,291,12.53,261,11.24,13,0.56,13,0.56,09009
9,10,1913,12,0.63,21,1.1,19,0.99,14,0.73,19,0.99,15,0.78,10,0.52,18,0.94,217,11.34,237,12.39,206,10.77,215,11.24,220,11.5,219,11.45,236,12.34,212,11.08,12,0.63,11,0.58,09010
9,11,1442,15,1.04,13,0.9,16,1.11,15,1.04,19,1.32,19,1.32,15,1.04,15,1.04,150,10.4,182,12.62,155,10.75,156,10.82,159,11.03,164,11.37,173,12.0,158,10.96,11,0.76,7,0.49,09011
9,12,1876,14,0.75,20,1.07,18,0.96,11,0.59,16,0.85,12,0.64,11,0.59,15,0.8,197,10.5,231,12.31,213,11.35,212,11.3,216,11.51,226,12.05,238,12.69,203,10.82,12,0.64,11,0.59,09012
9,13,2162,17,0.79,22,1.02,25,1.16,15,0.69,21,0.97,13,0.6,13,0.6,16,0.74,231,10.68,261,12.07,243,11.24,242,11.19,253,11.7,254,11.75,261,12.07,243,11.24,14,0.65,18,0.83,09013
9,14,2940,23,0.78,35,1.19,25,0.85,20,0.68,25,0.85,21,0.71,17,0.58,20,0.68,335,11.39,351,11.94,332,11.29,328,11.16,349,11.87,346,11.77,352,11.97,327,11.12,16,0.54,18,0.61,09014
9,15,1966,22,1.12,22,1.12,22,1.12,17,0.86,24,1.22,19,0.97,21,1.07,20,1.02,212,10.78,247,12.56,212,10.78,217,11.04,226,11.5,224,11.39,239,12.16,209,10.63,8,0.41,5,0.25,09015
9,16,1613,16,0.99,26,1.61,19,1.18,14,0.87,19,1.18,15,0.93,13,0.81,14,0.87,175,10.85,195,12.09,170,10.54,178,11.04,179,11.1,189,11.72,195,12.09,176,10.91,12,0.74,8,0.5,09016
9,17,1854,9,0.49,15,0.81,12,0.65,6,0.32,13,0.7,10,0.54,7,0.38,16,0.86,205,11.06,243,13.11,207,11.17,208,11.22,217,11.7,218,11.76,239,12.89,213,11.49,3,0.16,13,0.7,09017
