ward,precinct,total,Enoch Clarke-Bey (Clinton),Enoch Clarke-Bey (Clinton) Percent,Alice J. Palmer (Clinton),Alice J. Palmer (Clinton) Percent,Dante Sawyer (Clinton),Dante Sawyer (Clinton) Percent,Mercedes Mallette (Clinton),Mercedes Mallette (Clinton) Percent,"William Payton, Sr. (Clinton)","William Payton, Sr. (Clinton) Percent",Lupe M. Perez (Clinton),Lupe M. Perez (Clinton) Percent,Bernard McCann (Clinton),Bernard McCann (Clinton) Percent,Malissa Rainey (Clinton),Malissa Rainey (Clinton) Percent,Carrie Austin (Obama),Carrie Austin (Obama) Percent,Anthony A. Beale (Obama),Anthony A. Beale (Obama) Percent,Michael Eaddy (Obama),Michael Eaddy (Obama) Percent,Leslie A. Hairston (Obama),Leslie A. Hairston (Obama) Percent,Cheryle Jackson (Obama),Cheryle Jackson (Obama) Percent,Sandi Jackson (Obama),Sandi Jackson (Obama) Percent,James T. Meeks (Obama),James T. Meeks (Obama) Percent,"Willie ''Bill'' Williams, Jr. (Obama)","Willie ''Bill'' Williams, Jr. (Obama) Percent",Adam Avrushin (Richardson),Adam Avrushin (Richardson) Percent,Joan Donahue (Richardson),Joan Donahue (Richardson) Percent,precinct_id
10,17,994,66,6.64,73,7.34,71,7.14,68,6.84,72,7.24,77,7.75,67,6.74,69,6.94,55,5.53,51,5.13,53,5.33,53,5.33,51,5.13,48,4.83,50,5.03,51,5.13,9,0.91,10,1.01,10017
10,18,1188,49,4.12,58,4.88,54,4.55,55,4.63,49,4.12,76,6.4,50,4.21,59,4.97,92,7.74,87,7.32,82,6.9,93,7.83,88,7.41,105,8.84,88,7.41,83,6.99,9,0.76,11,0.93,10018
10,19,1384,92,6.65,106,7.66,101,7.3,97,7.01,99,7.15,116,8.38,94,6.79,98,7.08,80,5.78,73,5.27,69,4.99,69,4.99,67,4.84,70,5.06,64,4.62,63,4.55,13,0.94,13,0.94,10019
10,20,1161,95,8.18,99,8.53,93,8.01,98,8.44,96,8.27,119,10.25,95,8.18,92,7.92,44,3.79,49,4.22,47,4.05,45,3.88,46,3.96,50,4.31,35,3.01,40,3.45,9,0.78,9,0.78,10020
10,21,943,57,6.04,68,7.21,62,6.57,63,6.68,61,6.47,73,7.74,59,6.26,60,6.36,54,5.73,52,5.51,50,5.3,54,5.73,48,5.09,54,5.73,53,5.62,48,5.09,13,1.38,14,1.48,10021
10,22,1218,36,2.96,40,3.28,32,2.63,37,3.04,34,2.79,48,3.94,31,2.55,40,3.28,102,8.37,115,9.44,107,8.78,110,9.03,118,9.69,120,9.85,116,9.52,106,8.7,11,0.9,15,1.23,10022
10,23,1218,79,6.49,85,6.98,82,6.73,88,7.22,81,6.65,96,7.88,82,6.73,86,7.06,61,5.01,73,5.99,70,5.75,65,5.34,65,5.34,69,5.67,63,5.17,61,5.01,6,0.49,6,0.49,10023
10,24,1099,86,7.83,98,8.92,90,8.19,86,7.83,88,8.01,96,8.74,91,8.28,90,8.19,46,4.19,40,3.64,44,4.0,47,4.28,38,3.46,49,4.46,45,4.09,38,3.46,15,1.36,12,1.09,10024
10,25,1653,65,3.93,78,4.72,69,4.17,69,4.17,65,3.93,93,5.63,64,3.87,69,4.17,126,7.62,136,8.23,126,7.62,127,7.68,136,8.23,149,9.01,134,8.11,128,7.74,8,0.48,11,0.67,10025
10,26,974,75,7.7,83,8.52,78,8.01,81,8.32,72,7.39,96,9.86,76,7.8,72,7.39,43,4.41,41,4.21,39,4.0,42,4.31,41,4.21,45,4.62,38,3.9,38,3.9,4,0.41,10,1.03,10026
10,27,1544,102,6.61,112,7.25,106,6.87,106,6.87,109,7.06,126,8.16,105,6.8,107,6.93,79,5.12,84,5.44,78,5.05,80,5.18,85,5.51,83,5.38,79,5.12,78,5.05,12,0.78,13,0.84,10027
10,28,1051,14,1.33,18,1.71,19,1.81,16,1.52,18,1.71,17,1.62,14,1.33,16,1.52,103,9.8,111,10.56,110,10.47,110,10.47,115,10.94,120,11.42,122,11.61,112,10.66,8,0.76,8,0.76,10028
10,29,1458,15,1.03,12,0.82,11,0.75,6,0.41,11,0.75,9,0.62,7,0.48,13,0.89,151,10.36,170,11.66,162,11.11,167,11.45,172,11.8,185,12.69,179,12.28,165,11.32,14,0.96,9,0.62,10029
10,30,1484,100,6.74,110,7.41,104,7.01,109,7.35,102,6.87,134,9.03,103,6.94,105,7.08,80,5.39,73,4.92,74,4.99,76,5.12,75,5.05,79,5.32,70,4.72,69,4.65,8,0.54,13,0.88,10030
10,31,1029,62,6.03,62,6.03,57,5.54,58,5.64,61,5.93,94,9.14,60,5.83,60,5.83,64,6.22,59,5.73,63,6.12,62,6.03,61,5.93,66,6.41,57,5.54,54,5.25,11,1.07,18,1.75,10031
10,32,1374,92,6.7,99,7.21,94,6.84,93,6.77,92,6.7,117,8.52,92,6.7,96,6.99,73,5.31,79,5.75,68,4.95,74,5.39,75,5.46,76,5.53,71,5.17,62,4.51,10,0.73,11,0.8,10032
10,33,1107,75,6.78,90,8.13,81,7.32,88,7.95,80,7.23,107,9.67,79,7.14,87,7.86,50,4.52,56,5.06,49,4.43,47,4.25,51,4.61,48,4.34,51,4.61,53,4.79,6,0.54,9,0.81,10033
10,34,1378,116,8.42,115,8.35,105,7.62,108,7.84,99,7.18,137,9.94,98,7.11,104,7.55,64,4.64,62,4.5,58,4.21,63,4.57,57,4.14,66,4.79,58,4.21,56,4.06,3,0.22,9,0.65,10034
10,35,1201,87,7.24,86,7.16,83,6.91,89,7.41,81,6.74,106,8.83,82,6.83,87,7.24,61,5.08,64,5.33,59,4.91,63,5.25,68,5.66,57,4.75,57,4.75,58,4.83,6,0.5,7,0.58,10035
10,36,1612,80,4.96,94,5.83,80,4.96,90,5.58,82,5.09,108,6.7,75,4.65,85,5.27,105,6.51,113,7.01,109,6.76,112,6.95,112,6.95,117,7.26,122,7.57,105,6.51,12,0.74,11,0.68,10036
10,37,1186,39,3.29,48,4.05,49,4.13,42,3.54,48,4.05,53,4.47,42,3.54,44,3.71,99,8.35,103,8.68,95,8.01,98,8.26,105,8.85,105,8.85,103,8.68,99,8.35,5,0.42,9,0.76,10037
10,38,1466,116,7.91,127,8.66,116,7.91,123,8.39,117,7.98,150,10.23,120,8.19,117,7.98,58,3.96,61,4.16,55,3.75,61,4.16,59,4.02,60,4.09,50,3.41,50,3.41,12,0.82,14,0.95,10038
10,39,1333,97,7.28,110,8.25,101,7.58,105,7.88,100,7.5,127,9.53,93,6.98,103,7.73,66,4.95,63,4.73,58,4.35,60,4.5,63,4.73,61,4.58,48,3.6,53,3.98,13,0.98,12,0.9,10039
10,40,1003,62,6.18,74,7.38,64,6.38,65,6.48,61,6.08,82,8.18,59,5.88,67,6.68,56,5.58,58,5.78,56,5.58,59,5.88,55,5.48,61,6.08,58,5.78,53,5.28,10,1.0,3,0.3,10040
10,41,1502,113,7.52,127,8.46,118,7.86,120,7.99,118,7.86,138,9.19,118,7.86,121,8.06,60,3.99,63,4.19,63,4.19,61,4.06,62,4.13,67,4.46,61,4.06,61,4.06,13,0.87,18,1.2,10041
10,42,1272,96,7.55,100,7.86,96,7.55,100,7.86,101,7.94,112,8.81,101,7.94,101,7.94,59,4.64,56,4.4,58,4.56,60,4.72,56,4.4,57,4.48,48,3.77,49,3.85,9,0.71,13,1.02,10042
10,43,641,28,4.37,31,4.84,25,3.9,27,4.21,23,3.59,35,5.46,24,3.74,30,4.68,47,7.33,54,8.42,46,7.18,48,7.49,50,7.8,59,9.2,56,8.74,50,7.8,6,0.94,2,0.31,10043
10,44,1361,87,6.39,98,7.2,87,6.39,95,6.98,90,6.61,127,9.33,91,6.69,94,6.91,69,5.07,67,4.92,70,5.14,75,5.51,74,5.44,71,5.22,69,5.07,70,5.14,10,0.73,17,1.25,10044
10,45,750,55,7.33,59,7.87,54,7.2,56,7.47,52,6.93,78,10.4,54,7.2,57,7.6,39,5.2,36,4.8,34,4.53,33,4.4,32,4.27,37,4.93,33,4.4,29,3.87,5,0.67,7,0.93,10045
10,46,1322,108,8.17,120,9.08,111,8.4,111,8.4,107,8.09,131,9.91,105,7.94,113,8.55,55,4.16,47,3.56,51,3.86,50,3.78,48,3.63,55,4.16,50,3.78,49,3.71,3,0.23,8,0.61,10046
10,47,1069,75,7.02,84,7.86,75,7.02,76,7.11,75,7.02,98,9.17,78,7.3,76,7.11,51,4.77,56,5.24,49,4.58,53,4.96,55,5.14,55,5.14,46,4.3,45,4.21,8,0.75,14,1.31,10047
10,48,1051,32,3.04,40,3.81,31,2.95,33,3.14,37,3.52,43,4.09,31,2.95,32,3.04,90,8.56,94,8.94,91,8.66,91,8.66,96,9.13,113,10.75,99,9.42,91,8.66,4,0.38,3,0.29,10048
34,1,3180,21,0.66,20,0.63,25,0.79,16,0.5,21,0.66,18,0.57,19,0.6,15,0.47,390,12.26,382,12.01,364,11.45,367,11.54,372,11.7,373,11.73,392,12.33,365,11.48,9,0.28,11,0.35,34001
34,2,2108,12,0.57,10,0.47,10,0.47,10,0.47,12,0.57,6,0.28,9,0.43,6,0.28,257,12.19,253,12.0,251,11.91,248,11.76,254,12.05,253,12.0,261,12.38,239,11.34,8,0.38,9,0.43,34002
34,3,2463,14,0.57,24,0.97,18,0.73,17,0.69,30,1.22,18,0.73,12,0.49,14,0.57,282,11.45,292,11.86,277,11.25,281,11.41,285,11.57,289,11.73,294,11.94,278,11.29,21,0.85,17,0.69,34003
34,4,2590,13,0.5,26,1.0,19,0.73,14,0.54,19,0.73,11,0.42,14,0.54,12,0.46,300,11.58,309,11.93,299,11.54,295,11.39,309,11.93,305,11.78,326,12.59,298,11.51,10,0.39,11,0.42,34004
34,5,2054,12,0.58,16,0.78,10,0.49,7,0.34,13,0.63,13,0.63,10,0.49,11,0.54,249,12.12,243,11.83,230,11.2,240,11.68,247,12.03,237,11.54,260,12.66,233,11.34,13,0.63,10,0.49,34005
34,6,1404,8,0.57,15,1.07,10,0.71,10,0.71,12,0.85,7,0.5,9,0.64,7,0.5,162,11.54,170,12.11,162,11.54,162,11.54,161,11.47,165,11.75,174,12.39,158,11.25,6,0.43,6,0.43,34006
34,7,2857,20,0.7,31,1.09,30,1.05,22,0.77,30,1.05,25,0.88,17,0.6,21,0.74,337,11.8,327,11.45,314,10.99,316,11.06,333,11.66,337,11.8,349,12.22,308,10.78,25,0.88,15,0.53,34007
34,9,1798,26,1.45,31,1.72,23,1.28,23,1.28,25,1.39,20,1.11,18,1.0,23,1.28,193,10.73,207,11.51,192,10.68,188,10.46,195,10.85,205,11.4,203,11.29,189,10.51,22,1.22,15,0.83,34009
34,10,2284,23,1.01,22,0.96,22,0.96,15,0.66,19,0.83,13,0.57,12,0.53,10,0.44,288,12.61,271,11.87,251,10.99,254,11.12,260,11.38,265,11.6,280,12.26,254,11.12,15,0.66,10,0.44,34010
34,11,1734,6,0.35,15,0.87,12,0.69,5,0.29,11,0.63,6,0.35,4,0.23,5,0.29,192,11.07,216,12.46,204,11.76,200,11.53,207,11.94,216,12.46,220,12.69,200,11.53,9,0.52,6,0.35,34011
34,12,2709,14,0.52,21,0.78,20,0.74,11,0.41,18,0.66,15,0.55,10,0.37,13,0.48,330,12.18,320,11.81,313,11.55,316,11.66,322,11.89,324,11.96,330,12.18,313,11.55,8,0.3,11,0.41,34012
34,14,1829,12,0.66,13,0.71,13,0.71,10,0.55,15,0.82,12,0.66,9,0.49,10,0.55,215,11.76,214,11.7,208,11.37,204,11.15,217,11.86,218,11.92,230,12.58,209,11.43,13,0.71,7,0.38,34014
34,15,1787,16,0.9,15,0.84,18,1.01,11,0.62,20,1.12,14,0.78,13,0.73,12,0.67,215,12.03,205,11.47,199,11.14,201,11.25,205,11.47,209,11.7,217,12.14,200,11.19,7,0.39,10,0.56,34015
34,16,1619,13,0.8,15,0.93,16,0.99,12,0.74,16,0.99,10,0.62,11,0.68,11,0.68,195,12.04,190,11.74,180,11.12,181,11.18,186,11.49,186,11.49,202,12.48,181,11.18,6,0.37,8,0.49,34016
34,17,1696,16,0.94,19,1.12,15,0.88,16,0.94,19,1.12,11,0.65,14,0.83,17,1.0,204,12.03,198,11.67,180,10.61,182,10.73,192,11.32,196,11.56,202,11.91,188,11.08,13,0.77,14,0.83,34017
34,18,1439,5,0.35,8,0.56,5,0.35,7,0.49,5,0.35,7,0.49,3,0.21,5,0.35,173,12.02,179,12.44,166,11.54,169,11.74,174,12.09,177,12.3,181,12.58,166,11.54,4,0.28,5,0.35,34018
34,20,3282,17,0.52,25,0.76,24,0.73,17,0.52,22,0.67,16,0.49,19,0.58,18,0.55,389,11.85,400,12.19,376,11.46,381,11.61,391,11.91,389,11.85,399,12.16,375,11.43,8,0.24,16,0.49,34020
34,21,2164,12,0.55,17,0.79,21,0.97,13,0.6,20,0.92,15,0.69,17,0.79,17,0.79,268,12.38,253,11.69,245,11.32,245,11.32,254,11.74,248,11.46,259,11.97,238,11.0,10,0.46,12,0.55,34021
34,22,2582,24,0.93,27,1.05,27,1.05,23,0.89,26,1.01,24,0.93,22,0.85,20,0.77,292,11.31,300,11.62,285,11.04,290,11.23,299,11.58,295,11.43,315,12.2,293,11.35,13,0.5,7,0.27,34022
34,23,1955,11,0.56,18,0.92,18,0.92,14,0.72,21,1.07,17,0.87,16,0.82,14,0.72,232,11.87,221,11.3,219,11.2,222,11.36,220,11.25,225,11.51,244,12.48,218,11.15,11,0.56,14,0.72,34023
34,24,1946,10,0.51,11,0.57,14,0.72,9,0.46,9,0.46,6,0.31,9,0.46,14,0.72,242,12.44,237,12.18,221,11.36,222,11.41,230,11.82,232,11.92,241,12.38,223,11.46,10,0.51,6,0.31,34024
34,25,2541,21,0.83,21,0.83,18,0.71,20,0.79,25,0.98,16,0.63,16,0.63,19,0.75,314,12.36,295,11.61,286,11.26,289,11.37,297,11.69,302,11.89,302,11.89,287,11.29,8,0.31,5,0.2,34025
34,26,1434,6,0.42,11,0.77,12,0.84,8,0.56,11,0.77,10,0.7,7,0.49,8,0.56,170,11.85,167,11.65,164,11.44,165,11.51,172,11.99,171,11.92,176,12.27,161,11.23,6,0.42,9,0.63,34026
34,27,1780,14,0.79,18,1.01,17,0.96,14,0.79,9,0.51,13,0.73,13,0.73,10,0.56,209,11.74,215,12.08,200,11.24,201,11.29,211,11.85,213,11.97,213,11.97,196,11.01,6,0.34,8,0.45,34027
34,28,1168,3,0.26,8,0.68,9,0.77,4,0.34,5,0.43,4,0.34,4,0.34,4,0.34,152,13.01,141,12.07,133,11.39,134,11.47,134,11.47,138,11.82,150,12.84,136,11.64,4,0.34,5,0.43,34028
34,30,2574,20,0.78,22,0.85,22,0.85,13,0.51,15,0.58,15,0.58,11,0.43,12,0.47,302,11.73,301,11.69,292,11.34,297,11.54,308,11.97,309,12.0,318,12.35,289,11.23,15,0.58,13,0.51,34030
34,31,1148,10,0.87,8,0.7,9,0.78,10,0.87,12,1.05,5,0.44,6,0.52,6,0.52,124,10.8,137,11.93,128,11.15,131,11.41,137,11.93,132,11.5,141,12.28,129,11.24,16,1.39,7,0.61,34031
34,32,1498,10,0.67,12,0.8,16,1.07,10,0.67,13,0.87,10,0.67,9,0.6,14,0.93,173,11.55,175,11.68,170,11.35,171,11.42,181,12.08,172,11.48,179,11.95,167,11.15,8,0.53,8,0.53,34032
34,34,2684,21,0.78,28,1.04,34,1.27,23,0.86,30,1.12,20,0.75,19,0.71,22,0.82,320,11.92,306,11.4,293,10.92,297,11.07,314,11.7,313,11.66,317,11.81,295,10.99,13,0.48,19,0.71,34034
34,35,2743,20,0.73,23,0.84,16,0.58,17,0.62,19,0.69,12,0.44,14,0.51,16,0.58,332,12.1,329,11.99,311,11.34,317,11.56,326,11.88,321,11.7,334,12.18,318,11.59,11,0.4,7,0.26,34035
34,36,2421,13,0.54,26,1.07,18,0.74,17,0.7,26,1.07,16,0.66,17,0.7,16,0.66,284,11.73,289,11.94,271,11.19,275,11.36,281,11.61,286,11.81,299,12.35,271,11.19,10,0.41,6,0.25,34036
34,37,2140,14,0.65,16,0.75,12,0.56,15,0.7,21,0.98,11,0.51,11,0.51,14,0.65,270,12.62,248,11.59,240,11.21,243,11.36,255,11.92,251,11.73,263,12.29,237,11.07,9,0.42,10,0.47,34037
34,38,1748,15,0.86,10,0.57,10,0.57,12,0.69,12,0.69,12,0.69,10,0.57,9,0.51,211,12.07,214,12.24,203,11.61,197,11.27,202,11.56,206,11.78,216,12.36,194,11.1,11,0.63,4,0.23,34038
34,39,1767,9,0.51,8,0.45,10,0.57,5,0.28,13,0.74,6,0.34,9,0.51,6,0.34,212,12.0,215,12.17,208,11.77,203,11.49,209,11.83,213,12.05,219,12.39,202,11.43,14,0.79,6,0.34,34039
34,40,2462,30,1.22,31,1.26,29,1.18,21,0.85,28,1.14,24,0.97,22,0.89,17,0.69,280,11.37,283,11.49,267,10.84,268,10.89,283,11.49,276,11.21,294,11.94,275,11.17,17,0.69,17,0.69,34040
34,41,1420,10,0.7,10,0.7,9,0.63,6,0.42,15,1.06,10,0.7,7,0.49,6,0.42,164,11.55,164,11.55,160,11.27,162,11.41,164,11.55,172,12.11,175,12.32,164,11.55,11,0.77,11,0.77,34041
34,42,2820,22,0.78,30,1.06,27,0.96,21,0.74,27,0.96,21,0.74,18,0.64,22,0.78,322,11.42,329,11.67,317,11.24,318,11.28,329,11.67,328,11.63,342,12.13,314,11.13,20,0.71,13,0.46,34042
34,43,3120,20,0.64,28,0.9,22,0.71,20,0.64,27,0.87,18,0.58,18,0.58,19,0.61,361,11.57,364,11.67,359,11.51,354,11.35,365,11.7,367,11.76,384,12.31,352,11.28,23,0.74,19,0.61,34043
34,44,1875,16,0.85,18,0.96,17,0.91,16,0.85,19,1.01,15,0.8,13,0.69,11,0.59,215,11.47,222,11.84,213,11.36,209,11.15,215,11.47,218,11.63,222,11.84,214,11.41,9,0.48,13,0.69,34044
34,46,2095,10,0.48,17,0.81,16,0.76,13,0.62,16,0.76,14,0.67,12,0.57,8,0.38,263,12.55,250,11.93,237,11.31,233,11.12,247,11.79,251,11.98,255,12.17,244,11.65,7,0.33,2,0.1,34046
34,48,3015,16,0.53,22,0.73,17,0.56,14,0.46,23,0.76,12,0.4,18,0.6,14,0.46,367,12.17,358,11.87,350,11.61,355,11.77,357,11.84,352,11.67,367,12.17,347,11.51,14,0.46,12,0.4,34048
34,49,3535,20,0.57,26,0.74,28,0.79,20,0.57,32,0.91,20,0.57,15,0.42,22,0.62,404,11.43,417,11.8,410,11.6,413,11.68,423,11.97,425,12.02,422,11.94,400,11.32,18,0.51,20,0.57,34049
34,50,2069,8,0.39,17,0.82,12,0.58,9,0.43,12,0.58,7,0.34,7,0.34,14,0.68,243,11.74,250,12.08,243,11.74,241,11.65,246,11.89,249,12.03,254,12.28,239,11.55,10,0.48,8,0.39,34050
34,52,1709,10,0.59,14,0.82,10,0.59,10,0.59,11,0.64,9,0.53,11,0.64,7,0.41,211,12.35,205,12.0,195,11.41,194,11.35,196,11.47,206,12.05,209,12.23,193,11.29,12,0.7,6,0.35,34052
34,53,1559,11,0.71,15,0.96,14,0.9,10,0.64,15,0.96,13,0.83,10,0.64,11,0.71,182,11.67,185,11.87,173,11.1,169,10.84,179,11.48,181,11.61,185,11.87,184,11.8,13,0.83,9,0.58,34053
34,54,1706,12,0.7,12,0.7,7,0.41,9,0.53,12,0.7,8,0.47,7,0.41,9,0.53,215,12.6,207,12.13,194,11.37,193,11.31,201,11.78,202,11.84,206,12.08,191,11.2,10,0.59,11,0.64,34054
34,56,1127,7,0.62,6,0.53,8,0.71,3,0.27,10,0.89,3,0.27,5,0.44,6,0.53,143,12.69,134,11.89,130,11.54,127,11.27,134,11.89,138,12.24,139,12.33,129,11.45,2,0.18,3,0.27,34056
34,59,2401,10,0.42,11,0.46,11,0.46,11,0.46,14,0.58,10,0.42,8,0.33,9,0.37,293,12.2,282,11.75,275,11.45,280,11.66,285,11.87,287,11.95,304,12.66,285,11.87,15,0.62,11,0.46,34059
34,60,2203,16,0.73,15,0.68,19,0.86,16,0.73,22,1.0,18,0.82,16,0.73,19,0.86,245,11.12,265,12.03,249,11.3,250,11.35,257,11.67,255,11.58,268,12.17,244,11.08,15,0.68,14,0.64,34060
34,61,1886,12,0.64,15,0.8,11,0.58,11,0.58,15,0.8,8,0.42,7,0.37,5,0.27,227,12.04,224,11.88,211,11.19,223,11.82,218,11.56,229,12.14,233,12.35,216,11.45,11,0.58,10,0.53,34061
