ward,precinct,total,Aurora Austriaco,Aurora Austriaco Percent,precinct_id
41,13,97,97,100.0,41013
41,25,61,61,100.0,41025
41,26,69,69,100.0,41026
41,28,155,155,100.0,41028
41,29,89,89,100.0,41029
41,32,108,108,100.0,41032
41,48,110,110,100.0,41048
