ward,precinct,total,Stephen Stern,Stephen Stern Percent,Dominique C. Ross,Dominique C. Ross Percent,precinct_id
2,14,302,136,45.03,166,54.97,02014
2,20,214,107,50.0,107,50.0,02020
2,31,239,109,45.61,130,54.39,02031
2,44,162,81,50.0,81,50.0,02044
2,46,297,159,53.54,138,46.46,02046
3,1,188,85,45.21,103,54.79,03001
3,2,273,144,52.75,129,47.25,03002
3,4,159,83,52.2,76,47.8,03004
3,5,164,77,46.95,87,53.05,03005
3,7,179,93,51.96,86,48.04,03007
3,8,213,90,42.25,123,57.75,03008
3,9,197,99,50.25,98,49.75,03009
3,10,85,38,44.71,47,55.29,03010
3,11,223,97,43.5,126,56.5,03011
3,12,212,104,49.06,108,50.94,03012
3,14,114,60,52.63,54,47.37,03014
3,15,188,92,48.94,96,51.06,03015
3,16,202,95,47.03,107,52.97,03016
3,17,108,62,57.41,46,42.59,03017
3,18,99,48,48.48,51,51.52,03018
3,20,139,63,45.32,76,54.68,03020
3,21,109,50,45.87,59,54.13,03021
3,22,121,69,57.02,52,42.98,03022
3,23,204,110,53.92,94,46.08,03023
3,24,197,89,45.18,108,54.82,03024
3,25,145,76,52.41,69,47.59,03025
3,26,86,52,60.47,34,39.53,03026
3,27,176,85,48.3,91,51.7,03027
3,29,149,90,60.4,59,39.6,03029
3,30,165,78,47.27,87,52.73,03030
3,31,293,133,45.39,160,54.61,03031
3,32,166,85,51.2,81,48.8,03032
3,33,270,135,50.0,135,50.0,03033
3,34,182,83,45.6,99,54.4,03034
3,35,203,104,51.23,99,48.77,03035
3,36,89,46,51.69,43,48.31,03036
3,37,80,36,45.0,44,55.0,03037
3,38,248,108,43.55,140,56.45,03038
3,39,193,131,67.88,62,32.12,03039
3,40,156,63,40.38,93,59.62,03040
3,41,123,69,56.1,54,43.9,03041
3,42,135,66,48.89,69,51.11,03042
3,43,48,22,45.83,26,54.17,03043
3,44,75,34,45.33,41,54.67,03044
3,46,36,14,38.89,22,61.11,03046
3,47,61,34,55.74,27,44.26,03047
3,48,124,50,40.32,74,59.68,03048
3,49,74,24,32.43,50,67.57,03049
3,50,182,126,69.23,56,30.77,03050
4,1,325,176,54.15,149,45.85,04001
4,2,374,159,42.51,215,57.49,04002
4,3,311,141,45.34,170,54.66,04003
4,4,251,109,43.43,142,56.57,04004
4,5,279,130,46.59,149,53.41,04005
4,6,105,59,56.19,46,43.81,04006
4,7,287,117,40.77,170,59.23,04007
4,8,276,147,53.26,129,46.74,04008
4,9,437,211,48.28,226,51.72,04009
4,10,273,101,37.0,172,63.0,04010
4,11,316,125,39.56,191,60.44,04011
4,12,161,77,47.83,84,52.17,04012
4,13,196,114,58.16,82,41.84,04013
4,14,180,76,42.22,104,57.78,04014
4,15,177,66,37.29,111,62.71,04015
4,16,313,149,47.6,164,52.4,04016
4,17,228,134,58.77,94,41.23,04017
4,18,256,123,48.05,133,51.95,04018
4,19,277,124,44.77,153,55.23,04019
4,20,126,42,33.33,84,66.67,04020
4,21,324,170,52.47,154,47.53,04021
4,22,318,184,57.86,134,42.14,04022
4,23,174,121,69.54,53,30.46,04023
4,24,263,154,58.56,109,41.44,04024
4,25,194,84,43.3,110,56.7,04025
4,26,273,120,43.96,153,56.04,04026
4,27,248,117,47.18,131,52.82,04027
4,28,159,94,59.12,65,40.88,04028
4,29,217,129,59.45,88,40.55,04029
4,30,206,94,45.63,112,54.37,04030
4,31,143,92,64.34,51,35.66,04031
4,32,237,164,69.2,73,30.8,04032
4,33,180,76,42.22,104,57.78,04033
4,34,163,109,66.87,54,33.13,04034
4,35,187,79,42.25,108,57.75,04035
4,36,170,67,39.41,103,60.59,04036
4,37,74,35,47.3,39,52.7,04037
4,38,371,218,58.76,153,41.24,04038
4,39,163,69,42.33,94,57.67,04039
4,40,193,109,56.48,84,43.52,04040
4,41,120,70,58.33,50,41.67,04041
4,42,285,128,44.91,157,55.09,04042
4,43,153,104,67.97,49,32.03,04043
4,44,144,76,52.78,68,47.22,04044
4,45,399,251,62.91,148,37.09,04045
4,46,191,99,51.83,92,48.17,04046
4,47,345,198,57.39,147,42.61,04047
4,48,293,179,61.09,114,38.91,04048
4,49,154,90,58.44,64,41.56,04049
4,50,229,126,55.02,103,44.98,04050
4,51,262,121,46.18,141,53.82,04051
4,52,290,114,39.31,176,60.69,04052
5,1,249,127,51.0,122,49.0,05001
5,2,207,100,48.31,107,51.69,05002
5,3,122,66,54.1,56,45.9,05003
5,4,150,60,40.0,90,60.0,05004
5,5,218,101,46.33,117,53.67,05005
5,6,293,124,42.32,169,57.68,05006
5,7,263,136,51.71,127,48.29,05007
5,8,289,232,80.28,57,19.72,05008
5,9,230,95,41.3,135,58.7,05009
5,10,229,83,36.24,146,63.76,05010
5,11,209,124,59.33,85,40.67,05011
5,13,198,93,46.97,105,53.03,05013
5,14,277,169,61.01,108,38.99,05014
5,15,163,84,51.53,79,48.47,05015
5,16,185,76,41.08,109,58.92,05016
5,17,258,128,49.61,130,50.39,05017
5,18,250,131,52.4,119,47.6,05018
5,19,135,60,44.44,75,55.56,05019
5,20,125,71,56.8,54,43.2,05020
5,21,265,116,43.77,149,56.23,05021
5,22,194,86,44.33,108,55.67,05022
5,23,173,79,45.66,94,54.34,05023
5,24,174,110,63.22,64,36.78,05024
5,25,255,121,47.45,134,52.55,05025
5,26,266,109,40.98,157,59.02,05026
5,27,232,174,75.0,58,25.0,05027
5,28,271,173,63.84,98,36.16,05028
5,29,238,101,42.44,137,57.56,05029
5,30,184,153,83.15,31,16.85,05030
5,31,220,100,45.45,120,54.55,05031
5,32,315,158,50.16,157,49.84,05032
5,33,168,77,45.83,91,54.17,05033
5,34,268,98,36.57,170,63.43,05034
5,35,169,100,59.17,69,40.83,05035
5,36,139,53,38.13,86,61.87,05036
5,37,170,89,52.35,81,47.65,05037
5,38,204,154,75.49,50,24.51,05038
5,39,254,201,79.13,53,20.87,05039
5,40,241,106,43.98,135,56.02,05040
5,41,171,139,81.29,32,18.71,05041
5,42,235,121,51.49,114,48.51,05042
5,43,277,189,68.23,88,31.77,05043
5,44,271,106,39.11,165,60.89,05044
5,45,136,63,46.32,73,53.68,05045
5,46,208,125,60.1,83,39.9,05046
5,47,206,72,34.95,134,65.05,05047
5,48,134,87,64.93,47,35.07,05048
5,49,52,23,44.23,29,55.77,05049
5,50,76,34,44.74,42,55.26,05050
5,51,170,62,36.47,108,63.53,05051
5,52,29,15,51.72,14,48.28,05052
5,53,237,138,58.23,99,41.77,05053
5,54,334,148,44.31,186,55.69,05054
5,55,217,91,41.94,126,58.06,05055
6,7,262,139,53.05,123,46.95,06007
6,15,151,74,49.01,77,50.99,06015
6,18,152,60,39.47,92,60.53,06018
6,20,230,136,59.13,94,40.87,06020
6,30,230,115,50.0,115,50.0,06030
6,32,262,127,48.47,135,51.53,06032
6,33,291,145,49.83,146,50.17,06033
6,39,191,102,53.4,89,46.6,06039
6,48,245,149,60.82,96,39.18,06048
6,61,161,78,48.45,83,51.55,06061
6,62,209,113,54.07,96,45.93,06062
7,9,219,105,47.95,114,52.05,07009
7,11,225,112,49.78,113,50.22,07011
7,35,118,66,55.93,52,44.07,07035
7,40,252,130,51.59,122,48.41,07040
7,44,299,159,53.18,140,46.82,07044
7,45,307,173,56.35,134,43.65,07045
7,50,142,69,48.59,73,51.41,07050
7,64,200,111,55.5,89,44.5,07064
8,57,204,84,41.18,120,58.82,08057
8,69,10,5,50.0,5,50.0,08069
8,70,291,114,39.18,177,60.82,08070
11,12,189,166,87.83,23,12.17,11012
11,13,157,125,79.62,32,20.38,11013
11,15,160,126,78.75,34,21.25,11015
11,27,79,47,59.49,32,40.51,11027
11,28,148,118,79.73,30,20.27,11028
11,31,114,97,85.09,17,14.91,11031
11,32,148,126,85.14,22,14.86,11032
11,34,101,68,67.33,33,32.67,11034
11,39,227,173,76.21,54,23.79,11039
11,42,84,56,66.67,28,33.33,11042
11,43,174,104,59.77,70,40.23,11043
11,45,69,48,69.57,21,30.43,11045
11,46,106,88,83.02,18,16.98,11046
11,47,145,89,61.38,56,38.62,11047
11,48,64,56,87.5,8,12.5,11048
11,49,152,126,82.89,26,17.11,11049
