ward,precinct,total,Edward J. Acevedo,Edward J. Acevedo Percent,Francisco ''Frankie'' Rodriguez,Francisco ''Frankie'' Rodriguez Percent,precinct_id
11,1,221,153,69.23,68,30.77,11001
11,2,194,123,63.4,71,36.6,11002
11,4,230,145,63.04,85,36.96,11004
11,5,129,75,58.14,54,41.86,11005
11,6,274,170,62.04,104,37.96,11006
11,7,174,117,67.24,57,32.76,11007
11,8,194,118,60.82,76,39.18,11008
11,9,142,92,64.79,50,35.21,11009
11,10,142,109,76.76,33,23.24,11010
11,11,274,168,61.31,106,38.69,11011
11,16,229,170,74.24,59,25.76,11016
11,17,264,189,71.59,75,28.41,11017
11,18,136,83,61.03,53,38.97,11018
11,19,167,111,66.47,56,33.53,11019
11,20,154,140,90.91,14,9.09,11020
11,21,196,159,81.12,37,18.88,11021
11,22,165,127,76.97,38,23.03,11022
11,24,371,330,88.95,41,11.05,11024
11,25,163,123,75.46,40,24.54,11025
11,26,307,207,67.43,100,32.57,11026
11,29,222,153,68.92,69,31.08,11029
11,30,184,128,69.57,56,30.43,11030
11,38,310,259,83.55,51,16.45,11038
11,40,123,103,83.74,20,16.26,11040
11,41,124,92,74.19,32,25.81,11041
11,44,200,146,73.0,54,27.0,11044
11,45,88,53,60.23,35,39.77,11045
11,47,179,128,71.51,51,28.49,11047
11,50,105,79,75.24,26,24.76,11050
12,1,91,62,68.13,29,31.87,12001
12,7,170,123,72.35,47,27.65,12007
12,8,170,129,75.88,41,24.12,12008
12,9,7,6,85.71,1,14.29,12009
12,15,132,92,69.7,40,30.3,12015
12,16,116,53,45.69,63,54.31,12016
12,18,187,119,63.64,68,36.36,12018
12,19,12,7,58.33,5,41.67,12019
12,22,124,85,68.55,39,31.45,12022
22,1,135,90,66.67,45,33.33,22001
22,29,103,70,67.96,33,32.04,22029
24,53,200,128,64.0,72,36.0,24053
25,1,210,168,80.0,42,20.0,25001
25,2,281,193,68.68,88,31.32,25002
25,5,251,191,76.1,60,23.9,25005
25,7,185,143,77.3,42,22.7,25007
25,8,256,185,72.27,71,27.73,25008
25,9,333,222,66.67,111,33.33,25009
25,11,260,161,61.92,99,38.08,25011
25,13,272,206,75.74,66,24.26,25013
25,15,250,186,74.4,64,25.6,25015
25,17,340,247,72.65,93,27.35,25017
25,19,268,183,68.28,85,31.72,25019
25,20,270,217,80.37,53,19.63,25020
25,22,143,105,73.43,38,26.57,25022
25,23,261,179,68.58,82,31.42,25023
25,24,282,209,74.11,73,25.89,25024
25,30,250,164,65.6,86,34.4,25030
28,29,185,129,69.73,56,30.27,28029
28,38,63,41,65.08,22,34.92,28038
28,53,41,29,70.73,12,29.27,28053
