ward,precinct,total,Don Harmon,Don Harmon Percent,precinct_id
28,16,132,132,100.0,28016
28,47,152,152,100.0,28047
29,4,209,209,100.0,29004
29,5,176,176,100.0,29005
29,8,150,150,100.0,29008
29,11,184,184,100.0,29011
29,13,221,221,100.0,29013
29,18,222,222,100.0,29018
29,23,224,224,100.0,29023
29,26,193,193,100.0,29026
29,29,308,308,100.0,29029
29,33,168,168,100.0,29033
29,35,152,152,100.0,29035
29,37,195,195,100.0,29037
29,40,300,300,100.0,29040
29,41,263,263,100.0,29041
29,43,246,246,100.0,29043
29,44,161,161,100.0,29044
29,45,189,189,100.0,29045
29,46,214,214,100.0,29046
29,47,258,258,100.0,29047
29,48,219,219,100.0,29048
36,2,130,130,100.0,36002
36,16,309,309,100.0,36016
36,22,207,207,100.0,36022
36,23,117,117,100.0,36023
36,24,227,227,100.0,36024
36,33,166,166,100.0,36033
36,44,203,203,100.0,36044
36,45,181,181,100.0,36045
36,54,266,266,100.0,36054
36,55,273,273,100.0,36055
37,5,260,260,100.0,37005
37,6,201,201,100.0,37006
37,7,233,233,100.0,37007
37,9,177,177,100.0,37009
37,17,155,155,100.0,37017
37,18,206,206,100.0,37018
37,29,219,219,100.0,37029
37,32,196,196,100.0,37032
37,35,206,206,100.0,37035
37,37,195,195,100.0,37037
37,38,233,233,100.0,37038
41,27,56,56,100.0,41027
