ward,precinct,total,Ricardo Mu̱oz,Ricardo Mu̱oz Percent,precinct_id
22,1,119,119,100.0,22001
22,2,99,99,100.0,22002
22,3,157,157,100.0,22003
22,4,123,123,100.0,22004
22,5,145,145,100.0,22005
22,6,142,142,100.0,22006
22,7,197,197,100.0,22007
22,8,135,135,100.0,22008
22,9,168,168,100.0,22009
22,10,144,144,100.0,22010
22,11,134,134,100.0,22011
22,12,103,103,100.0,22012
22,13,116,116,100.0,22013
22,14,100,100,100.0,22014
22,15,108,108,100.0,22015
22,16,133,133,100.0,22016
22,17,131,131,100.0,22017
22,18,130,130,100.0,22018
22,19,148,148,100.0,22019
22,20,162,162,100.0,22020
22,21,162,162,100.0,22021
22,22,102,102,100.0,22022
22,23,154,154,100.0,22023
22,24,113,113,100.0,22024
22,25,119,119,100.0,22025
22,26,110,110,100.0,22026
22,27,154,154,100.0,22027
22,28,86,86,100.0,22028
22,29,89,89,100.0,22029
