ward,precinct,total,Mariyana T. Spyropoulos,Mariyana T. Spyropoulos Percent,Kathleen Therese Meany,Kathleen Therese Meany Percent,Frank Avila,Frank Avila Percent,Dean T. Maragos,Dean T. Maragos Percent,Cynthia M. Santos,Cynthia M. Santos Percent,Diane Jones,Diane Jones Percent,Matthew Podgorski,Matthew Podgorski Percent,precinct_id
1,1,457,83,18.16,54,11.82,68,14.88,39,8.53,94,20.57,35,7.66,58,12.69,01001
1,2,403,76,18.86,48,11.91,75,18.61,39,9.68,78,19.35,30,7.44,27,6.7,01002
1,3,319,64,20.06,37,11.6,58,18.18,39,12.23,54,16.93,26,8.15,22,6.9,01003
1,4,436,96,22.02,53,12.16,72,16.51,50,11.47,62,14.22,40,9.17,32,7.34,01004
1,5,406,83,20.44,41,10.1,76,18.72,53,13.05,74,18.23,35,8.62,22,5.42,01005
1,6,489,94,19.22,58,11.86,87,17.79,51,10.43,82,16.77,41,8.38,55,11.25,01006
1,7,363,62,17.08,39,10.74,73,20.11,41,11.29,79,21.76,29,7.99,25,6.89,01007
1,8,397,84,21.16,55,13.85,63,15.87,55,13.85,58,14.61,42,10.58,19,4.79,01008
1,9,439,71,16.17,54,12.3,93,21.18,48,10.93,87,19.82,44,10.02,30,6.83,01009
1,10,469,110,23.45,55,11.73,88,18.76,49,10.45,71,15.14,37,7.89,28,5.97,01010
1,11,320,64,20.0,38,11.88,54,16.88,38,11.88,70,21.88,19,5.94,25,7.81,01011
1,12,492,121,24.59,71,14.43,80,16.26,56,11.38,71,14.43,33,6.71,26,5.28,01012
1,13,518,78,15.06,51,9.85,121,23.36,60,11.58,109,21.04,35,6.76,37,7.14,01013
1,14,425,71,16.71,52,12.24,78,18.35,40,9.41,92,21.65,37,8.71,20,4.71,01014
1,15,364,54,14.84,26,7.14,71,19.51,36,9.89,108,29.67,31,8.52,22,6.04,01015
1,16,184,17,9.24,12,6.52,42,22.83,16,8.7,48,26.09,27,14.67,7,3.8,01016
1,17,329,67,20.36,36,10.94,67,20.36,38,11.55,60,18.24,22,6.69,20,6.08,01017
1,18,315,47,14.92,28,8.89,64,20.32,30,9.52,83,26.35,25,7.94,18,5.71,01018
1,19,344,56,16.28,45,13.08,72,20.93,36,10.47,73,21.22,25,7.27,19,5.52,01019
1,20,362,45,12.43,44,12.15,74,20.44,40,11.05,89,24.59,29,8.01,23,6.35,01020
1,21,303,63,20.79,37,12.21,59,19.47,37,12.21,51,16.83,21,6.93,15,4.95,01021
