ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,"William Walls, III","William Walls, III Percent",precinct_id
2,14,322,281,87.27,41,12.73,02014
2,20,273,239,87.55,34,12.45,02020
2,31,291,252,86.6,39,13.4,02031
2,44,208,195,93.75,13,6.25,02044
2,46,385,332,86.23,53,13.77,02046
3,5,217,190,87.56,27,12.44,03005
3,7,257,228,88.72,29,11.28,03007
3,20,8,5,62.5,3,37.5,03020
3,23,160,155,96.88,5,3.13,03023
3,30,209,185,88.52,24,11.48,03030
3,34,228,195,85.53,33,14.47,03034
3,36,14,12,85.71,2,14.29,03036
3,38,338,319,94.38,19,5.62,03038
3,41,186,152,81.72,34,18.28,03041
3,44,101,97,96.04,4,3.96,03044
3,49,0,0,0.0,0,0.0,03049
4,1,428,350,81.78,78,18.22,04001
4,2,463,407,87.9,56,12.1,04002
4,3,410,361,88.05,49,11.95,04003
4,8,346,310,89.6,36,10.4,04008
4,9,547,484,88.48,63,11.52,04009
4,12,191,163,85.34,28,14.66,04012
4,13,242,219,90.5,23,9.5,04013
4,16,398,358,89.95,40,10.05,04016
4,17,293,271,92.49,22,7.51,04017
4,18,323,291,90.09,32,9.91,04018
4,19,362,313,86.46,49,13.54,04019
4,20,168,149,88.69,19,11.31,04020
4,21,388,355,91.49,33,8.51,04021
4,22,391,339,86.7,52,13.3,04022
4,23,211,179,84.83,32,15.17,04023
4,24,346,305,88.15,41,11.85,04024
4,26,350,316,90.29,34,9.71,04026
4,28,201,170,84.58,31,15.42,04028
4,29,270,232,85.93,38,14.07,04029
4,31,182,154,84.62,28,15.38,04031
4,32,319,279,87.46,40,12.54,04032
4,33,239,208,87.03,31,12.97,04033
4,34,210,182,86.67,28,13.33,04034
4,37,94,88,93.62,6,6.38,04037
4,38,454,404,88.99,50,11.01,04038
4,39,225,203,90.22,22,9.78,04039
4,40,275,243,88.36,32,11.64,04040
4,41,151,128,84.77,23,15.23,04041
4,42,162,139,85.8,23,14.2,04042
4,43,188,163,86.7,25,13.3,04043
4,44,195,168,86.15,27,13.85,04044
4,45,474,405,85.44,69,14.56,04045
4,46,232,205,88.36,27,11.64,04046
4,47,433,380,87.76,53,12.24,04047
4,48,351,306,87.18,45,12.82,04048
4,49,210,183,87.14,27,12.86,04049
4,50,277,254,91.7,23,8.3,04050
4,51,326,281,86.2,45,13.8,04051
4,52,378,337,89.15,41,10.85,04052
5,2,249,224,89.96,25,10.04,05002
5,3,134,115,85.82,19,14.18,05003
5,5,278,263,94.6,15,5.4,05005
5,8,346,312,90.17,34,9.83,05008
5,9,281,246,87.54,35,12.46,05009
