ward,precinct,total,E. Madeline O'Neill,E. Madeline O'Neill Percent,Joan Powell,Joan Powell Percent,Patrick Dennis Riley,Patrick Dennis Riley Percent,precinct_id
1,1,171,66,38.6,70,40.94,29,16.96,01001
1,2,147,46,31.29,70,47.62,22,14.97,01002
1,3,125,26,20.8,78,62.4,15,12.0,01003
1,4,137,40,29.2,66,48.18,18,13.14,01004
1,5,143,47,32.87,71,49.65,17,11.89,01005
1,6,161,61,37.89,62,38.51,29,18.01,01006
1,7,129,36,27.91,53,41.09,31,24.03,01007
1,8,150,49,32.67,72,48.0,22,14.67,01008
1,9,148,61,41.22,59,39.86,23,15.54,01009
1,10,162,55,33.95,85,52.47,10,6.17,01010
1,11,113,34,30.09,56,49.56,19,16.81,01011
1,12,167,60,35.93,74,44.31,24,14.37,01012
1,13,181,65,35.91,64,35.36,41,22.65,01013
1,14,158,47,29.75,76,48.1,29,18.35,01014
1,15,126,45,35.71,51,40.48,25,19.84,01015
1,16,72,22,30.56,25,34.72,21,29.17,01016
1,17,125,37,29.6,67,53.6,16,12.8,01017
1,18,107,33,30.84,52,48.6,19,17.76,01018
1,19,127,48,37.8,51,40.16,19,14.96,01019
1,20,123,54,43.9,49,39.84,15,12.2,01020
1,21,124,43,34.68,62,50.0,14,11.29,01021
1,22,153,66,43.14,64,41.83,19,12.42,01022
1,23,130,36,27.69,64,49.23,21,16.15,01023
1,24,253,94,37.15,94,37.15,46,18.18,01024
1,25,118,41,34.75,51,43.22,15,12.71,01025
1,26,119,40,33.61,54,45.38,17,14.29,01026
1,27,78,28,35.9,33,42.31,12,15.38,01027
1,28,96,28,29.17,42,43.75,18,18.75,01028
1,29,130,59,45.38,45,34.62,15,11.54,01029
1,30,227,84,37.0,88,38.77,36,15.86,01030
1,31,142,40,28.17,73,51.41,23,16.2,01031
1,32,132,56,42.42,51,38.64,17,12.88,01032
1,33,149,51,34.23,63,42.28,28,18.79,01033
1,34,95,32,33.68,48,50.53,10,10.53,01034
1,35,89,24,26.97,43,48.31,15,16.85,01035
1,36,139,50,35.97,62,44.6,12,8.63,01036
1,37,103,31,30.1,47,45.63,18,17.48,01037
1,38,103,36,34.95,48,46.6,13,12.62,01038
1,39,160,54,33.75,58,36.25,34,21.25,01039
1,40,78,21,26.92,32,41.03,15,19.23,01040
1,41,146,66,45.21,40,27.4,31,21.23,01041
1,42,116,40,34.48,47,40.52,21,18.1,01042
1,43,103,36,34.95,54,52.43,7,6.8,01043
1,44,114,41,35.96,43,37.72,20,17.54,01044
1,45,162,52,32.1,67,41.36,29,17.9,01045
1,46,157,49,31.21,79,50.32,22,14.01,01046
1,47,144,42,29.17,76,52.78,16,11.11,01047
1,48,72,25,34.72,33,45.83,12,16.67,01048
1,49,61,20,32.79,31,50.82,3,4.92,01049
1,50,117,39,33.33,52,44.44,17,14.53,01050
2,1,248,71,28.63,129,52.02,31,12.5,02001
2,2,49,21,42.86,16,32.65,9,18.37,02002
2,3,215,56,26.05,105,48.84,42,19.53,02003
2,4,133,41,30.83,66,49.62,24,18.05,02004
2,5,223,73,32.74,114,51.12,28,12.56,02005
2,6,218,66,30.28,104,47.71,35,16.06,02006
2,7,267,99,37.08,114,42.7,38,14.23,02007
2,8,254,67,26.38,130,51.18,40,15.75,02008
2,9,186,53,28.49,89,47.85,33,17.74,02009
2,10,168,51,30.36,78,46.43,30,17.86,02010
2,11,291,63,21.65,182,62.54,34,11.68,02011
2,12,221,67,30.32,103,46.61,38,17.19,02012
2,13,219,59,26.94,122,55.71,25,11.42,02013
2,14,295,68,23.05,179,60.68,36,12.2,02014
2,15,107,37,34.58,51,47.66,15,14.02,02015
2,16,210,74,35.24,94,44.76,30,14.29,02016
2,17,164,48,29.27,87,53.05,19,11.59,02017
2,18,193,43,22.28,107,55.44,35,18.13,02018
2,19,202,56,27.72,107,52.97,31,15.35,02019
2,20,241,80,33.2,124,51.45,29,12.03,02020
2,21,198,53,26.77,106,53.54,29,14.65,02021
2,22,295,67,22.71,176,59.66,39,13.22,02022
2,23,155,57,36.77,63,40.65,27,17.42,02023
2,24,121,32,26.45,59,48.76,19,15.7,02024
2,25,265,87,32.83,129,48.68,38,14.34,02025
2,26,173,57,32.95,80,46.24,30,17.34,02026
2,27,154,53,34.42,70,45.45,23,14.94,02027
2,28,103,36,34.95,39,37.86,17,16.5,02028
2,29,118,31,26.27,65,55.08,19,16.1,02029
2,30,210,61,29.05,107,50.95,26,12.38,02030
2,31,238,65,27.31,135,56.72,34,14.29,02031
2,32,98,32,32.65,44,44.9,16,16.33,02032
2,33,131,43,32.82,46,35.11,32,24.43,02033
2,34,134,43,32.09,54,40.3,30,22.39,02034
2,35,56,20,35.71,30,53.57,5,8.93,02035
2,36,240,72,30.0,106,44.17,46,19.17,02036
2,37,170,45,26.47,88,51.76,24,14.12,02037
2,38,264,52,19.7,157,59.47,44,16.67,02038
2,39,199,67,33.67,85,42.71,32,16.08,02039
2,40,307,101,32.9,126,41.04,64,20.85,02040
2,41,101,35,34.65,47,46.53,11,10.89,02041
2,42,80,27,33.75,34,42.5,15,18.75,02042
2,43,241,45,18.67,136,56.43,45,18.67,02043
2,44,156,45,28.85,72,46.15,31,19.87,02044
2,45,189,51,26.98,102,53.97,28,14.81,02045
2,46,288,84,29.17,175,60.76,21,7.29,02046
2,47,123,46,37.4,54,43.9,18,14.63,02047
2,48,159,44,27.67,79,49.69,32,20.13,02048
2,49,124,33,26.61,64,51.61,19,15.32,02049
2,50,121,39,32.23,58,47.93,13,10.74,02050
2,51,182,67,36.81,83,45.6,20,10.99,02051
2,52,231,74,32.03,120,51.95,32,13.85,02052
2,53,181,66,36.46,82,45.3,23,12.71,02053
2,54,213,57,26.76,120,56.34,29,13.62,02054
2,55,56,12,21.43,35,62.5,7,12.5,02055
2,56,189,66,34.92,87,46.03,26,13.76,02056
3,1,193,55,28.5,97,50.26,34,17.62,03001
3,2,282,58,20.57,170,60.28,42,14.89,03002
3,3,188,55,29.26,92,48.94,31,16.49,03003
3,4,157,39,24.84,97,61.78,14,8.92,03004
3,5,168,48,28.57,102,60.71,17,10.12,03005
3,6,161,51,31.68,75,46.58,28,17.39,03006
3,7,178,40,22.47,94,52.81,40,22.47,03007
3,8,208,55,26.44,114,54.81,28,13.46,03008
3,9,193,39,20.21,120,62.18,27,13.99,03009
3,10,86,25,29.07,42,48.84,15,17.44,03010
3,11,218,50,22.94,125,57.34,30,13.76,03011
3,12,204,48,23.53,125,61.27,21,10.29,03012
3,13,127,37,29.13,55,43.31,26,20.47,03013
3,14,113,37,32.74,52,46.02,17,15.04,03014
3,15,190,56,29.47,109,57.37,19,10.0,03015
3,16,198,40,20.2,133,67.17,18,9.09,03016
3,17,104,24,23.08,64,61.54,12,11.54,03017
3,18,89,23,25.84,40,44.94,22,24.72,03018
3,19,56,19,33.93,22,39.29,11,19.64,03019
3,20,141,28,19.86,87,61.7,18,12.77,03020
3,21,112,27,24.11,64,57.14,13,11.61,03021
3,22,119,34,28.57,71,59.66,12,10.08,03022
3,23,202,51,25.25,114,56.44,24,11.88,03023
3,24,191,53,27.75,107,56.02,26,13.61,03024
3,25,142,37,26.06,74,52.11,21,14.79,03025
3,26,82,21,25.61,54,65.85,7,8.54,03026
3,27,177,46,25.99,110,62.15,16,9.04,03027
3,28,318,79,24.84,174,54.72,50,15.72,03028
3,29,155,52,33.55,73,47.1,23,14.84,03029
3,30,157,38,24.2,97,61.78,18,11.46,03030
3,31,288,84,29.17,150,52.08,43,14.93,03031
3,32,164,47,28.66,94,57.32,19,11.59,03032
3,33,266,66,24.81,144,54.14,40,15.04,03033
3,34,175,44,25.14,98,56.0,29,16.57,03034
3,35,201,44,21.89,131,65.17,24,11.94,03035
3,36,84,21,25.0,46,54.76,12,14.29,03036
3,37,80,19,23.75,38,47.5,15,18.75,03037
3,38,249,68,27.31,137,55.02,36,14.46,03038
3,39,200,43,21.5,129,64.5,24,12.0,03039
3,40,153,40,26.14,89,58.17,15,9.8,03040
3,41,116,32,27.59,56,48.28,22,18.97,03041
3,42,132,36,27.27,79,59.85,14,10.61,03042
3,43,52,20,38.46,21,40.38,9,17.31,03043
3,44,72,16,22.22,38,52.78,14,19.44,03044
