ward,precinct,total,Emma M. Mitts,Emma M. Mitts Percent,precinct_id
37,1,119,119,100.0,37001
37,2,225,225,100.0,37002
37,3,120,120,100.0,37003
37,4,263,263,100.0,37004
37,5,249,249,100.0,37005
37,6,217,217,100.0,37006
37,7,232,232,100.0,37007
37,8,192,192,100.0,37008
37,9,202,202,100.0,37009
37,10,231,231,100.0,37010
37,11,70,70,100.0,37011
37,12,137,137,100.0,37012
37,13,199,199,100.0,37013
37,14,261,261,100.0,37014
37,15,224,224,100.0,37015
37,16,222,222,100.0,37016
37,17,194,194,100.0,37017
37,18,247,247,100.0,37018
37,19,140,140,100.0,37019
37,20,239,239,100.0,37020
37,21,232,232,100.0,37021
37,22,136,136,100.0,37022
37,23,179,179,100.0,37023
37,24,216,216,100.0,37024
37,25,250,250,100.0,37025
37,26,278,278,100.0,37026
37,27,206,206,100.0,37027
37,28,209,209,100.0,37028
37,29,232,232,100.0,37029
37,30,158,158,100.0,37030
37,31,244,244,100.0,37031
37,32,235,235,100.0,37032
37,33,187,187,100.0,37033
37,34,219,219,100.0,37034
37,35,241,241,100.0,37035
37,36,232,232,100.0,37036
37,37,254,254,100.0,37037
37,38,236,236,100.0,37038
37,39,164,164,100.0,37039
37,40,224,224,100.0,37040
37,41,256,256,100.0,37041
37,42,116,116,100.0,37042
37,43,197,197,100.0,37043
