ward,precinct,total,Dorothy L. Walton,Dorothy L. Walton Percent,Arthur L. Turner,Arthur L. Turner Percent,precinct_id
2,2,66,28,42.42,38,57.58,02002
2,3,254,137,53.94,117,46.06,02003
2,4,183,129,70.49,54,29.51,02004
2,6,267,126,47.19,141,52.81,02006
2,9,215,115,53.49,100,46.51,02009
2,10,203,128,63.05,75,36.95,02010
2,12,241,109,45.23,132,54.77,02012
2,13,235,97,41.28,138,58.72,02013
2,16,237,117,49.37,120,50.63,02016
2,17,202,78,38.61,124,61.39,02017
2,23,35,16,45.71,19,54.29,02023
2,25,311,174,55.95,137,44.05,02025
2,28,111,60,54.05,51,45.95,02028
2,29,141,55,39.01,86,60.99,02029
2,32,113,77,68.14,36,31.86,02032
2,33,153,75,49.02,78,50.98,02033
2,34,246,79,32.11,167,67.89,02034
2,39,234,119,50.85,115,49.15,02039
2,41,126,69,54.76,57,45.24,02041
2,49,0,0,0.0,0,0.0,02049
2,50,167,70,41.92,97,58.08,02050
2,51,212,96,45.28,116,54.72,02051
11,50,3,2,66.67,1,33.33,11050
22,7,235,52,22.13,183,77.87,22007
22,19,188,32,17.02,156,82.98,22019
22,21,224,52,23.21,172,76.79,22021
24,1,318,96,30.19,222,69.81,24001
24,2,170,64,37.65,106,62.35,24002
24,3,236,65,27.54,171,72.46,24003
24,4,222,68,30.63,154,69.37,24004
24,5,173,55,31.79,118,68.21,24005
24,6,259,80,30.89,179,69.11,24006
24,8,177,75,42.37,102,57.63,24008
24,9,223,70,31.39,153,68.61,24009
24,10,157,55,35.03,102,64.97,24010
24,11,133,47,35.34,86,64.66,24011
24,12,178,55,30.9,123,69.1,24012
24,13,208,74,35.58,134,64.42,24013
24,14,308,97,31.49,211,68.51,24014
24,15,197,57,28.93,140,71.07,24015
24,17,170,64,37.65,106,62.35,24017
24,19,156,60,38.46,96,61.54,24019
24,20,198,95,47.98,103,52.02,24020
24,21,123,49,39.84,74,60.16,24021
24,22,205,65,31.71,140,68.29,24022
24,23,162,50,30.86,112,69.14,24023
24,24,99,30,30.3,69,69.7,24024
24,25,214,87,40.65,127,59.35,24025
24,26,278,89,32.01,189,67.99,24026
24,27,105,34,32.38,71,67.62,24027
24,28,242,93,38.43,149,61.57,24028
24,29,15,5,33.33,10,66.67,24029
24,30,201,65,32.34,136,67.66,24030
24,31,212,47,22.17,165,77.83,24031
24,32,182,81,44.51,101,55.49,24032
24,34,215,76,35.35,139,64.65,24034
24,35,281,115,40.93,166,59.07,24035
24,36,169,51,30.18,118,69.82,24036
24,37,262,84,32.06,178,67.94,24037
24,38,221,59,26.7,162,73.3,24038
24,39,189,60,31.75,129,68.25,24039
24,40,273,45,16.48,228,83.52,24040
24,42,165,65,39.39,100,60.61,24042
24,43,271,109,40.22,162,59.78,24043
24,44,290,104,35.86,186,64.14,24044
24,45,190,56,29.47,134,70.53,24045
24,47,189,48,25.4,141,74.6,24047
24,48,120,51,42.5,69,57.5,24048
24,49,320,117,36.56,203,63.44,24049
24,50,336,134,39.88,202,60.12,24050
24,51,307,139,45.28,168,54.72,24051
24,52,168,61,36.31,107,63.69,24052
24,54,249,68,27.31,181,72.69,24054
24,56,255,50,19.61,205,80.39,24056
25,3,185,104,56.22,81,43.78,25003
25,4,229,103,44.98,126,55.02,25004
25,6,132,73,55.3,59,44.7,25006
25,9,9,4,44.44,5,55.56,25009
25,10,123,49,39.84,74,60.16,25010
25,12,189,103,54.5,86,45.5,25012
25,18,76,37,48.68,39,51.32,25018
25,21,158,63,39.87,95,60.13,25021
25,25,151,67,44.37,84,55.63,25025
25,26,132,59,44.7,73,55.3,25026
25,27,148,58,39.19,90,60.81,25027
25,28,231,95,41.13,136,58.87,25028
25,29,330,166,50.3,164,49.7,25029
25,31,121,53,43.8,68,56.2,25031
27,1,182,92,50.55,90,49.45,27001
27,7,172,81,47.09,91,52.91,27007
27,11,202,85,42.08,117,57.92,27011
27,17,155,57,36.77,98,63.23,27017
27,18,0,0,0.0,0,0.0,27018
27,54,97,54,55.67,43,44.33,27054
27,57,115,70,60.87,45,39.13,27057
27,58,59,28,47.46,31,52.54,27058
28,34,46,21,45.65,25,54.35,28034
28,35,170,100,58.82,70,41.18,28035
28,52,155,70,45.16,85,54.84,28052
28,53,54,25,46.3,29,53.7,28053
28,54,155,79,50.97,76,49.03,28054
28,61,105,58,55.24,47,44.76,28061
42,9,89,43,48.31,46,51.69,42009
42,12,136,58,42.65,78,57.35,42012
42,14,175,93,53.14,82,46.86,42014
42,18,281,135,48.04,146,51.96,42018
42,21,117,58,49.57,59,50.43,42021
42,59,229,129,56.33,100,43.67,42059
42,67,306,157,51.31,149,48.69,42067
42,68,153,81,52.94,72,47.06,42068
42,69,164,75,45.73,89,54.27,42069
