ward,precinct,total,Martin A. Sandoval (Clinton),Martin A. Sandoval (Clinton) Percent,Diana E. Lopez (Clinton),Diana E. Lopez (Clinton) Percent,George A. Cardenas (Clinton),George A. Cardenas (Clinton) Percent,Leticia Delgadillo (Obama),Leticia Delgadillo (Obama) Percent,Miguel del Valle (Obama),Miguel del Valle (Obama) Percent,Jesse H. Ruiz (Obama),Jesse H. Ruiz (Obama) Percent,Cuahutemoc Morfin (Richardson),Cuahutemoc Morfin (Richardson) Percent,Rosa D. Reyes (Richardson),Rosa D. Reyes (Richardson) Percent,Elizabeth Hernandez (Richardson),Elizabeth Hernandez (Richardson) Percent,precinct_id
1,1,353,38,10.76,39,11.05,29,8.22,51,14.45,58,16.43,49,13.88,1,0.28,1,0.28,1,0.28,01001
1,2,724,52,7.18,60,8.29,50,6.91,123,16.99,136,18.78,121,16.71,7,0.97,4,0.55,5,0.69,01002
1,3,694,34,4.9,42,6.05,32,4.61,139,20.03,134,19.31,138,19.88,4,0.58,3,0.43,6,0.86,01003
1,4,844,52,6.16,54,6.4,40,4.74,164,19.43,169,20.02,152,18.01,4,0.47,3,0.36,3,0.36,01004
1,5,763,36,4.72,46,6.03,38,4.98,150,19.66,154,20.18,144,18.87,3,0.39,6,0.79,5,0.66,01005
1,7,626,62,9.9,70,11.18,63,10.06,88,14.06,105,16.77,85,13.58,1,0.16,2,0.32,4,0.64,01007
1,8,754,36,4.77,49,6.5,31,4.11,161,21.35,152,20.16,143,18.97,2,0.27,3,0.4,2,0.27,01008
1,9,660,59,8.94,66,10.0,52,7.88,99,15.0,114,17.27,101,15.3,5,0.76,4,0.61,5,0.76,01009
1,10,847,42,4.96,41,4.84,38,4.49,169,19.95,177,20.9,165,19.48,3,0.35,2,0.24,0,0.0,01010
1,11,593,43,7.25,41,6.91,37,6.24,104,17.54,118,19.9,101,17.03,5,0.84,9,1.52,4,0.67,01011
1,12,874,52,5.95,57,6.52,48,5.49,167,19.11,170,19.45,161,18.42,2,0.23,3,0.34,3,0.34,01012
1,13,897,78,8.7,83,9.25,71,7.92,140,15.61,168,18.73,135,15.05,3,0.33,8,0.89,5,0.56,01013
1,14,725,45,6.21,57,7.86,41,5.66,131,18.07,148,20.41,124,17.1,3,0.41,7,0.97,1,0.14,01014
1,15,603,57,9.45,59,9.78,47,7.79,86,14.26,122,20.23,81,13.43,3,0.5,5,0.83,8,1.33,01015
1,16,256,23,8.98,17,6.64,11,4.3,45,17.58,52,20.31,44,17.19,1,0.39,4,1.56,3,1.17,01016
1,17,606,28,4.62,32,5.28,22,3.63,124,20.46,125,20.63,117,19.31,5,0.83,3,0.5,4,0.66,01017
1,18,564,36,6.38,38,6.74,35,6.21,98,17.38,122,21.63,90,15.96,3,0.53,5,0.89,3,0.53,01018
1,19,546,69,12.64,77,14.1,63,11.54,59,10.81,81,14.84,58,10.62,6,1.1,7,1.28,9,1.65,01019
1,20,674,76,11.28,86,12.76,67,9.94,83,12.31,113,16.77,82,12.17,5,0.74,6,0.89,8,1.19,01020
1,21,598,34,5.69,41,6.86,29,4.85,113,18.9,126,21.07,106,17.73,1,0.17,1,0.17,6,1.0,01021
1,22,615,58,9.43,66,10.73,52,8.46,83,13.5,111,18.05,79,12.85,2,0.33,9,1.46,6,0.98,01022
1,23,623,39,6.26,51,8.19,44,7.06,99,15.89,131,21.03,99,15.89,4,0.64,5,0.8,7,1.12,01023
1,24,1095,83,7.58,95,8.68,81,7.4,185,16.89,200,18.26,174,15.89,7,0.64,10,0.91,8,0.73,01024
1,25,662,38,5.74,39,5.89,36,5.44,124,18.73,133,20.09,127,19.18,6,0.91,7,1.06,3,0.45,01025
1,26,614,32,5.21,42,6.84,28,4.56,119,19.38,124,20.2,111,18.08,1,0.16,6,0.98,4,0.65,01026
1,27,378,35,9.26,37,9.79,34,8.99,58,15.34,71,18.78,52,13.76,3,0.79,2,0.53,1,0.26,01027
1,28,194,10,5.15,18,9.28,13,6.7,33,17.01,38,19.59,32,16.49,1,0.52,5,2.58,3,1.55,01028
1,29,684,53,7.75,56,8.19,42,6.14,116,16.96,130,19.01,115,16.81,2,0.29,7,1.02,7,1.02,01029
1,30,1096,121,11.04,114,10.4,103,9.4,153,13.96,186,16.97,142,12.96,9,0.82,8,0.73,8,0.73,01030
1,31,763,45,5.9,46,6.03,43,5.64,149,19.53,150,19.66,144,18.87,0,0.0,1,0.13,1,0.13,01031
1,32,643,41,6.38,50,7.78,38,5.91,108,16.8,163,25.35,98,15.24,4,0.62,1,0.16,4,0.62,01032
1,33,767,66,8.6,68,8.87,64,8.34,124,16.17,138,17.99,118,15.38,3,0.39,5,0.65,3,0.39,01033
1,34,488,20,4.1,28,5.74,20,4.1,99,20.29,105,21.52,95,19.47,0,0.0,2,0.41,3,0.61,01034
1,35,532,27,5.08,32,6.02,26,4.89,110,20.68,103,19.36,99,18.61,3,0.56,3,0.56,2,0.38,01035
1,36,729,34,4.66,41,5.62,28,3.84,156,21.4,158,21.67,135,18.52,3,0.41,3,0.41,4,0.55,01036
1,37,617,41,6.65,42,6.81,37,6.0,112,18.15,124,20.1,109,17.67,2,0.32,4,0.65,3,0.49,01037
1,38,456,35,7.68,41,8.99,34,7.46,75,16.45,93,20.39,68,14.91,1,0.22,3,0.66,1,0.22,01038
1,39,683,74,10.83,83,12.15,69,10.1,86,12.59,115,16.84,87,12.74,5,0.73,5,0.73,10,1.46,01039
1,40,360,27,7.5,34,9.44,31,8.61,57,15.83,67,18.61,57,15.83,1,0.28,3,0.83,2,0.56,01040
1,41,643,74,11.51,68,10.58,62,9.64,88,13.69,107,16.64,83,12.91,5,0.78,9,1.4,4,0.62,01041
1,42,329,26,7.9,33,10.03,26,7.9,51,15.5,53,16.11,51,15.5,2,0.61,4,1.22,4,1.22,01042
1,43,465,36,7.74,48,10.32,34,7.31,71,15.27,88,18.92,71,15.27,1,0.22,7,1.51,3,0.65,01043
1,44,94,14,14.89,14,14.89,13,13.83,9,9.57,13,13.83,10,10.64,1,1.06,0,0.0,0,0.0,01044
1,45,732,64,8.74,71,9.7,50,6.83,121,16.53,154,21.04,104,14.21,1,0.14,8,1.09,5,0.68,01045
1,46,808,49,6.06,47,5.82,48,5.94,150,18.56,161,19.93,144,17.82,3,0.37,4,0.5,4,0.5,01046
1,47,808,41,5.07,52,6.44,39,4.83,161,19.93,163,20.17,150,18.56,3,0.37,4,0.5,3,0.37,01047
1,48,456,37,8.11,39,8.55,35,7.68,71,15.57,93,20.39,64,14.04,8,1.75,9,1.97,5,1.1,01048
1,49,399,19,4.76,19,4.76,20,5.01,80,20.05,86,21.55,77,19.3,1,0.25,0,0.0,3,0.75,01049
1,50,565,33,5.84,36,6.37,32,5.66,112,19.82,105,18.58,102,18.05,6,1.06,6,1.06,4,0.71,01050
3,13,495,80,16.16,70,14.14,74,14.95,59,11.92,60,12.12,41,8.28,3,0.61,3,0.61,4,0.81,03013
11,3,514,65,12.65,66,12.84,69,13.42,57,11.09,74,14.4,60,11.67,4,0.78,6,1.17,6,1.17,11003
11,10,461,72,15.62,69,14.97,68,14.75,44,9.54,60,13.02,42,9.11,6,1.3,5,1.08,3,0.65,11010
11,18,64,7,10.94,9,14.06,7,10.94,8,12.5,7,10.94,6,9.38,2,3.13,0,0.0,0,0.0,11018
11,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11026
11,30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11030
12,1,224,38,16.96,31,13.84,52,23.21,21,9.38,27,12.05,17,7.59,0,0.0,1,0.45,1,0.45,12001
12,2,398,59,14.82,64,16.08,72,18.09,37,9.3,49,12.31,31,7.79,2,0.5,4,1.01,2,0.5,12002
12,3,409,62,15.16,56,13.69,82,20.05,32,7.82,52,12.71,36,8.8,2,0.49,3,0.73,6,1.47,12003
12,4,361,63,17.45,59,16.34,83,22.99,18,4.99,35,9.7,15,4.16,7,1.94,3,0.83,4,1.11,12004
12,5,448,86,19.2,72,16.07,79,17.63,29,6.47,50,11.16,28,6.25,7,1.56,7,1.56,4,0.89,12005
12,6,337,49,14.54,43,12.76,71,21.07,27,8.01,41,12.17,22,6.53,4,1.19,5,1.48,6,1.78,12006
12,7,595,90,15.13,84,14.12,111,18.66,46,7.73,77,12.94,48,8.07,11,1.85,6,1.01,4,0.67,12007
12,8,631,84,13.31,85,13.47,133,21.08,56,8.87,69,10.94,49,7.77,11,1.74,13,2.06,9,1.43,12008
12,9,369,50,13.55,54,14.63,79,21.41,35,9.49,45,12.2,28,7.59,1,0.27,0,0.0,6,1.63,12009
12,10,484,74,15.29,71,14.67,97,20.04,45,9.3,55,11.36,33,6.82,5,1.03,8,1.65,5,1.03,12010
12,11,734,115,15.67,109,14.85,160,21.8,51,6.95,89,12.13,44,5.99,5,0.68,11,1.5,5,0.68,12011
12,12,421,66,15.68,65,15.44,91,21.62,33,7.84,41,9.74,27,6.41,6,1.43,7,1.66,7,1.66,12012
12,13,673,99,14.71,95,14.12,118,17.53,62,9.21,76,11.29,59,8.77,12,1.78,12,1.78,10,1.49,12013
12,14,471,72,15.29,64,13.59,91,19.32,42,8.92,59,12.53,37,7.86,8,1.7,8,1.7,3,0.64,12014
12,15,373,61,16.35,53,14.21,80,21.45,31,8.31,50,13.4,24,6.43,0,0.0,2,0.54,1,0.27,12015
12,16,436,64,14.68,63,14.45,79,18.12,39,8.94,54,12.39,33,7.57,2,0.46,10,2.29,7,1.61,12016
12,17,534,62,11.61,57,10.67,96,17.98,58,10.86,72,13.48,56,10.49,6,1.12,5,0.94,9,1.69,12017
12,18,287,44,15.33,50,17.42,63,21.95,19,6.62,28,9.76,21,7.32,4,1.39,4,1.39,0,0.0,12018
12,19,644,88,13.66,82,12.73,118,18.32,59,9.16,85,13.2,58,9.01,10,1.55,7,1.09,12,1.86,12019
12,20,474,72,15.19,66,13.92,106,22.36,39,8.23,51,10.76,33,6.96,5,1.05,6,1.27,3,0.63,12020
12,21,486,75,15.43,70,14.4,98,20.16,41,8.44,56,11.52,36,7.41,2,0.41,6,1.23,5,1.03,12021
12,22,389,57,14.65,53,13.62,82,21.08,30,7.71,51,13.11,27,6.94,6,1.54,6,1.54,7,1.8,12022
12,23,516,66,12.79,61,11.82,104,20.16,48,9.3,69,13.37,52,10.08,5,0.97,7,1.36,4,0.78,12023
12,24,596,95,15.94,84,14.09,116,19.46,49,8.22,68,11.41,47,7.89,5,0.84,6,1.01,8,1.34,12024
13,3,903,174,19.27,152,16.83,132,14.62,68,7.53,89,9.86,62,6.87,8,0.89,21,2.33,17,1.88,13003
14,1,359,59,16.43,49,13.65,47,13.09,32,8.91,49,13.65,36,10.03,6,1.67,10,2.79,6,1.67,14001
14,3,801,141,17.6,124,15.48,121,15.11,70,8.74,85,10.61,62,7.74,5,0.62,13,1.62,12,1.5,14003
14,4,463,92,19.87,60,12.96,63,13.61,46,9.94,51,11.02,46,9.94,4,0.86,4,0.86,2,0.43,14004
14,5,847,113,13.34,100,11.81,94,11.1,117,13.81,126,14.88,97,11.45,4,0.47,4,0.47,4,0.47,14005
14,6,544,83,15.26,78,14.34,76,13.97,59,10.85,71,13.05,50,9.19,3,0.55,2,0.37,8,1.47,14006
14,7,573,86,15.01,77,13.44,79,13.79,64,11.17,67,11.69,58,10.12,4,0.7,6,1.05,5,0.87,14007
14,8,462,64,13.85,52,11.26,61,13.2,57,12.34,64,13.85,51,11.04,6,1.3,10,2.16,5,1.08,14008
14,9,645,111,17.21,98,15.19,92,14.26,62,9.61,75,11.63,50,7.75,5,0.78,7,1.09,8,1.24,14009
14,10,690,108,15.65,99,14.35,101,14.64,70,10.14,84,12.17,69,10.0,6,0.87,5,0.72,3,0.43,14010
14,11,525,74,14.1,53,10.1,54,10.29,73,13.9,78,14.86,59,11.24,8,1.52,5,0.95,8,1.52,14011
14,12,554,76,13.72,63,11.37,64,11.55,69,12.45,79,14.26,59,10.65,6,1.08,8,1.44,4,0.72,14012
14,13,679,115,16.94,92,13.55,99,14.58,62,9.13,80,11.78,67,9.87,7,1.03,9,1.33,7,1.03,14013
14,14,612,88,14.38,82,13.4,79,12.91,66,10.78,86,14.05,62,10.13,4,0.65,5,0.82,5,0.82,14014
14,15,759,106,13.97,90,11.86,88,11.59,101,13.31,111,14.62,86,11.33,3,0.4,3,0.4,4,0.53,14015
14,16,651,92,14.13,86,13.21,91,13.98,68,10.45,83,12.75,64,9.83,5,0.77,9,1.38,10,1.54,14016
14,17,670,91,13.58,81,12.09,79,11.79,86,12.84,98,14.63,72,10.75,2,0.3,3,0.45,3,0.45,14017
14,18,751,111,14.78,111,14.78,117,15.58,70,9.32,83,11.05,65,8.66,8,1.07,16,2.13,9,1.2,14018
14,19,856,118,13.79,106,12.38,106,12.38,104,12.15,112,13.08,88,10.28,10,1.17,14,1.64,12,1.4,14019
14,20,494,65,13.16,60,12.15,62,12.55,60,12.15,71,14.37,54,10.93,8,1.62,14,2.83,5,1.01,14020
14,21,638,89,13.95,76,11.91,71,11.13,85,13.32,91,14.26,76,11.91,3,0.47,4,0.63,3,0.47,14021
14,22,731,88,12.04,84,11.49,87,11.9,100,13.68,108,14.77,91,12.45,4,0.55,6,0.82,5,0.68,14022
14,23,800,117,14.63,105,13.13,113,14.13,89,11.13,102,12.75,75,9.38,14,1.75,11,1.38,16,2.0,14023
14,24,419,68,16.23,60,14.32,49,11.69,43,10.26,59,14.08,35,8.35,3,0.72,8,1.91,5,1.19,14024
14,26,706,105,14.87,112,15.86,102,14.45,65,9.21,90,12.75,58,8.22,8,1.13,10,1.42,7,0.99,14026
14,27,801,131,16.35,109,13.61,108,13.48,88,10.99,91,11.36,71,8.86,11,1.37,8,1.0,9,1.12,14027
14,29,758,91,12.01,85,11.21,83,10.95,101,13.32,126,16.62,88,11.61,6,0.79,12,1.58,11,1.45,14029
14,30,550,81,14.73,71,12.91,69,12.55,63,11.45,78,14.18,58,10.55,3,0.55,5,0.91,4,0.73,14030
14,31,620,72,11.61,61,9.84,74,11.94,85,13.71,95,15.32,80,12.9,4,0.65,3,0.48,2,0.32,14031
14,32,457,75,16.41,60,13.13,48,10.5,55,12.04,61,13.35,41,8.97,3,0.66,8,1.75,2,0.44,14032
14,33,541,66,12.2,63,11.65,60,11.09,74,13.68,71,13.12,65,12.01,5,0.92,8,1.48,7,1.29,14033
14,34,580,77,13.28,69,11.9,66,11.38,82,14.14,85,14.66,69,11.9,4,0.69,5,0.86,3,0.52,14034
14,35,551,83,15.06,76,13.79,71,12.89,64,11.62,71,12.89,54,9.8,1,0.18,7,1.27,5,0.91,14035
16,21,502,83,16.53,78,15.54,75,14.94,45,8.96,61,12.15,40,7.97,3,0.6,8,1.59,7,1.39,16021
16,32,34,3,8.82,4,11.76,2,5.88,4,11.76,4,11.76,4,11.76,2,5.88,2,5.88,2,5.88,16032
20,4,470,65,13.83,66,14.04,65,13.83,59,12.55,68,14.47,42,8.94,5,1.06,7,1.49,3,0.64,20004
20,8,209,36,17.22,28,13.4,38,18.18,18,8.61,23,11.0,18,8.61,2,0.96,2,0.96,3,1.44,20008
20,15,569,73,12.83,74,13.01,73,12.83,73,12.83,92,16.17,60,10.54,4,0.7,7,1.23,6,1.05,20015
20,21,317,54,17.03,48,15.14,51,16.09,28,8.83,40,12.62,20,6.31,3,0.95,5,1.58,2,0.63,20021
22,1,520,86,16.54,79,15.19,77,14.81,52,10.0,58,11.15,45,8.65,3,0.58,5,0.96,3,0.58,22001
22,2,357,61,17.09,51,14.29,44,12.32,40,11.2,48,13.45,34,9.52,1,0.28,5,1.4,4,1.12,22002
22,3,659,143,21.7,109,16.54,121,18.36,30,4.55,68,10.32,34,5.16,10,1.52,8,1.21,9,1.37,22003
22,4,561,106,18.89,93,16.58,88,15.69,41,7.31,67,11.94,40,7.13,5,0.89,4,0.71,5,0.89,22004
22,5,595,102,17.14,87,14.62,86,14.45,46,7.73,75,12.61,53,8.91,4,0.67,7,1.18,11,1.85,22005
22,6,557,93,16.7,81,14.54,78,14.0,51,9.16,68,12.21,47,8.44,8,1.44,8,1.44,11,1.97,22006
22,8,507,90,17.75,76,14.99,75,14.79,40,7.89,64,12.62,39,7.69,5,0.99,9,1.78,6,1.18,22008
22,9,708,115,16.24,102,14.41,102,14.41,58,8.19,95,13.42,59,8.33,4,0.56,13,1.84,16,2.26,22009
22,10,571,107,18.74,85,14.89,74,12.96,50,8.76,76,13.31,44,7.71,6,1.05,9,1.58,9,1.58,22010
22,11,540,97,17.96,76,14.07,75,13.89,48,8.89,69,12.78,43,7.96,10,1.85,2,0.37,9,1.67,22011
22,12,386,70,18.13,52,13.47,53,13.73,41,10.62,51,13.21,25,6.48,3,0.78,4,1.04,6,1.55,22012
22,13,578,102,17.65,82,14.19,76,13.15,53,9.17,73,12.63,50,8.65,5,0.87,7,1.21,13,2.25,22013
22,14,355,40,11.27,37,10.42,27,7.61,56,15.77,67,18.87,50,14.08,0,0.0,1,0.28,0,0.0,22014
22,15,426,71,16.67,57,13.38,58,13.62,33,7.75,67,15.73,31,7.28,7,1.64,10,2.35,9,2.11,22015
22,16,580,101,17.41,82,14.14,71,12.24,63,10.86,90,15.52,52,8.97,1,0.17,2,0.34,4,0.69,22016
