ward,precinct,total,Patricia J. Cullerton,Patricia J. Cullerton Percent,precinct_id
38,1,191,191,100.0,38001
38,2,132,132,100.0,38002
38,3,107,107,100.0,38003
38,4,80,80,100.0,38004
38,5,253,253,100.0,38005
38,6,152,152,100.0,38006
38,7,166,166,100.0,38007
38,8,97,97,100.0,38008
38,9,146,146,100.0,38009
38,10,173,173,100.0,38010
38,11,122,122,100.0,38011
38,12,152,152,100.0,38012
38,13,125,125,100.0,38013
38,14,123,123,100.0,38014
38,15,103,103,100.0,38015
38,16,155,155,100.0,38016
38,17,140,140,100.0,38017
38,18,167,167,100.0,38018
38,19,199,199,100.0,38019
38,20,188,188,100.0,38020
38,21,143,143,100.0,38021
38,22,155,155,100.0,38022
38,23,122,122,100.0,38023
38,24,113,113,100.0,38024
38,25,173,173,100.0,38025
38,26,107,107,100.0,38026
38,27,106,106,100.0,38027
38,28,126,126,100.0,38028
38,29,132,132,100.0,38029
38,30,167,167,100.0,38030
38,31,194,194,100.0,38031
38,32,177,177,100.0,38032
38,33,128,128,100.0,38033
38,34,105,105,100.0,38034
38,35,166,166,100.0,38035
38,36,175,175,100.0,38036
38,37,154,154,100.0,38037
38,38,175,175,100.0,38038
38,39,145,145,100.0,38039
38,40,118,118,100.0,38040
38,41,239,239,100.0,38041
38,42,198,198,100.0,38042
38,43,160,160,100.0,38043
38,44,169,169,100.0,38044
38,45,165,165,100.0,38045
38,46,136,136,100.0,38046
38,47,155,155,100.0,38047
38,48,151,151,100.0,38048
38,49,134,134,100.0,38049
38,50,149,149,100.0,38050
38,51,112,112,100.0,38051
38,52,163,163,100.0,38052
38,53,36,36,100.0,38053
