ward,precinct,total,Jacqueline ''Jackie'' Kaplan (Obama),Jacqueline ''Jackie'' Kaplan (Obama) Percent,Jane E. Hearrin (Clinton),Jane E. Hearrin (Clinton) Percent,precinct_id
39,39,91,47,51.65,44,48.35,39039
39,40,111,47,42.34,64,57.66,39040
39,41,78,39,50.0,39,50.0,39041
39,42,160,86,53.75,74,46.25,39042
39,43,217,152,70.05,65,29.95,39043
39,44,260,150,57.69,110,42.31,39044
39,45,102,63,61.76,39,38.24,39045
39,46,181,97,53.59,84,46.41,39046
39,47,106,50,47.17,56,52.83,39047
40,1,127,63,49.61,64,50.39,40001
40,2,132,78,59.09,54,40.91,40002
40,5,225,145,64.44,80,35.56,40005
40,6,224,164,73.21,60,26.79,40006
40,10,198,110,55.56,88,44.44,40010
40,14,195,136,69.74,59,30.26,40014
40,15,197,102,51.78,95,48.22,40015
40,17,87,49,56.32,38,43.68,40017
40,19,146,91,62.33,55,37.67,40019
40,20,170,114,67.06,56,32.94,40020
40,21,182,106,58.24,76,41.76,40021
40,23,274,192,70.07,82,29.93,40023
40,24,112,57,50.89,55,49.11,40024
40,25,155,77,49.68,78,50.32,40025
40,29,193,120,62.18,73,37.82,40029
40,30,208,108,51.92,100,48.08,40030
40,31,145,87,60.0,58,40.0,40031
40,32,111,59,53.15,52,46.85,40032
40,34,131,70,53.44,61,46.56,40034
40,36,189,120,63.49,69,36.51,40036
40,38,114,49,42.98,65,57.02,40038
40,40,141,99,70.21,42,29.79,40040
40,41,35,22,62.86,13,37.14,40041
40,44,152,69,45.39,83,54.61,40044
40,45,301,181,60.13,120,39.87,40045
40,48,139,94,67.63,45,32.37,40048
40,49,123,74,60.16,49,39.84,40049
41,3,215,86,40.0,129,60.0,41003
41,6,219,121,55.25,98,44.75,41006
41,9,225,102,45.33,123,54.67,41009
41,10,185,97,52.43,88,47.57,41010
41,12,221,88,39.82,133,60.18,41012
41,14,259,149,57.53,110,42.47,41014
41,16,231,123,53.25,108,46.75,41016
41,19,278,158,56.83,120,43.17,41019
41,21,233,99,42.49,134,57.51,41021
41,22,210,99,47.14,111,52.86,41022
41,23,210,97,46.19,113,53.81,41023
41,24,207,74,35.75,133,64.25,41024
41,30,261,116,44.44,145,55.56,41030
41,35,230,111,48.26,119,51.74,41035
41,38,246,103,41.87,143,58.13,41038
41,39,152,66,43.42,86,56.58,41039
41,44,226,127,56.19,99,43.81,41044
41,46,185,84,45.41,101,54.59,41046
41,47,204,117,57.35,87,42.65,41047
41,50,234,116,49.57,118,50.43,41050
41,51,164,77,46.95,87,53.05,41051
41,53,226,93,41.15,133,58.85,41053
41,54,186,102,54.84,84,45.16,41054
41,57,179,82,45.81,97,54.19,41057
43,2,245,187,76.33,58,23.67,43002
43,6,152,101,66.45,51,33.55,43006
43,7,228,157,68.86,71,31.14,43007
43,8,276,192,69.57,84,30.43,43008
43,12,268,164,61.19,104,38.81,43012
43,14,199,155,77.89,44,22.11,43014
43,17,250,170,68.0,80,32.0,43017
43,20,258,193,74.81,65,25.19,43020
43,21,261,214,81.99,47,18.01,43021
43,22,183,122,66.67,61,33.33,43022
43,27,204,136,66.67,68,33.33,43027
43,29,200,148,74.0,52,26.0,43029
43,31,262,190,72.52,72,27.48,43031
43,32,228,160,70.18,68,29.82,43032
43,33,134,105,78.36,29,21.64,43033
43,34,134,94,70.15,40,29.85,43034
43,38,196,139,70.92,57,29.08,43038
43,43,162,114,70.37,48,29.63,43043
43,44,235,164,69.79,71,30.21,43044
43,45,58,38,65.52,20,34.48,43045
43,48,228,150,65.79,78,34.21,43048
43,50,175,124,70.86,51,29.14,43050
43,53,256,149,58.2,107,41.8,43053
43,56,136,109,80.15,27,19.85,43056
43,57,182,127,69.78,55,30.22,43057
43,58,189,142,75.13,47,24.87,43058
43,59,210,129,61.43,81,38.57,43059
44,1,199,123,61.81,76,38.19,44001
44,2,197,132,67.01,65,32.99,44002
44,5,317,215,67.82,102,32.18,44005
44,6,284,209,73.59,75,26.41,44006
44,8,126,93,73.81,33,26.19,44008
44,9,185,131,70.81,54,29.19,44009
44,10,180,147,81.67,33,18.33,44010
44,11,233,166,71.24,67,28.76,44011
44,12,199,132,66.33,67,33.67,44012
44,13,185,137,74.05,48,25.95,44013
44,14,248,170,68.55,78,31.45,44014
44,15,283,178,62.9,105,37.1,44015
44,16,254,194,76.38,60,23.62,44016
44,17,282,193,68.44,89,31.56,44017
44,18,174,117,67.24,57,32.76,44018
44,19,148,94,63.51,54,36.49,44019
44,20,218,161,73.85,57,26.15,44020
44,21,331,228,68.88,103,31.12,44021
44,22,291,169,58.08,122,41.92,44022
44,23,233,163,69.96,70,30.04,44023
44,24,171,135,78.95,36,21.05,44024
44,25,239,176,73.64,63,26.36,44025
44,26,222,135,60.81,87,39.19,44026
44,27,306,224,73.2,82,26.8,44027
44,28,188,138,73.4,50,26.6,44028
44,29,265,205,77.36,60,22.64,44029
44,30,240,175,72.92,65,27.08,44030
44,31,251,191,76.1,60,23.9,44031
44,32,186,122,65.59,64,34.41,44032
44,33,349,223,63.9,126,36.1,44033
44,34,180,126,70.0,54,30.0,44034
44,36,230,159,69.13,71,30.87,44036
44,37,335,226,67.46,109,32.54,44037
44,38,221,165,74.66,56,25.34,44038
44,39,239,173,72.38,66,27.62,44039
44,40,233,174,74.68,59,25.32,44040
44,41,216,155,71.76,61,28.24,44041
44,42,304,195,64.14,109,35.86,44042
44,43,254,176,69.29,78,30.71,44043
44,44,296,188,63.51,108,36.49,44044
44,45,303,210,69.31,93,30.69,44045
44,46,188,124,65.96,64,34.04,44046
44,47,279,203,72.76,76,27.24,44047
44,50,214,147,68.69,67,31.31,44050
44,51,190,130,68.42,60,31.58,44051
45,1,191,106,55.5,85,44.5,45001
45,2,232,118,50.86,114,49.14,45002
45,3,238,108,45.38,130,54.62,45003
45,4,249,124,49.8,125,50.2,45004
45,5,221,113,51.13,108,48.87,45005
45,6,205,108,52.68,97,47.32,45006
45,7,203,112,55.17,91,44.83,45007
45,8,156,69,44.23,87,55.77,45008
45,9,203,95,46.8,108,53.2,45009
45,10,250,127,50.8,123,49.2,45010
45,11,173,82,47.4,91,52.6,45011
45,12,249,149,59.84,100,40.16,45012
45,13,243,121,49.79,122,50.21,45013
45,14,248,140,56.45,108,43.55,45014
45,15,219,100,45.66,119,54.34,45015
45,16,215,117,54.42,98,45.58,45016
