ward,precinct,total,Harry Osterman,Harry Osterman Percent,precinct_id
40,3,204,204,100.0,40003
40,4,194,194,100.0,40004
40,7,192,192,100.0,40007
40,11,188,188,100.0,40011
40,12,153,153,100.0,40012
40,13,217,217,100.0,40013
40,16,201,201,100.0,40016
40,26,200,200,100.0,40026
40,27,137,137,100.0,40027
40,28,206,206,100.0,40028
40,35,149,149,100.0,40035
40,37,134,134,100.0,40037
40,42,31,31,100.0,40042
40,43,35,35,100.0,40043
40,47,189,189,100.0,40047
48,1,236,236,100.0,48001
48,2,172,172,100.0,48002
48,3,255,255,100.0,48003
48,5,196,196,100.0,48005
48,6,250,250,100.0,48006
48,7,180,180,100.0,48007
48,8,166,166,100.0,48008
48,9,202,202,100.0,48009
48,10,140,140,100.0,48010
48,11,271,271,100.0,48011
48,12,229,229,100.0,48012
48,13,190,190,100.0,48013
48,14,220,220,100.0,48014
48,15,156,156,100.0,48015
48,16,180,180,100.0,48016
48,18,167,167,100.0,48018
48,19,191,191,100.0,48019
48,20,138,138,100.0,48020
48,22,291,291,100.0,48022
48,26,225,225,100.0,48026
48,27,123,123,100.0,48027
48,28,177,177,100.0,48028
48,29,149,149,100.0,48029
48,30,207,207,100.0,48030
48,31,171,171,100.0,48031
48,32,184,184,100.0,48032
48,33,186,186,100.0,48033
48,36,215,215,100.0,48036
48,37,191,191,100.0,48037
48,38,277,277,100.0,48038
48,39,180,180,100.0,48039
48,41,157,157,100.0,48041
48,42,182,182,100.0,48042
48,43,305,305,100.0,48043
48,44,233,233,100.0,48044
48,45,167,167,100.0,48045
48,46,160,160,100.0,48046
48,47,200,200,100.0,48047
48,48,223,223,100.0,48048
48,50,252,252,100.0,48050
48,51,320,320,100.0,48051
48,52,159,159,100.0,48052
48,53,118,118,100.0,48053
48,54,167,167,100.0,48054
49,2,283,283,100.0,49002
49,3,144,144,100.0,49003
49,4,106,106,100.0,49004
49,7,160,160,100.0,49007
49,8,194,194,100.0,49008
49,9,181,181,100.0,49009
49,10,174,174,100.0,49010
49,11,141,141,100.0,49011
49,12,219,219,100.0,49012
49,13,236,236,100.0,49013
49,15,140,140,100.0,49015
49,17,25,25,100.0,49017
49,18,145,145,100.0,49018
49,19,165,165,100.0,49019
49,21,88,88,100.0,49021
49,22,183,183,100.0,49022
49,23,174,174,100.0,49023
49,25,224,224,100.0,49025
49,26,172,172,100.0,49026
49,27,272,272,100.0,49027
49,29,230,230,100.0,49029
49,31,132,132,100.0,49031
49,32,120,120,100.0,49032
49,33,156,156,100.0,49033
49,36,242,242,100.0,49036
49,37,275,275,100.0,49037
49,39,185,185,100.0,49039
49,42,230,230,100.0,49042
50,34,1,1,100.0,50034
